#alt(cm),ArH+(cm-3)
1.48E+07,0.000312685
1.51E+07,0.000409755
1.53E+07,0.000551675
1.56E+07,0.000722936
1.58E+07,0.000947363
1.61E+07,0.001208347
1.63E+07,0.00162686
1.65E+07,0.002075035
1.68E+07,0.002719207
1.71E+07,0.003761339
1.74E+07,0.004929005
1.77E+07,0.006636175
1.79E+07,0.008934625
1.82E+07,0.011708281
1.85E+07,0.015342989
1.89E+07,0.021223166
1.93E+07,0.029356912
1.97E+07,0.038470444
2.01E+07,0.050413173
2.06E+07,0.062586043
2.11E+07,0.073608436
2.17E+07,0.079827521
2.25E+07,0.079827521
2.32E+07,0.079827521
2.40E+07,0.075625677
2.49E+07,0.071645004
2.57E+07,0.067873859
2.69E+07,0.062586043
2.77E+07,0.059291731
2.86E+07,0.05617082
2.94E+07,0.051794747
3.03E+07,0.049068451
3.13E+07,0.047759598
3.22E+07,0.045245699
3.31E+07,0.044038814
3.40E+07,0.041720764
3.48E+07,0.040607903
3.55E+07,0.038470444
3.63E+07,0.037444283
3.70E+07,0.037444283
3.77E+07,0.035473346
3.84E+07,0.034527129
3.90E+07,0.034527129
3.96E+07,0.033606152
4.00E+07,0.032709741
