CO+(cm-3),#alt(cm)
0.102289745,10420960.13
0.317454071,10785066.72
0.632489413,11045598.54
1.572493241,11568444.72
3.37250802,12091853.81
8.181106782,12562162.06
17.54668292,13032939.4
40.51245886,13713962.27
76.77728975,14922053.11
110.9617339,16289071.17
128.4973683,17551670.11
156.2965466,18971976.65
185.4852206,20392377
236.9626222,22023022.87
325.9951203,23442860.31
359.2767185,25021437.35
317.3375108,26232436.54
266.8460829,27338359.88
213.5857554,28549734.34
188.6859986,29550206.56
166.6386426,30919100.98
154.5907278,32340439.5
146.9895245,33761684.22
139.7681097,35130297.18
132.9072162,36446278.41
126.3721879,37867523.12
126.2248575,39288580.19
120.0910167,39972980.5
