#alt(cm),CO+(cm-3)
1.02E+07,0.1
1.03E+07,0.127481791
1.04E+07,0.162516069
1.05E+07,0.212270322
1.07E+07,0.284071108
1.08E+07,0.380158627
1.10E+07,0.508747908
1.12E+07,0.680832724
1.14E+07,0.911125512
1.15E+07,1.190066356
1.18E+07,1.517117899
1.19E+07,1.981583157
1.21E+07,2.588244337
1.23E+07,3.299540224
1.25E+07,4.309693623
1.26E+07,5.767454577
1.28E+07,7.533159327
1.30E+07,9.839434138
1.32E+07,12.85177439
1.34E+07,15.99066159
1.36E+07,19.89618322
1.39E+07,23.58215447
1.43E+07,27.95098956
1.48E+07,32.33449487
1.53E+07,36.5081779
1.59E+07,40.23179596
1.65E+07,43.27169093
1.70E+07,45.42484953
1.76E+07,48.8571291
1.83E+07,52.54875005
1.89E+07,57.90841152
1.94E+07,62.28394298
2.00E+07,68.6365365
2.06E+07,73.82267987
2.13E+07,73.82267987
2.20E+07,66.99008746
2.25E+07,57.90841152
2.30E+07,51.28821385
2.35E+07,45.42484953
2.40E+07,40.23179596
2.46E+07,33.9434289
2.52E+07,30.06295276
2.59E+07,25.98739464
2.65E+07,23.01646719
2.72E+07,20.38518171
2.78E+07,17.62161442
2.85E+07,15.99066159
2.93E+07,14.16257931
2.99E+07,12.85177439
3.06E+07,11.94891982
3.13E+07,11.38253556
3.19E+07,10.84299818
3.27E+07,10.582897
3.34E+07,10.32903512
3.40E+07,10.08126285
3.46E+07,9.839434138
3.53E+07,9.373040468
3.61E+07,9.373040468
3.69E+07,8.928754071
3.76E+07,8.714571665
3.85E+07,8.505527053
3.93E+07,8.30149699
4.00E+07,8.102361188
