#alt(cm),H+(cm-3)
8000000,6E-10
8500000,2.511E-10
9000000,5.552E-09
9500000,1.895E-07
10000000,1.93E-06
10500000,9.184E-06
11000000,3.135E-05
11500000,8.522E-05
12000000,0.0002398
12500000,0.000814
13000000,0.002392
13500000,0.005363
14000000,0.009654
14500000,0.01487
15000000,0.02231
15500000,0.03284
16000000,0.04815
16500000,0.07104
17000000,0.1062
17500000,0.1624
18000000,0.2564
18500000,0.414
19000000,0.6791
19500000,1.192
20000000,2.38
20500000,4.782
21000000,8.384
21500000,12.47
22000000,16.16
22500000,18.85
23000000,20.32
23500000,20.68
24000000,20.15
24500000,19
25000000,17.47
25500000,15.77
26000000,14
26500000,12.28
27000000,10.68
27500000,9.192
28000000,7.814
28500000,6.619
29000000,5.587
29500000,4.78
30000000,4.246
30500000,3.955
31000000,3.817
31500000,3.74
32000000,3.676
32500000,3.616
33000000,3.562
33500000,3.513
34000000,3.469
34500000,3.429
35000000,3.393
35500000,3.36
36000000,3.331
36500000,3.304
37000000,3.281
37500000,3.259
38000000,3.24
38500000,3.223
39000000,3.209
39500000,3.196
40000000,3.184
