#alt[cm],H+[cm^-3]
8188100,7.78645E-08
8209400,7.95933E-08
8291690,8.66409E-08
8401310,9.70068E-08
8406970,9.75752E-08
8593120,1.18218E-07
8632710,1.23143E-07
8653280,1.25782E-07
8702860,1.32379E-07
8715180,1.34071E-07
8770100,1.41881E-07
8785130,1.44096E-07
8825050,1.5015E-07
8840080,1.52495E-07
8844810,1.5324E-07
8880000,1.58902E-07
8895030,1.61383E-07
8934950,1.68163E-07
8962550,1.73017E-07
8977320,1.75672E-07
9004900,1.80738E-07
9009100,1.81522E-07
9017500,1.83101E-07
9045070,1.8838E-07
9059840,1.91272E-07
9072670,1.93818E-07
9087440,1.96792E-07
9100270,1.99412E-07
9118690,2.03234E-07
9127870,2.05168E-07
9142390,2.08262E-07
9169990,2.14273E-07
9182820,2.17125E-07
9210420,2.23392E-07
9238020,2.2984E-07
9252640,2.33331E-07
9280240,2.40066E-07
9307840,2.46995E-07
9310420,2.47653E-07
9320820,2.50322E-07
9335440,2.54124E-07
9348420,2.57547E-07
9363040,2.61459E-07
9376020,2.6498E-07
9376270,2.65049E-07
9390620,2.68998E-07
9392690,2.69574E-07
9403870,2.727E-07
9418220,2.76762E-07
9431470,2.8057E-07
9445820,2.8475E-07
9459070,2.88669E-07
9486680,2.97E-07
9500770,3.01346E-07
9514280,3.05573E-07
9528370,3.10044E-07
9529610,3.10441E-07
9541880,3.14393E-07
9555970,3.18993E-07
9569480,3.23467E-07
9569730,3.23551E-07
9583570,3.282E-07
9597330,3.3289E-07
9611170,3.37673E-07
9624930,3.42498E-07
9639120,3.47546E-07
9652530,3.52384E-07
9680130,3.62555E-07
9693770,3.67687E-07
9707730,3.73019E-07
9721370,3.783E-07
9735330,3.83785E-07
9762930,3.94863E-07
9763180,3.94966E-07
9790780,4.06366E-07
9804040,4.11957E-07
9818360,4.18084E-07
9830630,4.23406E-07
9845960,4.30151E-07
9858990,4.35967E-07
9873560,4.42566E-07
9886590,4.48551E-07
9928510,4.6836E-07
9941510,4.74681E-07
9956110,4.81879E-07
9983710,4.95787E-07
9994640,5.01405E-07
9996460,5.02347E-07
10011300,5.10097E-07
10038900,5.2482E-07
10051400,5.31626E-07
10066500,5.39968E-07
10106300,5.62596E-07
10121500,5.71439E-07
10149100,5.87932E-07
10161400,5.95432E-07
10185900,6.10688E-07
10204000,6.22199E-07
10231600,6.40158E-07
10243600,6.48137E-07
10286500,6.7745E-07
10314100,6.97004E-07
10353200,7.25644E-07
10369100,7.37627E-07
10377100,7.4377E-07
10424000,7.80618E-07
10435500,7.89937E-07
10437600,7.91628E-07
10451600,8.03149E-07
10493000,8.3816E-07
10506600,8.49959E-07
10513700,8.56189E-07
10517800,8.59859E-07
10534200,8.74492E-07
10548000,8.87011E-07
10589100,9.25436E-07
10602900,9.38684E-07
10622800,9.58175E-07
10657800,9.93394E-07
10671400,1.00738E-06
10682200,1.01869E-06
10683700,1.02028E-06
10685400,1.02207E-06
10726300,1.06609E-06
10740400,1.08164E-06
10759300,1.10297E-06
10781300,1.12823E-06
10793800,1.14286E-06
10795300,1.14468E-06
10822900,1.17772E-06
10848700,1.20943E-06
10863600,1.22809E-06
10873800,1.24117E-06
10903700,1.27992E-06
10905200,1.28196E-06
10923200,1.30599E-06
10945800,1.33683E-06
10958600,1.35452E-06
10960100,1.35668E-06
11013500,1.43347E-06
11015100,1.43575E-06
11028100,1.45516E-06
11038100,1.47019E-06
11039300,1.472E-06
11059700,1.50339E-06
11068500,1.51697E-06
11070000,1.51943E-06
11110400,1.58401E-06
11121700,1.60263E-06
11123400,1.60539E-06
11125000,1.60795E-06
11176700,1.69599E-06
11196200,1.73057E-06
11205700,1.74754E-06
11207300,1.75032E-06
