#alt[cm],H+[cm^-3]
8134450,9.25597E-07
8179270,9.74636E-07
8358540,1.19819E-06
8537820,1.47302E-06
8672270,1.71977E-06
8717090,1.81089E-06
8806720,2.00786E-06
8851540,2.11424E-06
8896360,2.22625E-06
8941180,2.3442E-06
8985990,2.4684E-06
9030810,2.59918E-06
9075630,2.73689E-06
9120450,2.88189E-06
9165270,3.03458E-06
9210080,3.19536E-06
9254900,3.36465E-06
9299720,3.54292E-06
9344540,3.73063E-06
9389360,3.92828E-06
9434170,4.13641E-06
9478990,4.35556E-06
9523810,4.58632E-06
9568630,4.82931E-06
9613450,5.08518E-06
9658260,5.3546E-06
9703080,5.63829E-06
9747900,5.93702E-06
9792720,6.25157E-06
9882350,6.93155E-06
9927170,7.2988E-06
10016800,8.09269E-06
10061600,8.52145E-06
10106400,8.97293E-06
10151300,9.44833E-06
10240900,1.0476E-05
10285700,1.10311E-05
10330500,1.16155E-05
10420200,1.28789E-05
10465000,1.35613E-05
10509800,1.42798E-05
10599400,1.5833E-05
10644300,1.66718E-05
10733900,1.84852E-05
10823500,2.04958E-05
10868300,2.15817E-05
10958000,2.39292E-05
11002800,2.5197E-05
11047600,2.6532E-05
11092400,2.79377E-05
11182100,3.09765E-05
11226900,3.26176E-05
11316500,3.61655E-05
11361300,3.80816E-05
11451000,4.22237E-05
11540600,4.68164E-05
11585400,4.92968E-05
11630300,5.19086E-05
11719900,5.75547E-05
11809500,6.38149E-05
11854300,6.71959E-05
11899200,7.0756E-05
11944000,7.45048E-05
11988800,7.84522E-05
12033600,8.26087E-05
12078400,8.69854E-05
12123200,9.1594E-05
12168100,9.64468E-05
12212900,0.000101557
12257700,0.000106937
12302500,0.000112603
12347300,0.000118569
12392200,0.000124851
12481800,0.000138431
12526600,0.000145765
12571400,0.000153488
12616200,0.00016162
12661100,0.000170183
12705900,0.000179199
12750700,0.000188694
12795500,0.000198691
12885200,0.000220303
12930000,0.000231975
13019600,0.000257206
13064400,0.000270834
13154100,0.000300292
13198900,0.000316202
13378200,0.00038873
13467800,0.000431012
13512600,0.000453847
13557400,0.000477893
13602200,0.000503212
13647100,0.000529873
13736700,0.000587508
13781500,0.000618635
13826300,0.000651411
13871100,0.000685924
13916000,0.000722265
13960800,0.000760531
14005600,0.000800825
14050400,0.000843254
14274500,0.0010916
14319300,0.00114943
14364100,0.00121033
14409000,0.00127445
14453800,0.00134198
14543400,0.00148794
14677900,0.0017372
14722700,0.00182924
14767500,0.00192615
14812300,0.0020282
14991600,0.00249341
15036400,0.00262552
15081200,0.00276462
15126100,0.00291109
15170900,0.00306533
15395000,0.00396808
15439800,0.00417832
15529400,0.00463279
15708700,0.00569542
15753500,0.00599717
15798300,0.00631491
15843100,0.00664948
16022400,0.00817468
16067200,0.00860779
16156900,0.00954406
16201700,0.0100497
16246500,0.0105822
16291300,0.0111428
16336100,0.0117332
16515400,0.0144244
16560200,0.0151887
16649900,0.0168407
16694700,0.017733
16873900,0.0218004
16963600,0.0241716
17008400,0.0254523
17053200,0.0268008
17098000,0.0282207
17187700,0.0312903
17232500,0.0329481
17366900,0.0384674
17456600,0.0426515
17501400,0.0449112
17546200,0.0472907
17770300,0.061218
17815100,0.0644615
17859900,0.0678767
17949600,0.0752597
18084000,0.0878668
18128900,0.0925221
18173700,0.097424
18218500,0.102586
18308100,0.113744
18397800,0.126116
18487400,0.139833
18577000,0.155043
18621800,0.163258
18666700,0.17302
18756300,0.19433
18845900,0.20836
18980400,0.231328
19025200,0.249467
19070000,0.269028
19114800,0.290123
19204500,0.337406
19294100,0.392394
19338900,0.423162
19383800,0.456344
19428600,0.492127
19607800,0.597252
19697500,0.670813
19742300,0.710924
19831900,0.815519
19876800,0.873453
19921600,0.935503
19966400,1.00196
20011200,1.07314
20056000,1.14937
20145700,1.31848
20190500,1.41214
20235300,1.51246
20369700,1.83549
20459400,2.00259
20504200,2.09175
20549000,2.18489
20593800,2.26531
20683500,2.43514
20728300,2.52477
20862700,2.81395
20907600,2.91752
20997200,3.13625
21042000,3.25168
21131700,3.49546
21176500,3.62412
21221300,3.75751
21266100,3.83103
21355700,3.98241
21445400,4.13977
21490200,4.22077
21535000,4.30335
21669500,4.52794
21714300,4.60538
21803900,4.76425
21893600,4.92861
21938400,4.96463
22028000,5.03748
22072800,5.0743
22207300,5.18639
22252100,5.2243
22296900,5.23794
22341700,5.25161
22386600,5.26532
22476200,5.29285
22521000,5.30667
22565800,5.32052
22655500,5.34833
22745100,5.37629
22789900,5.39033
22834700,5.4044
22879600,5.4185
22924400,5.43265
22969200,5.42174
23058800,5.39999
23103600,5.38915
23148500,5.37833
23193300,5.36753
23238100,5.35676
23327700,5.33527
23372500,5.32456
23462200,5.3032
23596600,5.27132
23731100,5.23964
23775900,5.22912
23820700,5.19899
23910400,5.13926
23955200,5.10966
24044800,5.05095
24134500,4.99292
24179300,4.96416
24224100,4.93556
24313700,4.85166
24403400,4.76918
24537800,4.64809
24582600,4.60842
24627500,4.56908
24672300,4.52184
24717100,4.4751
24806700,4.38305
24941200,4.24851
24986000,4.20459
25030800,4.16112
25120400,4.07553
25165300,4.0334
25210100,3.9917
25254900,3.95044
25344500,3.86918
25389400,3.82918
25434200,3.78959
25568600,3.67327
25747900,3.52371
25792700,3.48729
25837500,3.45123
25927200,3.38025
25972000,3.3453
26151300,3.2091
26240900,3.14309
26330500,3.07844
26375400,3.04661
26420200,3.01007
26644300,2.83384
26689100,2.79985
26733900,2.76627
26823500,2.70031
26868300,2.66792
27047600,2.54221
27092400,2.51172
27271700,2.42705
27451000,2.34524
27495800,2.32522
27675100,2.15228
27809500,2.03106
27854300,1.99219
27899200,1.95407
27944000,1.91667
27988800,1.88
28078400,1.80873
28123200,1.77412
28212900,1.70686
28257700,1.6742
28302500,1.65126
28347300,1.62864
28481800,1.56262
28526600,1.54122
28571400,1.5201
28616200,1.49462
28661100,1.46957
28750700,1.42072
28795500,1.39691
28930000,1.32783
28974800,1.31191
29019600,1.29617
29109200,1.26527
29243700,1.22028
29288500,1.20565
29333300,1.18964
29423000,1.15825
29467800,1.14287
29512600,1.12769
29557400,1.11272
29647100,1.08336
29736700,1.05478
29781500,1.04077
29871100,1.01331
29916000,1.00712
30095200,0.982728
30140100,0.976723
30184900,0.970754
30274500,0.958926
30319300,0.953066
30364100,0.947242
30453800,0.935701
30588200,0.918652
30633100,0.913038
30722700,0.901914
30767500,0.896402
30812300,0.890924
30857100,0.88548
30902000,0.883792
31081200,0.877074
31215700,0.872068
31305300,0.868747
31484600,0.868841
31574200,0.868888
31663900,0.868935
31753500,0.868982
31798300,0.867326
31932800,0.862376
32112000,0.85582
32246500,0.850936
32381000,0.846079
32515400,0.84125
32694700,0.834855
32829100,0.83009
32873900,0.828508
32963600,0.825353
33008400,0.82378
33098000,0.820642
33142900,0.819078
33232500,0.815959
33277300,0.814403
33411800,0.809756
33501400,0.806672
33546200,0.805134
33591000,0.805156
33680700,0.8052
33725500,0.805221
33994400,0.805352
34039200,0.803817
34128900,0.800756
34173700,0.79923
34442600,0.790133
34487400,0.789645
34577000,0.78867
34756300,0.786723
34801100,0.786237
35025200,0.783812
35204500,0.781877
35249300,0.781394
35473400,0.778984
35563000,0.778022
35652700,0.777061
35697500,0.776581
35787100,0.775622
35876800,0.775664
35921600,0.775685
36011200,0.775727
36100800,0.775769
36145700,0.77579
36235300,0.775832
36324900,0.775874
36459400,0.775937
36593800,0.776
36683500,0.776042
36773100,0.776084
36907600,0.776147
37131700,0.776253
37176500,0.775273
37221300,0.774294
37445400,0.769421
37624600,0.765544
37669500,0.764578
37803900,0.761686
37893600,0.759765
38028000,0.756892
38072800,0.755937
38117600,0.754983
38341700,0.750231
38476200,0.747394
38521000,0.74645
38789900,0.740816
38969200,0.737083
39417400,0.727833
39820700,0.719608
39865500,0.718699
39955200,0.716887
