#alt(cm),H+(cm-3)
7986000,5.435E-05
8271100,6.937E-05
8670500,9.762E-05
8898900,0.00011869
9042500,0.0001342
9243000,0.0001593
9472300,0.00019381
9615900,0.00021912
9759000,0.00024764
9987500,0.00030107
10329900,0.0004034
10757300,0.0005813
11184000,0.000837
11866900,0.0014994
12265300,0.0021067
12521900,0.0026222
12892300,0.003596
13433100,0.005701
13945100,0.008816
14371500,0.012667
15167100,0.024876
15877200,0.0453
16502000,0.07626
16903300,0.10382
17045900,0.11472
17155200,0.12512
17531100,0.17103
18035400,0.26447
18273300,0.3273
18489700,0.402
18730300,0.5193
19244700,0.9221
19284300,0.963
19644800,1.4632
19931100,2.2932
20135900,3.0194
20302900,3.731
20617500,5.703
20932000,8.293
20987800,8.687
21359900,11.189
21759200,14.541
21982000,15.979
22186500,17.103
22607100,19.038
22642100,19.136
23495600,20.115
23686900,20.054
24377200,19.136
24795300,17.998
25059400,17.103
25989100,14.118
26082500,13.833
26963400,11.05
27097700,10.603
27872400,8.19
28462300,6.672
28667700,6.224
29627800,4.565
29804000,4.334
30344000,3.922
30594500,3.829
31140200,3.685
31362300,3.653
32590700,3.549
32613700,3.547
33865000,3.42
34780700,3.335
35144800,3.307
36481400,3.233
36970700,3.212
37761300,3.1785
38876400,3.1328
38899000,3.1319
39957200,3.094
40008200,3.0923
