#alt(cm),H2+(cm-3)
13090909.00,9.77E-05
13181818.00,0.000117409
13272727.00,0.000141046
13386364.00,0.000169441
13500000.00,0.000218046
13681818.00,0.000268019
13818182.00,0.000352901
13954545.00,0.00044384
14136364.00,0.000545559
14318182.00,0.000686144
14500000.00,0.000843396
14727273.00,0.001060729
14954545.00,0.001334068
15204545.00,0.001639811
15409091.00,0.002015625
15727273.00,0.00242141
16000000.00,0.002976351
16250000.00,0.003494504
16477273.00,0.004198016
16750000.00,0.004928847
17045455.00,0.005786909
17318182.00,0.00679435
17568182.00,0.00779636
17840909.00,0.009153626
18090909.00,0.010503575
18363636.00,0.012052609
18636364.00,0.013830091
18909091.00,0.016237767
19181818.00,0.018632463
19545455.00,0.021380321
19818182.00,0.025102415
20113636.00,0.028804442
20500000.00,0.033818998
20772727.00,0.037926902
21045455.00,0.043520244
21340909.00,0.048806532
21613636.00,0.054734932
21954545.00,0.06280707
22181818.00,0.070436078
22500000.00,0.080823773
22727273.00,0.090641221
23045455.00,0.104008708
23363636.00,0.124947712
23636364.00,0.146699822
23931818.00,0.176233389
24181818.00,0.204555335
24454545.00,0.242935372
24727273.00,0.28522792
25090909.00,0.342649924
25409091.00,0.402301749
25681818.00,0.446025703
26090909.00,0.505970478
26500000.00,0.554567585
26772727.00,0.58058944
27181818.00,0.600904036
27590909.00,0.607832313
28000000.00,0.587283494
28363636.00,0.573971686
28772727.00,0.54199734
29136364.00,0.505970478
29545455.00,0.466954471
29954545.00,0.45116827
30363636.00,0.440941752
30772727.00,0.440941752
31227273.00,0.45116827
31681818.00,0.45637013
32045455.00,0.461631967
32454545.00,0.461631967
32818182.00,0.466954471
33227273.00,0.472338342
33545455.00,0.472338342
33954545.00,0.472338342
34363636.00,0.477784288
34727273.00,0.483293024
35136364.00,0.483293024
35636364.00,0.483293024
36000000.00,0.483293024
36409091.00,0.483293024
36863636.00,0.483293024
37318182.00,0.477784288
37681818.00,0.472338342
38136364.00,0.472338342
38545455.00,0.472338342
38909091.00,0.472338342
39318182.00,0.472338342
39636364.00,0.466954471
39954545.00,0.466954471
