H2(cm-3),#alt(cm)
567940001.9,8051934.038
225154941.1,8766057.037
127144419.4,9205522.877
59343161.13,9754981.068
26230864.29,10359327.53
12580922.59,10908713.78
5561019.446,11513060.24
2816484.299,12062302.62
1388210.487,12666361.33
898263.4321,13105467.49
521405.4234,13873327.75
328466.9356,14805205.39
257352.1525,16010229.5
212973.1668,17488831.71
191240.5298,18912473.71
181310.6334,20171738.66
171896.333,21431003.6
162962.7587,22635524.15
158766.2623,23894717.15
158932.0285,25044349.43
150672.2183,26248869.98
146806.8085,27617551.78
139197.9044,28986305.51
139357.0888,30245426.58
135748.2296,31340386.4
132285.4056,32873301.38
125416.6714,34132566.32
118916.4045,35501320.05
119052.3954,36760441.12
115969.3564,37855400.94
112971.7711,39005105.16
110024.3272,39881087.41
