#alt(cm),H2(cm-3)
8110000.00,276573359.4
8330000.00,197850069.4
8600000.00,141534419.8
8870000.00,101248344.5
9140000.00,72429217.47
9370000.00,51813109.32
9640000.00,37065129.11
9910000.00,27113754.23
10100000.00,18139306.94
10400000.00,13875267.97
10600000.00,9925839.339
10900000.00,7100568.205
11200000.00,5194182.939
11500000.00,3799630.624
11800000.00,2779492.569
12200000.00,2033244.729
12600000.00,1487352.107
12900000.00,1112592.702
13400000.00,832259.2307
13900000.00,636618.5812
14300000.00,497964.3773
14900000.00,407299.4214
15500000.00,356224.789
16300000.00,318590.4539
16900000.00,297946.255
17700000.00,278639.7703
18300000.00,272486.3977
19000000.00,260584.3178
19700000.00,249202.1151
20500000.00,243698.8323
21100000.00,238317.0819
21900000.00,227907.5018
22600000.00,227907.5018
23300000.00,217952.6074
24000000.00,213139.4266
24700000.00,203829.5949
25400000.00,203829.5949
26100000.00,194926.4124
26800000.00,190621.7331
27500000.00,186412.1167
28200000.00,178269.7216
28900000.00,174332.8822
29600000.00,170482.9825
30300000.00,166718.1025
31100000.00,163036.3646
31700000.00,159435.9328
32500000.00,152471.8449
33200000.00,149104.7158
33900000.00,145811.9451
34600000.00,139442.9467
35300000.00,139442.9467
36000000.00,133352.1432
36700000.00,130407.2462
37400000.00,127527.3832
38200000.00,124711.118
38800000.00,119263.7939
39500000.00,116630.0186
40000000.00,114054.4065
