#alt(cm),HCO+(cm^-3)
8000000,10
8500000,10.72
9000000,32.99
9500000,109.4
10000000,178.6
10500000,213.2
11000000,231.8
11500000,233.6
12000000,251.4
12500000,318
13000000,406.5
13500000,495.3
14000000,557.5
14500000,574.8
15000000,597.3
15500000,605.6
16000000,605.3
16500000,602.4
17000000,607.1
17500000,658.1
18000000,762.8
18500000,817.1
19000000,766.7
19500000,668.3
20000000,567.6
20500000,476.5
21000000,397.4
21500000,330.7
22000000,276.1
22500000,232.4
23000000,197.9
23500000,170.8
24000000,149.3
24500000,132.1
25000000,118.1
25500000,106.6
26000000,96.84
26500000,88.49
27000000,81.23
27500000,74.77
28000000,68.84
28500000,63.49
29000000,58.61
29500000,54.4
30000000,51.16
30500000,48.91
31000000,47.37
31500000,46.14
32000000,45.01
32500000,43.96
33000000,42.98
33500000,42.06
34000000,41.2
34500000,40.39
35000000,39.63
35500000,38.9
36000000,38.22
36500000,37.57
37000000,36.96
37500000,36.37
38000000,35.81
38500000,35.28
39000000,34.77
39500000,34.28
40000000,33.8
