#alt(cm),HCO+(cm-3)
8038869.258,15.45449173
8303886.926,15.87315839
8568904.594,16.74482438
8727915.194,18.14289001
8939929.329,19.13919709
9098939.929,21.29895073
9204946.996,24.34452621
9257950.53,27.82559402
9310954.064,30.96556001
9363957.597,34.45985398
9416961.131,38.3484599
9469964.664,42.67587371
9522968.198,48.77817405
9522968.198,54.28252401
9575971.731,60.40800975
9628975.265,65.45161966
9681978.799,72.83747671
9681978.799,83.25263919
9734982.332,92.64724386
9787985.866,103.1019783
9840989.399,114.7364722
9840989.399,127.6838551
9946996.466,149.8952007
10000000,166.8100537
10106007.07,190.6625249
10212014.13,217.925704
10371024.73,236.1208448
10583038.87,249.0872945
10848056.54,249.0872945
11113074.2,236.1208448
11325088.34,217.925704
11590106.01,201.1326553
11802120.14,175.9703384
12014134.28,158.1266154
12279151.94,142.0922793
12544169.61,134.6955456
12809187.28,142.0922793
13021201.41,158.1266154
13286219.08,171.3289865
13498233.22,185.6336553
13710247.35,201.1326553
13975265.02,212.1777473
14240282.69,223.8293746
14505300.35,236.1208448
14823321.55,242.517427
15088339.22,249.0872945
15353356.89,249.0872945
15671378.09,255.8351416
15989399.29,255.8351416
16307420.49,255.8351416
16572438.16,255.8351416
16890459.36,255.8351416
17155477.03,255.8351416
17420494.7,255.8351416
17685512.37,262.7657898
18003533.57,284.704737
18268551.24,308.4754197
18480565.37,343.2851825
18692579.51,371.9468874
18904593.64,392.3721514
19116607.77,425.1322453
19381625.44,448.4781548
19646643.11,473.1060923
19964664.31,499.0864599
20282685.51,512.6068569
20600706.71,526.4935255
20971731.45,526.4935255
21342756.18,512.6068569
21607773.85,512.6068569
21978798.59,499.0864599
22243816.25,473.1060923
22508833.92,448.4781548
22826855.12,436.6492012
23144876.33,403.0016269
23409893.99,382.0230365
23727915.19,362.1365044
23992932.86,343.2851825
24310954.06,316.8321084
24628975.27,300.3391451
24893992.93,277.1954323
25212014.13,255.8351416
25530035.34,242.517427
25848056.54,229.8929773
26166077.74,212.1777473
26484098.94,195.827628
26855123.67,180.737426
27226148.41,166.8100537
27544169.61,158.1266154
27862190.81,149.8952007
28180212.01,142.0922793
28498233.22,134.6955456
28816254.42,124.316096
29187279.15,121.0371641
29452296.82,114.7364722
29770318.02,108.7637682
30088339.22,105.8950408
30459363.96,103.1019783
30777385.16,97.73491762
31148409.89,97.73491762
31466431.1,95.15708459
31784452.3,92.64724386
32155477.03,90.20360211
32473498.23,87.82441326
32791519.43,85.50797734
33056537.1,85.50797734
33374558.3,83.25263919
33692579.51,83.25263919
33957597.17,83.25263919
34275618.37,81.0567873
34540636.04,78.91885268
34911660.78,78.91885268
35282685.51,76.83730771
35600706.71,76.83730771
35865724.38,74.81066509
36236749.12,74.81066509
36607773.85,72.83747671
36978798.59,70.91633267
37349823.32,69.04586028
37720848.06,69.04586028
38144876.33,67.22472303
38462897.53,67.22472303
38833922.26,65.45161966
39151943.46,65.45161966
39522968.2,65.45161966
39946996.47,63.72528324
