#alt(cm),HCO+(cm-3)
8017391.304,8.876545685
8278260.87,9.341683274
8486956.522,10.34635631
8591304.348,11.75547807
8695652.174,13.35651514
8747826.087,15.17560542
8800000,17.24244665
8852173.913,19.09682565
8904347.826,21.69771738
8904347.826,24.03124882
8956521.739,26.61574532
9008695.652,30.24067614
9008695.652,34.35930434
9060869.565,38.05455558
9113043.478,43.23739491
9113043.478,47.88746102
9165217.391,54.40949268
9269565.217,61.8197923
9269565.217,72.0561377
9321739.13,81.86982173
9426086.957,93.02008024
9530434.783,105.6889479
9634782.609,120.0832518
9739130.435,136.4379876
9843478.261,151.111528
10000000,171.6921591
10156521.74,185.3626293
10365217.39,205.297884
10626086.96,216.0556457
10886956.52,227.3771221
11200000,233.2584247
11513043.48,227.3771221
11773913.04,233.2584247
12086956.52,251.830923
12295652.17,271.8822005
12504347.83,316.9014413
12765217.39,350.9833432
12973913.04,388.7306625
13182608.7,430.537605
13443478.26,464.8178629
13652173.91,514.8077802
13965217.39,541.7840903
14226086.96,555.7977966
14539130.43,555.7977966
14852173.91,570.1739792
15113043.48,600.0515194
15426086.96,600.0515194
15739130.43,600.0515194
16052173.91,600.0515194
16417391.3,600.0515194
16730434.78,584.9220141
17043478.26,600.0515194
17408695.65,615.5723622
17669565.22,681.7755224
17930434.78,736.0598415
18243478.26,774.6299241
18556521.74,774.6299241
18817391.3,774.6299241
19130434.78,717.5010663
19391304.35,664.5854544
19704347.83,615.5723622
20017391.3,555.7977966
20278260.87,501.827583
20539130.43,453.0980954
20800000,409.1004381
21113043.48,369.3751312
21426086.96,333.5073123
21686956.52,301.1224036
22000000,271.8822005
22313043.48,245.4813394
22626086.96,216.0556457
22939130.43,195.0757688
23252173.91,176.1331228
23617391.3,159.0298843
23982608.7,143.5874395
24400000,129.6445185
24765217.39,120.0832518
25130434.78,111.2271273
25443478.26,103.0241409
25808695.65,97.89440156
26173913.04,90.67470196
26539130.43,86.15986122
26852173.91,79.80558248
27165217.39,75.83193285
27478260.87,73.91993098
27843478.26,68.46834552
28208695.65,63.4188138
28573913.04,60.26108801
28991304.35,57.26059052
29356521.74,54.40949268
29721739.13,51.70035563
30034782.61,49.12611092
30452173.91,47.88746102
30765217.39,46.68004203
31182608.7,45.50306652
31495652.17,44.35576689
31808695.65,43.23739491
32173913.04,43.23739491
32539130.43,42.14722119
32852173.91,42.14722119
33269565.22,41.08453476
33634782.61,40.04864256
33947826.09,40.04864256
34313043.48,39.03886902
34730434.78,38.05455558
35095652.17,37.0950603
35460869.57,37.0950603
35826086.96,36.15975742
36191304.35,36.15975742
36608695.65,35.24803697
36973913.04,35.24803697
37391304.35,34.35930434
37756521.74,34.35930434
38173913.04,34.35930434
38539130.43,34.35930434
38852173.91,34.35930434
39269565.22,33.49297994
39634782.61,33.49297994
39947826.09,33.49297994
