#alt(cm),HNO+(cm-3)
1.85E+07,0.000321255
1.88E+07,0.000432522
1.90E+07,0.000582326
1.91E+07,0.000784016
1.93E+07,0.001055561
1.95E+07,0.001421156
1.97E+07,0.001913376
1.99E+07,0.002507363
2.01E+07,0.003468306
2.03E+07,0.004545004
2.06E+07,0.006119173
2.10E+07,0.007596722
2.15E+07,0.009431042
2.21E+07,0.009955041
2.27E+07,0.009431042
2.32E+07,0.008464337
2.38E+07,0.007394087
2.43E+07,0.006459161
2.49E+07,0.00564245
2.54E+07,0.005064085
2.60E+07,0.004545004
2.67E+07,0.00407913
2.73E+07,0.003761339
2.79E+07,0.003468306
2.85E+07,0.003029765
2.90E+07,0.002793727
2.97E+07,0.002576077
3.03E+07,0.002507363
3.09E+07,0.002375384
3.15E+07,0.002312023
3.21E+07,0.002190326
3.28E+07,0.002131901
3.34E+07,0.002075035
3.40E+07,0.002019686
3.47E+07,0.001965812
3.52E+07,0.001965812
3.59E+07,0.001862339
3.65E+07,0.001862339
3.71E+07,0.001812663
3.77E+07,0.001764312
3.83E+07,0.001764312
3.90E+07,0.001717251
3.96E+07,0.001671445
4.00E+07,0.00162686
