#alt(cm),HO2+(cm-3)
1.87E+07,0.000312685
1.89E+07,0.000367754
1.91E+07,0.000444375
1.93E+07,0.000508696
1.95E+07,0.000598285
1.97E+07,0.000684883
1.98E+07,0.000763103
2.00E+07,0.000947363
2.03E+07,0.001176116
2.05E+07,0.001500117
2.07E+07,0.001812663
2.09E+07,0.002075035
2.11E+07,0.002440482
2.14E+07,0.002870289
2.18E+07,0.003375792
2.21E+07,0.003563355
2.27E+07,0.003563355
2.29E+07,0.003468306
2.31E+07,0.003375792
2.33E+07,0.003285746
2.36E+07,0.003112796
2.38E+07,0.002948949
2.40E+07,0.002793727
2.43E+07,0.002646675
2.47E+07,0.002375384
2.49E+07,0.002250352
2.52E+07,0.002131901
2.54E+07,0.002019686
2.57E+07,0.001913376
2.60E+07,0.001764312
2.64E+07,0.001671445
2.67E+07,0.001583466
2.72E+07,0.001460103
2.74E+07,0.001421156
2.76E+07,0.001383248
2.79E+07,0.001310439
2.81E+07,0.001275484
2.84E+07,0.001241462
2.86E+07,0.001208347
2.89E+07,0.001144744
2.91E+07,0.001114209
2.94E+07,0.001084489
2.97E+07,0.001055561
3.00E+07,0.001027405
3.02E+07,0.001
3.05E+07,0.000973326
3.10E+07,0.000947363
3.15E+07,0.000922093
3.18E+07,0.000897498
3.22E+07,0.000897498
3.26E+07,0.000873558
3.30E+07,0.000850256
3.32E+07,0.000850256
3.37E+07,0.000827577
3.42E+07,0.000805502
3.45E+07,0.000805502
3.50E+07,0.000784016
3.55E+07,0.000763103
3.61E+07,0.000763103
3.66E+07,0.000742748
3.71E+07,0.000722936
3.77E+07,0.000703652
3.82E+07,0.000703652
3.89E+07,0.000684883
3.94E+07,0.000666614
4.00E+07,0.000666614
