#alt(cm),H(cm-3)
8000000,100000
8500000,4152000
9000000,5155000
9500000,4933000
10000000,4285000
10500000,3540000
11000000,2859000
11500000,2308000
12000000,1894000
12500000,1581000
13000000,1349000
13500000,1176000
14000000,1018000
14500000,867500
15000000,785700
15500000,732700
16000000,696500
16500000,670400
17000000,650900
17500000,635500
18000000,623600
18500000,613900
19000000,605400
19500000,598000
20000000,590900
20500000,584400
21000000,578100
21500000,572200
22000000,566400
22500000,560500
23000000,555000
23500000,549500
24000000,544100
24500000,538700
25000000,533500
25500000,528300
26000000,523200
26500000,518100
27000000,513100
27500000,508200
28000000,503400
28500000,498600
29000000,493800
29500000,489100
30000000,484500
30500000,480000
31000000,475400
31500000,471000
32000000,466600
32500000,462200
33000000,458000
33500000,453700
34000000,449500
34500000,445400
35000000,441300
35500000,437200
36000000,433200
36500000,429300
37000000,425400
37500000,421500
38000000,417700
38500000,414000
39000000,410200
39500000,406600
40000000,402900
40500000,398400
41000000,394000
41500000,389600
42000000,385300
42500000,381000
43000000,376800
43500000,372600
44000000,368400
44500000,364300
45000000,360300
45500000,356300
46000000,352300
46500000,348400
47000000,344500
47500000,340700
48000000,336900
48500000,333100
49000000,329400
49500000,325800
50000000,322100
50500000,318600
51000000,315000
51500000,311500
52000000,308000
52500000,304600
53000000,301200
53500000,297900
54000000,294600
54500000,291300
55000000,288000
55500000,284800
56000000,281700
56500000,278500
57000000,275400
57500000,272400
58000000,269300
58500000,266300
59000000,263400
59500000,260500
60000000,257600
60500000,254700
61000000,251900
61500000,249100
62000000,246300
62500000,243500
63000000,240800
63500000,238200
64000000,235500
64500000,232900
65000000,230300
65500000,227700
66000000,225200
66500000,222700
67000000,220200
67500000,217800
68000000,215300
68500000,213000
69000000,210600
69500000,208200
70000000,205900
