#alt(cm),H(cm-3)
8074600,873900
8099400,1027900
8124300,1209000
8149200,1408700
8174000,1563700
8223800,2026300
8248600,2300100
8348100,2970500
8497300,3615000
8571800,3849000
8571900,3849000
8646500,4043000
8795600,4353000
8902100,4520000
8919900,4544000
8944800,4575000
8964700,4598000
9118900,4722000
9193500,4750000
9317800,4748000
9403300,4707000
9417200,4697000
9541500,4566000
9591300,4499000
9616100,4464000
9740500,4277000
9889600,4027000
9967200,3888000
10063700,3709000
10138300,3569000
10155200,3537000
10237700,3380000
10468400,2945100
10610700,2685400
10685300,2552900
10719000,2494000
10781700,2386100
11032300,1979700
11108000,1866300
11182600,1758800
11282900,1621400
11533500,1312200
11596200,1241900
11630100,1205000
11679900,1152200
11846800,988500
12097400,788400
12160100,747400
12177200,736800
12222700,709600
12410700,612400
12598600,533500
12649600,514600
12898200,434300
13022600,400300
13099900,381000
13162500,366300
13271200,342400
13538400,291590
13594400,282150
13669000,270130
13726400,261300
14102300,211040
14141400,206470
14166300,203630
14352900,184210
14540900,168620
14663600,160540
15042100,143020
15104800,140870
15111100,140660
15167400,138860
15292700,135190
15480700,130270
15856600,121620
16357800,110340
16420500,108610
16483200,106480
16608500,98980
16671100,97230
17485600,90460
17610900,89880
17736200,89340
17986800,88360
18550700,86440
18676000,86050
18926600,85300
19114600,84750
19553200,83550
19866400,82730
20179700,81930
20555600,81020
21119500,79710
21182200,79570
21370100,79150
22122000,77540
22309900,77150
22560500,76640
23124400,75540
23563000,74720
23751000,74380
23938900,74050
24126900,73730
24377500,73320
24816100,72870
24941400,73780
25129300,73850
25379900,73760
25943800,73320
26069100,73200
26131800,73140
26194400,73080
26821000,72430
26921500,72320
26946400,72290
27322200,71870
27493400,71680
27891200,71230
28262000,70800
28264200,70800
28587400,70430
28910700,70050
29233900,69680
29640400,69200
29703000,69130
29955000,68840
30278200,68470
30705500,67970
30899800,67750
30924600,67720
31144100,67470
31571100,66980
31707900,66820
31819700,66700
32267300,66190
32585100,65830
32739700,65660
32773000,65620
32938600,65440
33585100,64730
33734300,64570
34026100,64250
34181800,64090
34652700,63590
34654200,63590
34878000,63360
35467100,62760
35698500,62540
35717800,62530
35723400,62520
36394700,61940
36643400,61780
36782900,61720
36970800,61730
37033500,62760
37190400,62890
37588200,62860
37762200,62800
37848000,62770
38408700,62510
38411900,62510
38533000,62440
38913100,62240
39030300,62170
39353500,61990
39477900,61920
39577300,61860
39852900,61700
39900500,61670
39950300,61640
40000000,61610
