#alt[cm],H[cm^-3]
8047760,66427900
8095520,62802900
8573130,35832200
8668660,32028100
8764180,28627900
8811940,27065700
8955220,22872200
9002990,21624000
9050750,20444000
9098510,19328400
9194030,17157300
9241790,16165000
9385070,13519400
9432840,12737600
9576120,10652900
9623880,10036800
9671640,9456320
9814930,7908680
9862690,7451280
9910450,7020340
10006000,6231790
10053700,5871380
10197000,4910460
10244800,4626460
10292500,4358890
10340300,4106800
10388100,3869280
10435800,3645510
10483600,3434670
10531300,3236030
10626900,2872550
10674600,2706410
10722400,2549890
10770100,2402420
10817900,2263480
10865700,2132570
10913400,2009230
10961200,1901260
11009000,1799080
11056700,1702400
11152200,1524340
11200000,1442420
11247800,1364900
11295500,1291550
11391000,1156460
11438800,1094310
11486600,1035500
11534300,979855
11582100,927196
11677600,830218
11725400,785601
11868700,665629
11916400,629858
12011900,563979
12059700,533670
12107500,504990
12155200,477851
12203000,452171
12250700,427871
12298500,404877
12346300,383119
12394000,362530
12441800,343047
12537300,314106
12585100,300564
12632800,287606
12728400,263343
12776100,251989
12823900,241126
12871600,230730
12919400,220783
12967200,211265
13014900,202157
13062700,193442
13158200,177122
13253700,162179
13301500,155187
13349300,148497
13397000,143962
13492500,135305
13540300,131173
13588100,127168
13635800,123285
13683600,119520
13779100,112332
13826900,108902
13874600,105577
13922400,102353
13970100,99741.9
14017900,97197.3
14113400,92301.3
14161200,89946.5
14209000,87651.8
14256700,85415.7
14304500,83236.6
14352200,81113.1
14447800,77027.2
14495500,75062.1
14591000,71907.3
14638800,70379.9
14734300,67421.9
14782100,65989.8
14829900,64588.1
14877600,63216.3
14925400,61873.5
14973100,60559.3
15068700,58014
15116400,56781.7
15164200,56125.2
15211900,55476.3
15259700,54834.9
15450700,52342.6
15498500,51737.4
15546300,51139.2
15641800,49963.5
15737300,48814.9
15832800,47692.6
15880600,47141.2
15976100,46176.6
16023900,45701.7
16167200,44306.2
16214900,43850.6
16262700,43399.6
16358200,42511.6
16406000,42074.4
16453700,41641.7
16501500,41213.5
16549300,40789.6
16597000,40370.2
16644800,40218.7
16788100,39767.7
16883600,39469.9
16931300,39321.8
16979100,39174.3
17026900,39027.3
17122400,38735
17217900,38444.9
17313400,38156.9
17409000,37871.1
17456700,37729
17504500,37587.5
17600000,37306
17647800,37166
17743300,36887.6
17791000,36749.2
17838800,36611.4
17886600,36474
17934300,36337.2
17982100,36200.8
18125400,35794.9
18173100,35660.6
18220900,35568.6
18268700,35476.8
18316400,35385.2
18459700,35111.9
18555200,34930.9
18603000,34840.8
18650700,34750.8
18794000,34482.5
18841800,34393.5
18985100,34127.8
19032800,34039.8
19128400,33864.3
19319400,33516
19367200,33429.5
19414900,33343.2
19462700,33257.2
19558200,33085.7
19606000,33000.3
19701500,32830.2
19749300,32745.5
19844800,32576.7
19892500,32492.6
20035800,32241.7
20083600,32158.5
20179100,31992.7
20226900,31910.1
20274600,31827.7
20322400,31745.6
20370100,31663.7
20417900,31581.9
20465700,31500.4
20561200,31411.8
20609000,31367.5
20656700,31323.3
20800000,31191.1
20895500,31103.3
20991000,31015.8
21038800,30972.1
21086600,30928.4
21182100,30841.4
21229900,30797.9
21373100,30668
21420900,30624.8
21468700,30581.6
21516400,30538.6
21611900,30452.6
21659700,30409.7
21803000,30281.4
21850700,30238.7
21898500,30196.1
22089600,30026.3
22185100,29941.8
22232800,29899.6
22280600,29857.5
22567200,29606.1
22614900,29564.3
22710400,29481.1
22901500,29315.4
22997000,29232.8
23044800,29191.7
23140300,29109.5
23188100,29068.5
23235800,29027.5
23331300,28945.8
23426900,28864.3
23570100,28742.5
23617900,28702
23665700,28684
23761200,28648.1
23856700,28612.3
23952200,28576.4
24000000,28558.5
24047800,28540.6
24095500,28522.8
24143300,28504.9
24286600,28451.4
24382100,28415.8
24477600,28380.2
24525400,28362.4
24573100,28344.6
24620900,28326.9
24668700,28309.1
24716400,28291.4
24811900,28256
24955200,28202.9
25003000,28185.3
25050700,28167.6
25098500,28150
25194000,28114.7
25337300,28061.9
25385100,28044.4
25480600,28009.2
25528400,27991.7
25576100,27974.2
25719400,27921.6
25814900,27886.7
25862700,27869.2
25958200,27834.3
26006000,27816.9
26053700,27799.5
26197000,27747.3
26244800,27729.9
26292500,27712.5
26340300,27695.2
26388100,27677.8
26435800,27660.5
26722400,27556.7
26770100,27539.4
26817900,27522.2
26913400,27487.7
27056700,27436.1
27104500,27418.9
27200000,27384.6
27247800,27367.4
27438800,27299
27582100,27247.7
27629900,27230.6
27820900,27162.5
27916400,27128.5
28107500,27060.6
28203000,27026.7
28250700,27009.8
28346300,26975.9
28537300,26906.6
28585100,26889.3
28632800,26872
28728400,26837.4
28967200,26751.2
29062700,26716.8
29206000,26665.3
29349300,26613.9
29444800,26579.7
29635800,26511.4
29731300,26477.3
29779100,26460.2
29826900,26443.2
29874600,26426.2
30065700,26358.3
30113400,26341.3
30352200,26256.7
30447800,26223
30495500,26206.1
30591000,26172.4
30638800,26155.6
30782100,26105.1
30829900,26088.4
30877600,26071.6
31020900,26021.3
31068700,26004.6
31211900,25954.4
31307500,25921
31498500,25854.4
31546300,25837.8
31594000,25821.2
31689600,25788
31737300,25771.4
31832800,25738.2
31928400,25705.1
31976100,25688.6
32119400,25639.1
32262700,25589.6
32310400,25573.2
32549300,25491
32597000,25474.6
32692500,25441.9
32931300,25360.2
32979100,25343.9
33026900,25327.6
33074600,25311.3
33313400,25230
33409000,25197.5
33456700,25181.3
33695500,25100.4
33791000,25068.2
33838800,25052
33934300,25019.8
34029900,24987.7
34220900,24923.4
34316400,24891.4
34364200,24875.4
34603000,24795.5
34746300,24747.7
34841800,24715.8
35128400,24620.6
35271600,24573.1
35462700,24510
35558200,24478.5
35701500,24431.3
