#alt(cm),H(cm-3)
8005400,1773400
8024900,1934500
8053800,2189500
8055300,2203200
8117400,1939400
8117800,1373300
8154900,1543200
8266400,2543800
8291100,3136900
8379200,3574000
8398700,3656000
8477400,3947000
8503800,4032000
8514700,4064000
8603500,4292000
8742700,4555000
8772600,4600000
8807000,4649000
8877600,4735000
8912700,4772000
9176600,4873000
9178300,4872000
9245100,4842000
9261000,4833000
9372100,4750000
9550400,4580000
9680800,4438000
9684200,4435000
9810200,4282000
9937200,4103000
9949100,4085000
10196900,3710000
10245900,3637000
10372600,3452000
10375300,3449000
10565000,3187700
10748300,2952800
10796200,2894200
10940400,2724600
11130100,2516600
11169900,2475000
11313400,2331000
11388800,2258800
11505500,2151800
11543500,2118200
11568700,2096200
11867300,1855100
11878500,1846800
12009100,1752900
12133300,1669700
12240900,1602300
12443600,1487400
12580600,1418900
12636900,1392900
12763900,1338700
12823800,1315000
13071400,1225700
13201000,1182000
13327400,1139800
13521500,1073600
13577000,1054300
13699200,1011900
13735000,999800
13810800,974700
14259100,849900
14267600,848000
14327000,834800
14330100,834100
14780700,755800
14856800,745800
14901300,740300
14954700,734100
14955000,734100
15303500,700400
15461200,688200
15522400,683800
15582500,679700
15975600,656500
16273000,642300
16402300,636700
16463700,634200
16651400,626900
16963500,615700
16970700,615400
17295100,604400
17404900,600900
17406300,600900
17653900,594000
17906000,588600
18346000,581600
18407100,580800
18410100,580700
18538300,579100
18614400,578100
19097600,572600
19097800,572600
19287200,570500
19414000,569100
19660100,566500
20058200,562200
20164700,561000
20291200,559600
20417800,558200
20854100,553200
20917800,552400
21295000,547400
21422700,545400
21484400,544400
21608300,542100
22108600,529400
22298900,524700
22361500,523300
22550900,519700
22923200,514100
22990300,513200
23197000,510600
23371500,508600
23372400,508600
23425800,508100
23994100,502300
24055700,501700
24182200,500500
24558200,497200
24743000,495700
25122200,492700
25248800,491700
25310500,491300
25311300,491300
25986700,486800
25997600,486800
26011500,486700
26377100,484800
26691700,483800
26752500,483700
26817600,483600
27001100,484300
27380900,489800
27570700,489700
27758300,488700
28318300,484300
28320000,484200
28323900,484200
28447500,483100
28824900,479400
29139700,476300
29514000,472400
29635500,471200
29672900,470800
29828700,469200
30171100,465600
30580600,461300
30895200,458000
30952700,457400
31647100,450200
31961800,446900
32269900,443700
32713700,439200
32858500,437700
33380400,432400
33587100,430300
34027700,425900
34500700,421200
34620000,420100
34966600,416700
35343300,413200
36534200,404500
36660400,403600
37977600,394200
38289900,392600
39294700,391400
39857500,393100
40021400,393700
