#alt(cm),Tn(K),Ti(K),Te(K)
10104200,132,131.27,130.92
10129800,131.78,131.21,130.87
10129900,131.78,131.21,130.87
10181100,131.37,131.11,130.75
10181400,131.37,131.11,130.75
10207100,131.22,131.07,130.69
10489100,130.75,131.11,130.27
10617400,130.78,131.27,130.23
10643000,130.79,131.3,130.23
10694400,130.83,131.38,130.24
10771700,130.9,131.51,130.27
11002700,131.25,131.95,130.49
11490000,132.83,133.24,131.91
11567000,133.25,133.51,132.3
11644000,133.75,133.81,132.77
11746900,134.55,134.28,133.51
11772400,134.78,134.41,133.71
12260300,141.48,140.9,139.6
12285900,141.94,141.48,140.04
12285900,141.94,141.48,140.04
12362800,143.39,143.14,141.47
12362900,143.4,143.15,141.48
12696500,150.72,150.61,150.87
12799700,153.42,153.29,156.13
12876700,155.6,155.52,162.09
12928100,157.17,157.16,167.06
12953800,157.99,158.03,169.59
13031400,160.63,160.87,176.43
13365000,174.46,175.74,200.09
13365700,174.49,175.77,200.16
13416500,176.78,178.1,205.41
13519100,181.37,182.68,219.1
13555500,182.98,184.27,223.27
13558000,183.08,184.38,223.54
13878900,197.07,197.8,255.94
13905100,198.21,198.86,258.48
14141300,208.73,208.33,280.93
14238600,213.19,212.31,289.84
14399300,220.68,219.16,304.01
14418400,221.56,220.02,305.66
14591200,229.12,227.92,320.15
14918400,240.79,240.49,346.11
15045800,244.45,244.45,355.86
15305700,250.89,251.6,375.04
15954100,264.23,265.76,418.02
16079100,266.6,267.94,425.57
16404400,272.68,272.68,444.62
16406100,272.71,272.7,444.72
17183700,285.66,280.07,490.04
17441800,288.57,282.82,508.12
17579800,289.82,284.69,525.88
17631300,290.24,285.48,533.68
17956800,292.32,292.32,589.35
18025500,292.65,294.29,603.73
18089700,292.94,296.32,618.81
18351300,293.86,306.52,701.28
18504900,294.27,313.92,758.44
18602100,294.49,319.13,795.63
18634400,294.55,320.93,808.23
18795300,294.83,330.53,872.76
19019300,295.12,345.15,962.54
19046000,295.15,346.96,972.78
19186600,295.27,356.58,1023.8
19457400,295.41,374.98,1116.7
19508600,295.42,378.41,1135.4
19559600,295.43,381.83,1154.5
19843000,295.44,400.74,1256.9
19961800,295.41,408.69,1289.8
20222200,295.33,426.41,1361.3
20227900,295.32,426.8,1363.2
