#alt[cm],Tn[K],Ti[K],Te[K]
8099690,138.965,138.965,138.965
9046730,134.794,134.794,134.794
9046730,134.794,134.794,134.794
10043600,132.353,132.353,132.353
10542100,132.353,132.353,132.353
10542100,132.353,132.353,132.353
11040500,132.353,132.353,132.353
11588800,133.976,133.976,133.976
11588800,133.976,133.976,133.976
12037400,138.12,137.281,138.12
12037400,138.12,137.281,138.12
12386300,144.139,144.139,144.139
12535800,147.336,147.336,151.34
12635500,149.507,149.507,158.513
12785000,154.508,154.508,169.916
12884700,157.935,157.935,174.64
12984400,162.325,162.325,179.495
13084100,166.838,166.838,186.936
13134000,169.141,169.141,190.772
13283500,176.243,176.243,206.751
13383200,181.143,181.143,218.14
13482900,186.179,186.179,227.184
13532700,188.079,188.079,231.846
13682200,193.898,193.898,244.916
13981300,206.08,206.08,278.349
14081000,210.309,210.309,284.523
14230500,215.498,215.498,294.041
14380100,220.815,220.815,302.768
14479800,224.432,224.432,308.73
14679100,231.846,231.846,327.129
14878500,237.953,237.953,346.625
15127700,245.813,245.813,363.941
15426800,255.588,255.588,382.122
15725900,261.496,261.496,406.13
15825500,263.495,263.495,412.783
16024900,266.365,266.365,426.419
16274100,269.997,269.997,439.611
16373800,271.279,271.184,445.001
17021800,279.766,279.029,487.592
17171300,281.762,280.871,501.147
17320900,282.909,282.726,515.079
17520200,284.446,285.217,535.563
17570100,284.831,286.961,540.81
17619900,285.217,288.714,550.308
17769500,286.167,294.041,579.814
17919000,287.12,298.1,610.903
18068500,288.075,302.215,649.286
18168200,288.714,304.99,667.336
18267900,289.067,308.73,685.888
18467300,289.772,316.347,774.784
18517100,289.949,318.281,786.677
18666700,290.479,325.981,823.463
18816200,291.011,333.868,869.885
19115300,292.076,350.218,988.634
19165100,292.255,353.02,1006.87
19264800,292.578,359.532,1044.37
19464200,293.228,372.92,1103.24
19763200,294.204,389.171,1208.83
19862900,294.53,397.01,1246.23
20062300,295.183,413.165,1316.48
20261700,295.838,429.977,1368.84
20311500,295.838,434.286,1382.25
20610600,295.838,455.981,1487.11
20760100,295.838,467.231,1542.48
20810000,295.838,471.043,1561.4
20909700,295.838,478.759,1586.98
21109000,295.838,500.232,1639.4
21408100,295.838,534.259,1710.84
21707200,295.838,560.948,1801.78
21806900,295.838,570.138,1833.16
22006200,296.56,588.971,1897.57
22305300,297.646,625.283,1968.23
22355100,297.646,631.549,1980.26
22554500,297.646,657.247,2029.12
22704000,297.646,676.754,2066.55
22803700,297.646,690.08,2091.89
23102800,297.646,724.554,2169.79
23451700,297.646,782.375,2264.34
23601200,297.646,808.547,2292.11
23850500,297.646,854.127,2339.14
23900300,297.646,861.095,2348.66
24149500,297.646,896.796,2393.81
24299100,297.646,925.564,2421.32
24348900,297.646,935.357,2431.76
24697800,297.646,1006.87,2506.09
24847400,297.646,1040.55,2538.63
24947000,297.646,1063.63,2560.57
25146400,297.646,1098.77,2605
25246100,297.646,1116.77,2622.7
25595000,297.646,1216.22,2685.59
25694700,297.646,1246.23,2700.18
25894100,297.646,1295.79,2729.59
25943900,297.646,1308.48,2736.99
26043600,297.646,1329.92,2751.86
26243000,297.646,1373.85,2785.6
26392500,297.646,1419.81,2811.18
26891000,297.646,1584.4,2898.14
26940800,297.646,1601.87,2906.99
27439300,297.646,1787.57,2978.71
27887900,297.646,1973.03,3033.66
27937700,297.646,1994.79,3040.14
28236800,297.646,2130.48,3079.29
28436100,297.646,2226.03,3105.68
28884700,297.646,2456.99,3165.86
28934600,297.646,2484.09,3172.3
29233600,297.646,2653.06,3211.2
29333300,297.646,2695.68,3224.27
29831800,297.646,2919.28,3263.8
29881600,297.646,2942.63,3269.78
29981300,297.646,2973.53,3281.75
30230500,297.646,3052.21,3311.89
30479800,297.646,3104.31,3342.3
30679100,297.646,3146.63,3366.83
30828700,297.646,3160.36,3385.34
30978200,297.646,3174.14,3399.12
31277300,297.646,3201.89,3426.85
31725900,297.646,3243.98,3464.64
31775700,297.646,3248.37,3468.87
32024900,297.646,3270.44,3490.07
32174500,297.646,3283.75,3502.85
32523400,297.646,3297.79,3532.86
32672900,297.646,3303.82,3545.8
32772600,297.646,3311.5,3554.46
33021800,297.646,3330.77,3578.6
33221200,297.646,3346.27,3598.04
33719600,297.646,3385.34,3620.03
34118400,297.646,3422.21,3655.5
34168200,297.646,3426.85,3659.96
34616800,297.646,3451.03,3700.32
34716500,297.646,3456.42,3709.35
35115300,297.646,3478.09,3727.48
35215000,297.646,3483.53,3732.02
35713400,297.646,3510.85,3754.83
36112100,297.646,3532.86,3781.07
36162000,297.646,3535.56,3784.37
36660400,297.646,3562.59,3817.45
36760100,297.646,3568.02,3824.1
37158900,297.646,3589.83,3842.79
37258600,297.646,3595.3,3847.48
37757000,297.646,3622.79,3870.99
38105900,297.646,3642.16,3886.03
38205600,297.646,3644.62,3890.34
38704000,297.646,3656.98,3911.95
38853600,297.646,3660.7,3918.46
39202500,297.646,3669.38,3935.21
39352000,297.646,3673.11,3942.41
39850500,297.646,3685.57,3966.5
39900300,297.646,3686.82,3968.92
