#alt(cm),Tn(K),Ti(K),Te(K)
10104200,138.71,137.57,130.78
10129800,138.71,137.59,130.75
10129900,138.71,137.59,130.75
10181100,138.71,137.63,130.69
10181400,138.71,137.63,130.69
10207100,138.71,137.64,130.66
10489100,138.72,137.85,130.56
10617400,138.72,137.94,130.66
10643000,138.72,137.95,130.69
10694400,138.72,137.99,130.75
10771700,138.71,138.03,130.86
11002700,138.71,138.17,131.28
11490000,138.93,138.42,132.68
11567000,139.01,138.45,133
11644000,139.1,138.48,133.35
11746900,139.26,138.53,133.92
11772400,139.31,138.54,134.08
12260300,140.42,138.69,139.89
12285900,140.48,138.7,140.37
12285900,140.48,138.7,140.37
12362800,140.63,138.71,141.86
12362900,140.63,138.71,141.86
12696500,140.92,138.84,149.65
12799700,140.82,138.96,152.59
12876700,140.71,139.1,155
12928100,140.64,139.22,156.75
12953800,140.61,139.29,157.67
13031400,140.57,139.55,160.69
13365000,141.84,141.81,178.1
13365700,141.85,141.81,178.15
13416500,142.37,142.39,181.37
13519100,143.76,143.79,188.14
13555500,144.38,144.38,190.62
13558000,144.42,144.42,190.79
13878900,152.23,151.79,213.81
13905100,152.99,152.52,215.73
14141300,160.12,159.67,232.42
14238600,163.06,162.69,238.89
14399300,167.69,167.49,249.36
14418400,168.22,168.04,250.61
14591200,172.65,172.65,261.89
14918400,179.38,179.67,283.13
15045800,181.52,181.91,291.24
15305700,185.23,185.75,307.21
15954100,191.69,191.9,343.09
16079100,192.59,192.59,349.72
16404400,194.57,193.78,367.28
16406100,194.58,193.79,367.37
17183700,197.57,195.49,418.56
17441800,198.13,196.75,443.69
17579800,198.35,197.87,461.02
17631300,198.42,198.42,468.37
17956800,198.68,204.17,527.58
18025500,198.69,206,542.82
18089700,198.7,207.94,557.6
18351300,198.62,218.08,618.78
18504900,198.55,225.39,655.81
18602100,198.5,230.31,680.46
18634400,198.48,231.96,688.94
18795300,198.42,240.38,734.11
19019300,198.37,252.53,808.23
19046000,198.36,254.02,818.26
19186600,198.35,261.95,875.08
19457400,198.35,277.85,989.1
19508600,198.35,280.93,1009.04
19559600,198.35,284.03,1028
19843000,198.37,301.99,1119.2
19961800,198.38,310.28,1153.8
20222200,198.4,329.6,1230.7
20227900,198.4,330.03,1232.4
20228700,198.41,330.1,1232.7
20412000,198.42,344.43,1292.9
20414200,198.42,344.61,1293.7
20691000,198.43,367.24,1388.8
20868300,198.44,382.26,1445.9
20896000,198.44,384.64,1454.4
21199800,198.44,411.26,1539.5
21322600,198.44,422.38,1571.8
21718000,198.43,460.45,1676.2
21774700,198.43,466.29,1691.9
21821200,198.42,471.17,1705.1
22028600,198.42,493.87,1765.3
22030900,198.42,494.12,1766
22293700,198.42,525.03,1841.9
22514300,198.41,552.64,1901.6
22514600,198.41,552.69,1901.6
22681200,198.41,574.47,1943.7
23329400,198.42,666.8,2095.5
23387700,198.42,675.8,2108.7
23490100,198.42,691.94,2131.9
23587700,198.42,707.75,2153.9
23645300,198.42,717.27,2166.9
23647600,198.42,717.65,2167.4
24260400,198.42,827.18,2297.7
24300600,198.42,834.78,2305.9
24389100,198.42,851.68,2323.7
24494200,198.42,871.95,2344.9
25262000,198.42,1030.9,2496.1
25264200,198.42,1031.5,2496.6
25271700,198.42,1033.2,2498
25313100,198.42,1042.8,2506
25400700,198.42,1063.6,2522.7
25467400,198.42,1080,2535.3
26242800,198.42,1292.2,2673.1
26307200,198.42,1310.4,2683.5
26417000,198.42,1340.9,2700.9
26545600,198.42,1376.2,2720.5
26593300,198.42,1389.3,2727.6
26878600,198.42,1470.2,2768.4
26880900,198.42,1470.9,2768.7
27183900,198.42,1567.5,2810.5
27235600,198.42,1585.5,2817.7
27495200,198.42,1682.3,2854.2
27598100,198.42,1723.2,2869.1
28057900,198.42,1918.7,2937.5
28365900,198.42,2057.6,2981.9
28495300,198.42,2116.7,2999.5
28497600,198.42,2117.8,2999.8
28624600,198.42,2176.2,3016.1
28674500,198.42,2199.2,3022.3
28701900,198.42,2212,3025.6
29162700,198.42,2430.9,3076.8
29470700,198.42,2586.3,3109.3
29650800,198.42,2683,3129
29728600,198.42,2724.8,3137.8
29831000,198.42,2777.3,3149.8
30112000,198.42,2887.9,3184.9
30112800,198.42,2888.1,3185
30114200,198.42,2888.5,3185.2
30292800,198.42,2934.9,3208.7
30883700,198.42,3033.8,3287.2
31114200,198.42,3061.3,3315.5
31114500,198.42,3061.3,3315.5
31139700,198.42,3064.1,3318.4
31728600,198.42,3122,3373.7
31730900,198.42,3122.2,3373.9
31833300,198.42,3131.5,3381.9
32166800,198.42,3161.1,3408.3
32269200,198.42,3170.2,3416.9
32731100,198.42,3212.5,3457.9
32860000,198.42,3225,3469.4
33013500,198.42,3240.1,3482.8
33345300,198.42,3272.8,3509.8
33347600,198.42,3273,3510
33450100,198.42,3282.9,3517.5
33809600,198.42,3315.5,3540.1
34065800,198.42,3336.7,3554
34605100,198.42,3375.1,3587.5
34707400,198.42,3381.5,3595.8
34912800,198.42,3393.7,3614.4
34962000,198.42,3396.4,3619.1
34964200,198.42,3396.6,3619.3
35041600,198.42,3400.9,3626.8
35734400,198.42,3435.9,3687.9
36068200,198.42,3451.1,3705.5
36119100,198.42,3453.4,3707.5
36578600,198.42,3473.2,3722.4
36580900,198.42,3473.3,3722.4
36838000,198.42,3484,3731.8
37120400,198.42,3495.6,3746.8
37248400,198.42,3500.8,3755
37658800,198.42,3517.5,3783
37787600,198.42,3522.8,3791.1
38121300,198.42,3536.9,3808.3
38172300,198.42,3539.1,3810.6
38195300,198.42,3540.1,3811.6
38197600,198.42,3540.2,3811.7
38762800,198.42,3565.9,3836.2
39019600,198.42,3578.4,3849
39044900,198.42,3579.7,3850.3
39198700,198.42,3587.5,3858.6
39812000,198.42,3620.2,3894
39814200,198.42,3620.3,3894.1
39815200,198.42,3620.3,3894.2
39840500,198.42,3621.7,3895.7
39866400,198.42,3623.2,3897.2
39994400,198.42,3630.2,3904.8
