#alt[cm],Tn[K],Ti[K],Te[K]
8000000,138.965,138.12,138.965
8049840,138.965,138.12,138.965
9395640,138.965,138.12,138.965
9894080,138.965,138.12,138.965
10392500,138.965,138.12,138.965
10891000,138.965,138.12,138.965
11389400,138.965,138.12,138.965
11838000,138.965,138.12,138.965
11887900,138.965,138.307,138.965
12236800,140.015,139.625,140.668
12436100,140.618,140.383,144.139
12635500,141.224,141.145,149.507
12735200,141.528,141.528,152.823
12884700,142.104,142.104,157.935
13084100,142.876,142.876,166.838
13183800,143.264,143.264,171.476
13283500,143.9,144.042,176.243
13482900,145.181,145.611,186.179
13582600,145.826,146.401,196.674
13632400,146.149,146.798,199.389
13732100,146.798,148.598,204.932
13781900,148.056,149.507,207.761
13981300,153.195,153.195,220.815
14130800,158.32,158.32,233.263
14230500,161.832,161.832,239.748
14330200,165.018,165.018,246.413
14479800,169.916,169.916,254.656
14579400,171.999,171.999,260.304
14778800,176.243,176.243,274.978
14828700,177.32,177.32,278.01
15028000,180.592,180.592,290.479
15227400,183.923,183.923,302.031
15277300,184.422,184.422,304.99
15526500,186.936,186.936,322.183
15676000,188.461,188.461,330.133
15825500,189.613,189.613,338.278
16124600,191.938,191.938,355.177
16473500,193.583,193.583,370.655
16623100,194.292,194.292,379.8
16772600,195.083,195.083,389.171
17071700,196.674,196.674,408.612
17320900,196.896,197.876,431.647
17520200,197.074,198.843,455.981
17570100,197.118,199.086,462.275
17719600,197.252,202.758,481.686
17869200,197.386,206.499,511.95
17968800,197.475,209.031,540.81
18118400,197.608,213.537,574.789
18267900,197.742,218.14,610.903
18367600,197.832,221.714,645.341
18417400,197.876,223.522,658.583
18517100,197.876,227.184,685.888
18567000,197.876,229.037,707.107
18616800,197.876,231.563,728.982
18766400,197.876,239.31,770.077
18816200,197.876,241.949,785.879
18915900,197.876,247.315,818.461
19065400,198.238,255.588,864.6
19065400,198.238,255.588,864.6
19165100,198.48,260.621,918.923
19314600,198.843,268.356,970.725
19414300,199.086,274.308,1000.76
19514000,199.086,280.392,1031.72
19563900,199.086,283.485,1050.75
19663600,199.086,290.086,1089.88
19862900,199.086,303.754,1158.35
19912800,199.086,307.27,1174.34
20012500,199.086,314.425,1206.99
20062300,199.086,318.766,1223.65
20211800,199.086,332.151,1275.03
20261700,199.086,335.814,1292.63
20411200,199.086,347.047,1335.88
20461100,199.086,350.875,1350.61
20510900,199.086,354.313,1365.5
20710300,199.086,368.403,1419.81
20760100,199.086,372.466,1433.72
20909700,199.086,384.926,1481.68
20959500,199.086,389.171,1498.02
21009300,199.086,393.463,1514.54
21208700,199.086,411.11,1574.77
21258600,199.086,416.785,1590.2
21408100,199.086,434.286,1634.41
21557600,199.086,448.813,1679.85
21657300,199.086,458.768,1707.37
21856700,199.086,477.012,1763.76
21906500,199.086,481.686,1776.35
22155800,199.086,508.84,1840.62
22355100,199.086,537.525,1892.62
22405000,199.086,543.453,1905.84
22504700,199.086,555.506,1932.57
22604400,199.086,567.826,1956.27
22853600,199.086,596.193,2016.79
22903400,199.086,602.768,2027.35
23102800,199.086,629.802,2070.15
23202500,199.086,647.31,2091.89
23302200,199.086,665.306,2114.32
23401900,199.086,680.062,2136.98
23551400,199.086,702.811,2171.44
23601200,199.086,712.513,2183.05
23750800,199.086,742.431,2217.53
23900300,199.086,767.267,2252.55
23950200,199.086,775.729,2264.34
24000000,199.086,784.284,2274.71
24299100,199.086,823.463,2337.95
24348900,199.086,834.831,2348.66
24398800,199.086,846.356,2359.42
24498400,199.086,869.885,2381.08
24747700,199.086,918.923,2436.12
24897200,199.086,957.507,2460.98
24947000,199.086,970.725,2469.33
25196300,199.086,1025.45,2511.48
25395600,199.086,1066.23,2545.72
25445500,199.086,1076.67,2554.35
25644900,199.086,1124.96,2589.18
25694700,199.086,1137.37,2599.06
25894100,199.086,1188.38,2638.95
25943900,199.086,1201.49,2649.02
26043600,199.086,1234.89,2669.28
26143300,199.086,1269.22,2683.78
26392500,199.086,1332.62,2720.36
26492200,199.086,1362.18,2735.14
26641700,199.086,1407.75,2757.45
26841100,199.086,1487.11,2787.48
26891000,199.086,1503.51,2795.04
26940800,199.086,1520.09,2802.62
27090300,199.086,1570.94,2825.49
27339600,199.086,1659.5,2864.01
27389400,199.086,1675.76,2871.77
27588800,199.086,1742.4,2899.91
27838000,199.086,1840.62,2935.47
27887900,199.086,1861.65,2942.63
28336400,199.086,2061.98,2996.92
28386300,199.086,2085.53,3005.05
28785000,199.086,2283.87,3070.86
28884700,199.086,2336.33,3082.11
28934600,199.086,2363.01,3087.75
29283500,199.086,2548.24,3127.52
29383200,199.086,2603.78,3140.25
29582600,199.086,2718.52,3165.86
29732100,199.086,2777.12,3185.21
29881600,199.086,2836.99,3196.88
30230500,199.086,2960.62,3224.27
30380100,199.086,2990.84,3243.98
30679100,199.086,3052.21,3283.75
30878500,199.086,3074.61,3299.8
31177600,199.086,3108.52,3324.02
31376900,199.086,3125.4,3342.07
31626200,199.086,3146.63,3364.77
31875400,199.086,3165.86,3385.34
32124600,199.086,3185.21,3406.03
32373800,199.086,3206.85,3429.17
32573200,199.086,3224.27,3447.79
32872300,199.086,3236.08,3460.42
33071700,199.086,3243.98,3468.87
33370700,199.086,3267.78,3511.4
33520200,199.086,3279.75,3532.86
33570100,199.086,3283.75,3535.02
33869200,199.086,3297.12,3547.97
34018700,199.086,3303.82,3554.46
34367600,199.086,3332.13,3569.65
34517100,199.086,3344.33,3576.18
34866000,199.086,3376.18,3610.24
34965700,199.086,3385.34,3620.03
35364500,199.086,3401.88,3637.72
35464200,199.086,3406.03,3642.16
35862900,199.086,3422.68,3659.96
35962600,199.086,3426.85,3664.42
36361400,199.086,3464.17,3704.33
36411200,199.086,3468.87,3709.35
36859800,199.086,3487.94,3729.75
36909700,199.086,3490.07,3732.02
37358300,199.086,3509.26,3752.55
37408100,199.086,3511.4,3754.83
37856700,199.086,3530.71,3775.48
37906500,199.086,3532.86,3777.78
38355100,199.086,3552.29,3798.56
38405000,199.086,3554.46,3800.87
38853600,199.086,3576.18,3824.1
38853600,199.086,3576.18,3824.1
39352000,199.086,3576.18,3824.1
39850500,199.086,3598.04,3847.48
39850600,199.086,3598.04,3847.48
