#alt(cm),Tn(K),Ti(K),Te(K)
8000000,138,138,138
8500000,138.3,138.3,138.3
9000000,138.5,138.5,138.5
9500000,138.8,138.8,138.8
10000000,139,139,139
10500000,139.3,139.3,139.3
11000000,139.5,139.5,139.5
11500000,139.8,139.8,139.8
12000000,140,140,140
12500000,141.3,141.3,145.5
13000000,142.9,142.9,160.2
13500000,144.7,144.7,186.7
14000000,152.5,152.5,220.7
14500000,170.3,170.3,255.5
15000000,180.4,180.4,288.2
15500000,187.1,187.1,318.5
16000000,191.5,191.5,346.6
16500000,194.4,194.4,372.7
17000000,196.3,196.1,400.2
17500000,197.6,199.8,444.3
18000000,198.4,209.2,530.4
18500000,198.9,225,669.2
19000000,199.3,248.8,842.3
19500000,199.5,278.6,1022
20000000,199.7,312,1194
20500000,199.8,349.4,1357
21000000,199.9,391.2,1512
21500000,199.9,438.1,1658
22000000,199.9,490.6,1795
22500000,200,549.4,1926
23000000,200,615.2,2049
23500000,200,688.9,2166
24000000,200,771.5,2276
24500000,200,863.9,2381
25000000,200,967.5,2479
25500000,200,1083,2573
26000000,200,1213,2661
26500000,200,1359,2745
27000000,200,1521,2823
27500000,200,1704,2898
28000000,200,1916,2969
28500000,200,2150,3036
29000000,200,2410,3099
29500000,200,2670,3159
30000000,200,2882,3215
30500000,200,3019,3269
31000000,200,3093,3319
31500000,200,3139,3367
32000000,200,3180,3412
32500000,200,3220,3455
33000000,200,3258,3495
33500000,200,3295,3534
34000000,200,3329,3570
34500000,200,3362,3604
35000000,200,3393,3636
35500000,200,3422,3667
36000000,200,3451,3696
36500000,200,3477,3723
37000000,200,3503,3749
37500000,200,3527,3774
38000000,200,3550,3797
38500000,200,3572,3819
39000000,200,3593,3839
39500000,200,3613,3859
40000000,200,3632,3877
