#alt(cm),Ar(K),O2+(K),e(K)
12500000,132.7622196,255.3544326,316.0317548
12897727.27,141.3554205,253.234987,331.8769251
13295454.55,149.971515,254.43818,347.0322919
13693181.82,158.8161525,257.3654325,362.0187566
14090909.09,168.4769835,261.4272014,383.4374377
14488636.36,179.2585255,265.8828029,402.4719779
14886363.64,181.8010527,270.5895935,426.1880275
15284090.91,183.6488459,275.4894883,448.6899038
15681818.18,184.8578864,285.3844231,471.7171537
16079545.45,184.4505327,298.8204226,497.3451717
16477272.73,183.3209467,314.1230558,528.1651354
16875000,182.8930665,330.8007388,573.1409834
17272727.27,182.8889083,347.5385024,623.2541059
17670454.55,183.6337347,368.19278,682.7310393
18068181.82,185.409059,387.2282661,746.1208914
18465909.09,187.9775693,407.0054503,817.1345688
18863636.36,189.992245,415.5144859,886.8626017
19261363.64,191.4248719,423.0758543,952.6123094
19659090.91,190.5892464,433.1516379,1011.011019
20056818.18,190.3617734,453.7920196,1058.830246
20454545.45,190.5042541,477.8715673,1107.522746
20852272.73,191.1142852,490.834943,1141.971025
21250000,192.3316824,501.3691534,1174.92549
21647727.27,194.1283908,516.3430456,1213.404022
22045454.55,194.4846194,540.9466817,1249.824144
22443181.82,193.2869582,565.1737423,1294.626735
22840909.09,191.4964481,583.9362138,1329.130601
23238636.36,190.7076519,596.5174204,1351.407378
23636363.64,191.1837016,608.3852185,1365.746932
24034090.91,195.2679092,620.2973703,1348.041849
24431818.18,200.5515955,637.2842251,1332.81806
24829545.45,199.2599651,662.1354662,1337.298384
25227272.73,198.2496871,701.625095,1361.626268
25625000,198.7416141,736.2054516,1372.913934
26022727.27,203.9501598,763.5916232,1381.051971
26420454.55,209.2614174,799.8966924,1387.823281
26818181.82,212.2239422,870.8272363,1380.899378
27215909.09,215.4670731,974.2683408,1375.626548
27613636.36,221.8600727,1036.732024,1376.657799
28011363.64,235.6469111,1030.146855,1402.650753
28409090.91,249.5451085,1014.585815,1434.176307
28806818.18,257.7538482,1114.817079,1440.818561
29204545.45,257.8279819,1265.93868,1453.951978
29602272.73,257.804941,1384.478083,1467.572207
30000000,257.6973049,1329.197241,1520.520726
