#alt(cm),N+(cm-3)
12596685.08,0.1
12707182.32,0.13368866
12872928.18,0.178726579
13093922.65,0.233225392
13259668.51,0.304342443
13480662.98,0.387651377
13756906.08,0.493764816
14088397.79,0.644327741
14419889.5,0.801083448
14806629.83,0.995975571
15193370.17,1.238282156
15635359.12,1.502735901
16132596.69,1.823667713
16574585.64,2.16023439
17016574.59,2.621584876
17513812.15,3.105411016
18011049.72,3.678529606
18508287.29,4.357419996
19005524.86,5.161602885
19447513.81,6.263940672
19889502.76,7.601699243
20386740.33,9.004629523
20883977.9,10.66647736
21436464.09,12.03816857
22044198.9,12.33298778
22707182.32,11.75039698
23314917.13,10.92770334
23867403.31,9.91967339
24475138.12,9.004629523
25027624.31,7.787867678
25580110.5,6.735522302
26132596.69,5.825376413
26629834.25,5.038215127
27182320.44,4.357419996
27679558.01,3.678529606
28176795.58,3.25937891
28674033.15,2.685788462
29226519.34,2.322867932
29723756.91,2.008987492
30386740.33,1.823667713
30994475.14,1.737520541
31602209.94,1.695985233
32209944.75,1.615869579
32872928.18,1.577242329
33425414.36,1.539538461
34033149.17,1.502735901
34640883.98,1.466813104
35303867.4,1.431749039
35911602.21,1.397523178
36574585.64,1.364115483
37182320.44,1.364115483
37845303.87,1.331506398
38453038.67,1.331506398
39060773.48,1.29967683
39668508.29,1.268608146
40055248.62,1.268608146
