#alt(cm),N(cm-3)
9.23E+06,3061.90266
9.32E+06,5595.57637
9.41E+06,9563.20462
9.59E+06,16713.2283
9.73E+06,27933.1999
1.00E+07,49920.1478
1.04E+07,81590.1875
1.08E+07,139442.947
1.12E+07,222874.481
1.17E+07,380907.01
1.23E+07,595366.621
1.27E+07,727895.384
1.32E+07,778330.041
1.39E+07,696101.25
1.43E+07,622559.743
1.51E+07,476213.523
1.60E+07,340665.055
1.78E+07,190621.733
1.88E+07,136363.543
1.97E+07,109072.563
2.07E+07,79788.3814
2.16E+07,62410.6378
2.26E+07,47739.6588
2.35E+07,36517.4127
2.46E+07,27933.1999
2.55E+07,21366.8932
2.65E+07,16344.1398
2.74E+07,12784.4201
2.85E+07,9779.16388
2.94E+07,7649.28231
3.04E+07,5851.15199
3.13E+07,4576.78325
3.23E+07,3423.59796
3.28E+07,3061.90266
