O+2D(cm-3),#alt(cm)
0.10097991,12713625.9
0.11405957,12713625.9
0.1262563,12748267.9
0.14265005,12852194
0.15790405,12886836
0.1747892,12921478.1
0.18959191,12956120.1
0.20988521,13025404.2
0.23232886,13060046.2
0.25719659,13129330.3
0.27900445,13198614.3
0.30886819,13267898.4
0.34192844,13337182.4
0.37852736,13406466.5
0.41062293,13475750.6
0.46389679,13545034.6
0.5241315,13648960.7
0.58023284,13718244.8
0.6167826,13787528.9
0.68286504,13891455
0.75602759,13995381.1
0.83695035,14064665.1
0.92670858,14203233.3
1.0470371,14307159.4
1.15932596,14445727.5
1.28365716,14584295.6
1.39262984,14688221.7
1.51099513,14826789.8
1.67288402,14930715.9
1.81506925,15069284.1
1.96915475,15173210.2
2.18013112,15277136.3
2.41393796,15415704.4
2.61910839,15554272.5
2.8417171,15692840.6
3.14647532,15831408.8
3.48424383,16004618.9
3.78038392,16143187.1
4.18580889,16281755.2
4.63471342,16420323.3
5.02863662,16558891.5
5.56845178,16732101.6
6.04173721,16870669.7
6.55586377,17043879.9
7.25894339,17182448
7.8759106,17321016.2
8.72055784,17459584.3
9.65669416,17632794.5
10.4784384,17806004.6
11.6032801,17979214.8
12.8488715,18152424.9
14.2295091,18360277.1
15.4389331,18498845.3
16.7527217,18672055.4
18.1766039,18810623.6
20.1259427,18949191.7
21.8385762,19122401.8
23.6925043,19226327.9
26.2358523,19399538.1
29.0495004,19538106.2
32.1679124,19711316.4
35.6177406,19849884.5
38.6486613,20023094.7
42.7935134,20161662.8
48.3545732,20300230.9
53.5403299,20438799.1
58.090941,20577367.2
63.028327,20715935.3
68.3853616,20854503.5
75.7264081,21027713.6
80.5191767,21200923.8
87.3710218,21374133.9
94.8059303,21547344.1
100.815705,21755196.3
105.061956,21997690.5
105.121079,22205542.7
107.337199,22413394.9
109.600038,22621247.1
109.661715,22829099.3
109.744004,23106235.6
107.599191,23314087.8
105.506188,23556582
101.365465,23764434.2
99.3937199,24006928.4
95.5018426,24249422.6
91.7537527,24457274.8
88.1610272,24699769.1
84.7010368,24907621.2
81.3692083,25080831.4
78.1757714,25288683.6
75.1147076,25531177.8
70.7231615,25773672.1
66.588365,26016166.3
62.6894292,26224018.5
59.0243211,26466512.7
56.7131548,26709006.9
52.3342269,27020785.2
49.2745308,27263279.4
46.3893686,27471131.6
43.6731408,27678983.8
41.1198111,27921478.1
39.5097168,28163972.3
37.1963119,28371824.5
34.3146619,28579676.7
32.3084713,28822170.9
30.4195716,29064665.1
28.6384203,29272517.3
26.4222393,29515011.5
24.8728107,29688221.7
22.9544871,30034642
