O+2P(cm-3),#alt(cm)
0.10106516,13025404.2
0.11890822,13094688.2
0.13433527,13163972.3
0.15176381,13233256.4
0.17146959,13337182.4
0.19371591,13406466.5
0.2101215,13441108.5
0.23740474,13545034.6
0.25753443,13614318.7
0.28512682,13718244.8
0.31564588,13787528.9
0.34240969,13856812.9
0.38690617,13995381.1
0.45534254,14168591.2
0.52511531,14341801.4
0.61805621,14549653.6
0.72737865,14722863.7
0.82205637,14930715.9
0.948199,15173210.2
1.07161935,15381062.4
1.23605684,15623556.6
1.36900203,15866050.8
1.54734041,16108545
1.74907471,16385681.3
1.8982696,16628175.5
2.14575625,16905311.8
2.32922456,17217090.1
2.42778426,17528868.4
2.5302772,17806004.6
2.63734433,18117782.9
2.7491997,18464203.2
2.69597546,18741339.5
2.64452542,19122401.8
2.59332767,19399538.1
2.49225022,19711316.4
2.34720213,20057736.7
2.21018129,20334873
2.0811592,20612009.2
1.92046904,20923787.5
1.80852883,21235565.8
1.63519896,21512702.1
1.53974218,21789838.3
1.39217289,22066974.6
1.28468064,22378752.9
1.16166543,22690531.2
1.07166959,22898383.4
0.98892399,23210161.7
0.89414526,23487297.9
0.82502928,23764434.2
0.74595826,24041570.4
0.6882969,24318706.7
0.64811671,24595843
0.58594609,24838337.2
0.52983854,25150115.5
0.4791036,25461893.8
0.44202822,25704388
0.39163278,25981524.2
0.3540986,26258660.5
0.32019172,26570438.8
0.29538602,26778291
0.26710119,27090069.3
0.2414795,27332563.5
0.21833604,27609699.8
0.19741066,27886836
0.17492036,28198614.3
0.16138417,28441108.5
0.14591706,28718244.8
0.13191997,28960739
0.11926554,29203233.3
0.10782499,29445727.5
0.09948096,29688221.7
