#alt(cm),O2+(cm-3)
8000000,3751.953314
8432432.432,3751.953314
8864864.865,4317.306622
9297297.297,7253.175788
9729729.73,21745.71032
10162162.16,56904.86392
10594594.59,86687.28544
11027027.03,104108.6706
11459459.46,110569.2573
11891891.89,112069.4685
12324324.32,122790.8036
12756756.76,132934.3704
13189189.19,148530.3846
13621621.62,154732.0424
14054054.05,153378.7645
14486486.49,142315.5358
14918918.92,129855.7552
15351351.35,119058.2978
15783783.78,107160.9781
16216216.22,93674.61355
16648648.65,81501.70549
17081081.08,77461.23497
17513513.51,72460.22467
17945945.95,67230.42621
18378378.38,63847.7739
18810810.81,58970.87084
19243243.24,53435.13086
19675675.68,49648.93503
20108108.11,43143.72448
20540540.54,37940.90774
20972972.97,33973.88509
21405405.41,29700.60251
21837837.84,26443.58166
22270270.27,23365.58966
22702702.7,20382.20976
23135135.14,18359.18871
23567567.57,16281.69345
24000000,14405.55575
24432432.43,13181.23958
24864864.86,11874.26975
25297297.3,10823.19526
25729729.73,9940.501607
26162162.16,9182.877804
26594594.59,8469.945504
27027027.03,7939.646852
27459459.46,7504.496675
27891891.89,6958.408126
28324324.32,6475.423758
28756756.76,6042.424935
29189189.19,5734.147978
29621621.62,5457.537616
30054054.05,5219.964821
30486486.49,5043.384154
30918918.92,4858.095443
31351351.35,4672.375728
31783783.78,4591.522767
32216216.22,4560.48843
32648648.65,4434.942216
33081081.08,4309.396002
33513513.51,4243.900808
33945945.95,4160.967501
34378378.38,4041.711358
34810810.81,4035.442257
35243243.24,4023.328122
35675675.68,3959.113292
36108108.11,3894.898462
36540540.54,3818.179032
36972972.97,3724.010968
37405405.41,3669.216546
37837837.84,3673.812198
38270270.27,3595.015331
38702702.7,3483.882232
39135135.14,3405.945089
39567567.57,3365.492786
40000000,3325.040483
