#alt(cm),O2+(cm-3)
12000000,74618.73174
12295454.55,72363.91051
12590909.09,70191.23828
12886363.64,67083.12957
13181818.18,60156.95297
13477272.73,55300.07143
13772727.27,50098.7362
14068181.82,45033.74799
14363636.36,41229.83198
14659090.91,36795.08538
14954545.45,32990.16787
15250000,29699.08367
15545454.55,26095.28033
15840909.09,23739.66259
16136363.64,21313.15753
16431818.18,18213.88648
16727272.73,16220.31064
17022727.27,14315.54643
17318181.82,12469.43301
17613636.36,10740.79111
17909090.91,9514.434468
18204545.45,8809.387484
18500000,8094.514364
18795454.55,7278.964287
19090909.09,6404.787494
19386363.64,5565.049722
19681818.18,5155.693084
19977272.73,4689.048893
20272727.27,4308.853756
20568181.82,4163.223579
20863636.36,3969.009287
21159090.91,3591.89906
21454545.45,3387.158134
21750000,3227.060273
22045454.55,3000.856895
22340909.09,2799.350016
22636363.64,2603.853479
22931818.18,2332.266746
23227272.73,2191.710286
23522727.27,2179.404291
23818181.82,2071.475726
24113636.36,2073.501854
24409090.91,1991.829031
24704545.45,1851.821542
25000000,1795.000916
