#alt(cm),O2+(cm-3)
8000000,23.80712912
8432432.432,62.72859635
8864864.865,277.1226622
9297297.297,3764.143303
9729729.73,17833.33031
10162162.16,37727.30735
10594594.59,50368.84583
11027027.03,58571.96352
11459459.46,58617.20121
11891891.89,60587.55522
12324324.32,66201.72255
12756756.76,81768.00409
13189189.19,89889.71722
13621621.62,92367.08572
14054054.05,89183.22444
14486486.49,83210.73988
14918918.92,73110.90395
15351351.35,62836.9651
15783783.78,53861.2255
16216216.22,46891.86339
16648648.65,39354.30788
17081081.08,33615.66227
17513513.51,29640.99629
17945945.95,23671.28889
18378378.38,18521.57495
18810810.81,14000.09887
19243243.24,10663.77531
19675675.68,8525.120775
20108108.11,6652.525448
20540540.54,5295.337946
20972972.97,4323.002668
21405405.41,3706.847147
21837837.84,3226.626876
22270270.27,2849.861437
22702702.7,2471.926613
23135135.14,2114.656544
23567567.57,1938.152195
24000000,1782.095274
24432432.43,1655.69633
24864864.86,1538.308166
25297297.3,1436.418543
25729729.73,1345.805267
26162162.16,1263.101552
26594594.59,1199.883519
27027027.03,1136.665486
27459459.46,1074.283113
27891891.89,1013.758879
28324324.32,960.9468736
28756756.76,904.2793024
29189189.19,851.0327686
29621621.62,821.2061075
30054054.05,793.1084057
30486486.49,765.9287293
30918918.92,741.9240502
31351351.35,719.769639
31783783.78,698.3654459
32216216.22,685.4216018
32648648.65,676.0341969
33081081.08,660.9504549
33513513.51,647.5122525
33945945.95,644.2446253
34378378.38,638.4910039
34810810.81,629.7044201
35243243.24,615.9426215
35675675.68,603.4784732
36108108.11,593.7640265
36540540.54,590.6100713
36972972.97,583.213353
37405405.41,573.719093
37837837.84,567.6084988
38270270.27,564.2160539
38702702.7,558.8137418
39135135.14,550.3914725
39567567.57,541.2844903
40000000,532.6963951
