#alt(cm),O2+(cm-3)
13000000,84690.46343
13364864.86,75698.91555
13729729.73,67678.99802
14094594.59,59638.90299
14459459.46,51561.54565
14824324.32,46757.9792
15189189.19,46450.41222
15554054.05,43143.51351
15918918.92,40067.05188
16283783.78,37505.30687
16648648.65,35519.8425
17013513.51,34499.84361
17378378.38,33466.60349
17743243.24,32377.76697
18108108.11,31288.93044
18472972.97,26474.11643
18837837.84,21971.89117
19202702.7,20571.93662
19567567.57,20641.52162
19932432.43,15333.69696
20297297.3,15382.01073
20662162.16,16758.61063
21027027.03,14608.01611
21391891.89,13786.64639
21756756.76,12902.6623
22121621.62,10870.23768
22486486.49,13809.25102
22851351.35,18312.36479
23216216.22,15577.41131
23581081.08,10394.61954
23945945.95,8418.803266
24310810.81,7505.105265
24675675.68,7165.878212
25040540.54,6460.733941
25405405.41,5825.058785
25770270.27,5294.862335
26135135.14,4793.721927
26500000,4318.706194
26864864.86,4005.027712
27229729.73,3766.768884
27594594.59,3545.620699
27959459.46,3321.12903
28324324.32,3093.141996
28689189.19,2850.160432
29054054.05,2627.794044
29418918.92,2436.937176
29783783.78,2260.999736
30148648.65,2102.101577
30513513.51,1954.256788
30878378.38,1811.682023
31243243.24,1694.421347
31608108.11,1579.658267
31972972.97,1481.066211
32337837.84,1386.320382
32702702.7,1300.192564
33067567.57,1220.390144
33432432.43,1145.642454
33797297.3,1075.064536
34162162.16,1005.8732
34527027.03,938.7916531
34891891.89,872.0532931
35256756.76,806.7996516
35621621.62,739.1433522
35986486.49,666.8077318
36351351.35,620.7387039
36716216.22,648.9407827
37081081.08,589.6787048
37445945.95,520.3670151
37810810.81,441.9272056
38175675.68,336.6775776
38540540.54,199.4137362
38905405.41,113.0615373
39270270.27,43.72528495
39635135.14,17.06662938
40000000,4.570906489
