#alt(cm),O(cm-3),N2(cm-3),CO(cm-3),CO2(cm-3)
8000000,189000000000,845200000000,224000000000,32400000000000
8500000,95280000000,413400000000,110800000000,15930000000000
9000000,49710000000,207300000000,56070000000,7937000000000
9500000,26820000000,106200000000,28960000000,3987000000000
10000000,14970000000,55480000000,15270000000,2015000000000
10500000,8602000000,29310000000,8153000000,1022000000000
11000000,4842000000,14810000000,4215000000,510400000000
11500000,2890000000,7832000000,2260000000,258000000000
12000000,1827000000,4325000000,1244000000,134400000000
12500000,1224000000,2515000000,713100000,71910000000
13000000,858500000,1525000000,427600000,39380000000
13500000,630100000,966700000,266000000,22170000000
14000000,475000000,629100000,162700000,12630000000
14500000,365800000,418800000,102800000,7274000000
15000000,286900000,284500000,69600000,4231000000
15500000,228100000,196500000,48990000,2483000000
16000000,183500000,137600000,35310000,1470000000
16500000,149100000,97440000,25840000,877100000
17000000,121900000,69620000,19090000,526900000
17500000,100400000,50150000,14200000,318900000
18000000,82920000,36320000,10610000,194000000
18500000,68800000,26450000,7960000,118700000
19000000,57290000,19340000,5984000,73030000
19500000,47840000,14200000,4508000,45130000
20000000,40050000,10460000,3401000,28010000
20500000,33580000,7720000,2569000,17450000
21000000,28210000,5716000,1943000,10910000
21500000,23750000,4244000,1470000,6851000
22000000,20020000,3157000,1114000,4314000
22500000,16900000,2354000,844700,2726000
23000000,14290000,1760000,641000,1729000
23500000,12080000,1317000,486800,1098000
24000000,10240000,987700,369900,700100
24500000,8688000,742400,281400,447600
25000000,7378000,558800,214200,286900
25500000,6270000,421300,163100,184300
26000000,5337000,318200,124300,118700
26500000,4545000,240700,94860,76600
27000000,3874000,182300,72410,49540
27500000,3306000,138300,55320,32120
28000000,2822000,105000,42290,20860
28500000,2412000,79840,32360,13570
29000000,2063000,60790,24770,8851
29500000,1767000,46360,18980,5784
30000000,1512000,35380,14550,3784
30500000,1296000,27040,11170,2481
31000000,1112000,20680,8575,1630
31500000,954600,15840,6589,1072
32000000,819500,12140,5067,706.2
32500000,704100,9316,3899,466
33000000,605600,7159,3002,308
33500000,520800,5503,2313,203.8
34000000,448400,4236,1784,135.1
34500000,386300,3264,1377,89.72
35000000,332700,2515,1063,59.62
35500000,286900,1941,821.5,39.69
36000000,247500,1500,635.2,26.45
36500000,213600,1159,491.5,17.66
37000000,184400,896.9,380.6,11.8
37500000,159400,694.5,294.9,7.895
38000000,137800,538.4,228.7,5.292
38500000,119100,417.6,177.5,3.55
39000000,103100,324.2,137.8,2.385
39500000,89240,251.9,107.1,1.604
40000000,77290,195.9,83.24,1.08
40500000,66960,152.4,64.76,0.7279
41000000,58040,118.6,50.42,0.4911
41500000,50320,92.43,39.28,0.3317
42000000,43650,72.06,30.62,0.2243
42500000,37870,56.21,23.89,0.1518
43000000,32880,43.88,18.65,0.1028
43500000,28550,34.28,14.57,0.06974
44000000,24800,26.79,11.38,0.04735
44500000,21560,20.95,8.905,0.03218
45000000,18730,16.4,6.969,0.02189
45500000,16300,12.84,5.458,0.01491
46000000,14180,10.06,4.277,0.01016
46500000,12330,7.892,3.354,0.006933
47000000,10740,6.192,2.632,0.004736
47500000,9352,4.862,2.066,0.003238
48000000,8149,3.82,1.623,0.002216
48500000,7103,3.003,1.276,0.001518
49000000,6193,2.362,1.004,0.001041
49500000,5401,1.859,0.7901,0.0007145
50000000,4712,1.464,0.6223,0.000491
50500000,4113,1.154,0.4904,0.0003377
51000000,3591,0.9101,0.3867,0.0002324
51500000,3136,0.7181,0.3052,0.0001602
52000000,2740,0.567,0.2409,0.0001105
52500000,2394,0.4479,0.1903,7.628E-05
53000000,2094,0.3541,0.1505,5.271E-05
53500000,1831,0.2801,0.119,3.646E-05
54000000,1602,0.2217,0.0942,2.525E-05
54500000,1403,0.1756,0.0746,1.75E-05
55000000,1228,0.1391,0.05912,1.214E-05
55500000,1075,0.1103,0.04687,8.428E-06
56000000,941.7,0.08751,0.03719,5.857E-06
56500000,825.6,0.06946,0.02952,4.075E-06
57000000,723.9,0.05518,0.02345,2.837E-06
57500000,634.8,0.04385,0.01863,1.977E-06
58000000,556.9,0.03487,0.01482,1.379E-06
58500000,488.7,0.02775,0.01179,9.631E-07
59000000,429.1,0.02209,0.009388,6.73E-07
59500000,376.8,0.0176,0.007478,4.708E-07
60000000,331,0.01403,0.005961,3.296E-07
60500000,290.8,0.01119,0.004754,2.31E-07
61000000,255.6,0.008927,0.003794,1.62E-07
61500000,224.8,0.007128,0.003029,1.137E-07
62000000,197.8,0.005694,0.00242,7.991E-08
62500000,174,0.004552,0.001934,5.62E-08
63000000,153.1,0.00364,0.001547,3.956E-08
63500000,134.8,0.002913,0.001238,2.787E-08
64000000,118.8,0.002333,0.0009913,1.965E-08
64500000,104.6,0.001869,0.0007941,1.387E-08
65000000,92.2,0.001498,0.0006366,9.796E-09
65500000,81.29,0.001201,0.0005105,6.925E-09
66000000,71.69,0.0009641,0.0004097,4.9E-09
66500000,63.23,0.0007741,0.000329,3.47E-09
67000000,55.8,0.0006219,0.0002643,2.46E-09
67500000,49.25,0.0004998,0.0002124,1.745E-09
68000000,43.48,0.000402,0.0001708,1.239E-09
68500000,38.41,0.0003235,0.0001375,8.805E-10
69000000,33.94,0.0002604,0.0001107,6.262E-10
69500000,29.99,0.0002098,8.914E-05,4.458E-10
70000000,26.51,0.0001691,7.185E-05,3.176E-10
