#alt(cm),O(cm-3),N2(cm-3),CO(cm-3),CO2(cm-3),H(cm-3),H2(cm-3)
8074600,2.26E+11,1.62E+12,2.32E+11,7.43E+13,873900,11296665
8099400,2.20E+11,1.58E+12,2.25E+11,7.15E+13,1027900,11294529.97
8124300,2.13E+11,1.54E+12,2.18E+11,6.88E+13,1209000,11292386.32
8149200,2.07E+11,1.50E+12,2.12E+11,6.62E+13,1408700,11290242.67
8174000,2.01E+11,1.46E+12,2.05E+11,6.37E+13,1563700,11288107.62
8223800,1.88E+11,1.38E+12,1.93E+11,5.89E+13,2026300,11283820.32
8248600,1.81E+11,1.34E+12,1.87E+11,5.66E+13,2300100,11281685.28
8348100,1.57E+11,1.21E+12,1.66E+11,4.84E+13,2970500,11273119.28
8497300,1.25E+11,1.05E+12,1.39E+11,3.79E+13,3615000,11260274.59
8571800,1.12E+11,9.78E+11,1.28E+11,3.34E+13,3849000,11253860.85
8571900,1.12E+11,9.78E+11,1.28E+11,3.34E+13,3849000,11253852.24
8646500,1.01E+11,9.15E+11,1.19E+11,2.93E+13,4043000,11247429.9
8795600,84370000000,7.87E+11,1.02E+11,2.26E+13,4353000,11234593.81
8902100,75630000000,6.38E+11,91600000000,1.90E+13,4520000,11225425.18
8919900,74320000000,6.21E+11,89740000000,1.84E+13,4544000,11223892.77
8944800,72540000000,5.99E+11,87110000000,1.77E+13,4575000,11221749.12
8964700,71140000000,5.83E+11,84960000000,1.72E+13,4598000,11220035.92
9118900,60470000000,4.85E+11,68980000000,1.35E+13,4722000,11206760.78
9193500,54980000000,4.45E+11,62750000000,1.21E+13,4750000,11200338.43
9317800,45990000000,3.88E+11,54680000000,1.01E+13,4748000,11189637.39
9403300,40550000000,3.53E+11,49960000000,9.00E+12,4707000,11182276.66
9417200,39750000000,3.47E+11,49220000000,8.83E+12,4697000,11181080
9541500,33560000000,3.02E+11,42800000000,7.53E+12,4566000,11170378.96
9591300,31478000000,2.85E+11,40250000000,7.08E+12,4499000,11166091.66
9616100,30500000000,2.77E+11,38990000000,6.87E+12,4464000,11163956.62
9740500,26128000000,2.39E+11,33090000000,5.90E+12,4277000,11153246.97
9889600,21808000000,1.98E+11,27449000000,4.88E+12,4027000,11140410.89
9967200,19955000000,1.79E+11,25303000000,4.40E+12,3888000,11133730.27
10063700,18008000000,1.58E+11,23165000000,3.83E+12,3709000,11125422.54
10138300,16756000000,1.43E+11,21726000000,3.42E+12,3569000,11119000.2
10155200,16502000000,1.40E+11,21414000000,3.33E+12,3537000,11117545.27
10237700,15390000000,1.25E+11,19916000000,2.93E+12,3380000,11110442.81
10468400,13090000000,91860000000,15943000000,2.09E+12,2945100,11090581.75
10610700,12008000000,76170000000,13715000000,1.73E+12,2685400,11078331
10685300,11496000000,69100000000,12616000000,1.58E+12,2552900,11071908.73
10719000,11274000000,66140000000,12133000000,1.52E+12,2494000,11069007.49
10781700,10873000000,61010000000,11265000000,1.40E+12,2386100,11063609.62
11032300,9369000000,44350000000,8366000000,1.02E+12,1979700,11042035.3
11108000,8931000000,40320000000,7701000000,9.17E+11,1866300,11035518.31
11182600,8500000000,36710000000,7130000000,8.21E+11,1758800,11029095.96
11282900,7917000000,32352000000,6461000000,7.03E+11,1621400,11020461
11533500,6516000000,23569000000,5125000000,4.84E+11,1312200,10998886.83
11596200,6197000000,21768000000,4846000000,4.45E+11,1241900,10993488.96
11630100,6031000000,20849000000,4701000000,4.25E+11,1205000,10990570.5
11679900,5798000000,19572000000,4497000000,3.99E+11,1152200,10986283.19
11846800,5111000000,15824000000,3887000000,3.25E+11,988500,10971914.7
12097400,4317000000,11495000000,3168000000,2.37E+11,788400,10950340.44
12160100,4156000000,10614000000,3017400000,2.17E+11,747400,10944942.57
12177200,4114000000,10386000000,2977900000,2.12E+11,736800,10943470.43
12222700,4007000000,9803000000,2875800000,1.99E+11,709600,10939553.31
12410700,3610000000,7740000000,2495600000,1.50E+11,612400,10923368.31
12598600,3234200000,6171000000,2168100000,1.12E+11,533500,10908002.29
12649600,3128500000,5798000000,2086800000,1.04E+11,514600,10905949.63
12898200,2592700000,4207000000,1728200000,72140000000,434300,10895943.91
13022600,2357200000,3623000000,1567600000,60540000000,400300,10890937
13099900,2231300000,3304000000,1471900000,54420000000,381000,10887825.84
13162500,2140400000,3061500000,1395900000,50000000000,366300,10885306.3
13271200,1999700000,2664800000,1267800000,43300000000,342400,10880931.32
13538400,1702600000,1860800000,994200000,30839000000,291590,10870176.99
13594400,1644600000,1751700000,947000000,28774000000,282150,10867923
13669000,1567600000,1626700000,888700000,26244000000,270130,10864920.5
13726400,1508000000,1540800000,847000000,24455000000,261300,10862610.32
