#alt[cm],O[cm^-3],N2[cm^-3],CO[cm^-3,CO2[cm^-3]
8047760,247708000000,1694170000000,212129000000,148881000000000
8095520,232635000000,1586120000000,199372000000,137064000000000
8573130,124174000000,820619000000,107227000000,59948400000000
8668660,109522000000,719287000000,94717700000,50809900000000
8764180,96598800000,630468000000,83667900000,43064500000000
8811940,90720900000,590261000000,78636300000,39646400000000
8955220,75147300000,499248000000,65285200000,30935700000000
9002990,70574700000,472144000000,61740800000,28480400000000
9050750,66280300000,446510000000,58388900000,26219900000000
9098510,62247200000,416417000000,55218900000,24138800000000
9194030,54902400000,362178000000,49385900000,20459100000000
9241790,51561600000,337769000000,46057400000,18835300000000
9385070,42710300000,273975000000,37358600000,14697000000000
9432840,40111500000,255510000000,34840800000,13530500000000
9576120,33225800000,216113000000,28260400000,10557700000000
9623880,31204000000,204380000000,26726100000,9719730000000
9671640,29305300000,193284000000,25275100000,8948280000000
9814930,24274600000,156778000000,21378000000,6982250000000
9862690,22797500000,146212000000,19783200000,6428070000000
9910450,21410300000,135305000000,18307400000,5917880000000
10006000,18884000000,115871000000,15677800000,5015760000000
10053700,18244400000,107227000000,15317400000,4617660000000
10197000,16452700000,86974900000,13016000000,3603110000000
10244800,15895400000,81113100000,12328500000,3317140000000
10292500,15357000000,76709400000,11677200000,3053860000000
10340300,14836900000,72544800000,11060400000,2811470000000
10388100,14334400000,68606200000,10476200000,2588330000000
10435800,13848900000,64881500000,10066700000,2382890000000
10483600,13426000000,61359100000,9673200000,2222290000000
10531300,13016000000,57223700000,9295100000,2072520000000
10626900,12233300000,49770200000,8582660000,1802570000000
10674600,11859700000,46415900000,8247190000,1681080000000
10722400,11497600000,43287600000,7924830000,1567780000000
10770100,11146500000,40370200000,7603830000,1462120000000
10817900,10750400000,37649400000,7295840000,1363580000000
10865700,10368400000,35111900000,7000320000,1271680000000
10913400,10000000000,32745500000,6716770000,1185970000000
10961200,9644670000,30538600000,6444710000,1106040000000
11009000,9301960000,28480400000,6183660000,1031500000000
11056700,8971440000,26560900000,5933190000,975496000000
11152200,8431910000,23755100000,5462280000,872450000000
11200000,8174440000,22465500000,5241030000,825084000000
11247800,7924830000,21245800000,5028740000,780290000000
11295500,7682840000,20092300000,4825050000,727701000000
11391000,7220810000,17475300000,4442090000,632917000000
11438800,7009370000,16297500000,4262160000,590261000000
11486600,6804120000,15199100000,4089520000,558215000000
11534300,6604890000,14174700000,3923870000,527909000000
11582100,6411480000,13219400000,3764940000,499248000000
11677600,6041500000,11497600000,3466110000,446510000000
11725400,5864590000,10873400000,3325720000,413201000000
11868700,5364350000,9196790000,2937740000,327455000000
11916400,5207280000,8697490000,2848040000,305386000000
12011900,4906780000,7564630000,2676760000,265609000000
12059700,4763100000,7054800000,2595020000,247708000000
12107500,4623630000,6579330000,2515780000,231013000000
12155200,4488240000,6135910000,2438960000,215443000000
12203000,4356820000,5722370000,2364490000,200923000000
12250700,4229240000,5336700000,2287220000,187382000000
12298500,4105400000,4977020000,2212470000,174753000000
12346300,3985190000,4668050000,2140170000,162975000000
12394000,3868500000,4378260000,2070220000,151991000000
12441800,3755220000,4106460000,2002570000,141747000000
12537300,3538520000,3612440000,1873820000,123285000000
12585100,3406010000,3388180000,1812580000,114976000000
12632800,3278460000,3177840000,1753340000,107227000000
12728400,3037510000,2795530000,1640620000,93260300000
12776100,2923760000,2621990000,1587000000,86974900000
12823900,2814270000,2459220000,1535140000,81113100000
12871600,2708880000,2306550000,1484970000,76709400000
12919400,2607430000,2163360000,1431770000,72544800000
12967200,2509790000,2029060000,1380470000,68606200000
13014900,2415800000,1903100000,1331020000,64881500000
13062700,2325330000,1803840000,1283330000,61359100000
13158200,2154430000,1620590000,1193020000,53367000000
13253700,2024870000,1455950000,1109070000,46415900000
13301500,1963040000,1380010000,1069340000,43895900000
13349300,1903100000,1308040000,1031030000,41512800000
13397000,1844990000,1239820000,994089000,39259000000
13492500,1734030000,1113860000,924136000,35111900000
13540300,1672420000,1055770000,891027000,32745500000
13588100,1612990000,1014500000,859105000,30538600000
13635800,1555680000,974848000,828327000,28480400000
13683600,1500400000,936744000,798651000,26560900000
13779100,1395660000,864946000,742450000,23755100000
13826900,1347070000,831138000,715851000,22465500000
13874600,1300160000,798651000,690205000,21245800000
13922400,1254890000,774264000,665477000,20092300000
13970100,1211190000,750621000,641636000,19001500000
14017900,1169020000,727701000,618648000,17969900000
14113400,1089020000,683938000,575115000,16071700000
14161200,1055770000,663054000,554510000,15199100000
14209000,1023530000,642807000,534644000,14285100000
14256700,992277000,626703000,515490000,13426000000
14304500,961978000,611001000,497022000,12618600000
14352200,932603000,595694000,479215000,11859700000
14447800,876518000,566219000,445493000,10806100000
14495500,853526000,552033000,429533000,10315000000
14591000,809336000,524719000,403702000,9398620000
14638800,788106000,511573000,391375000,8971440000
14734300,747303000,486260000,367838000,8123900000
14782100,727701000,473505000,356606000,7730640000
14829900,708220000,461085000,345717000,7356420000
14877600,689261000,448990000,335160000,7000320000
14925400,670810000,437213000,324926000,6716770000
14973100,652852000,425744000,315004000,6444710000
15068700,618366000,403702000,296061000,5933190000
15116400,601813000,392895000,287020000,5692870000
15164200,585702000,382377000,278256000,5462280000
15211900,572237000,372141000,269759000,5241030000
15259700,559081000,362178000,261522000,5028740000
15450700,509414000,324926000,231013000,4262160000
15498500,497702000,318689000,223959000,4089520000
15546300,486260000,312572000,218810000,3923870000
15641800,473039000,300687000,208865000,3612440000
15737300,460178000,289254000,199372000,3325720000
15832800,447666000,278256000,190310000,3093570000
15880600,441538000,272562000,185935000,2983650000
15976100,429533000,261522000,177484000,2775380000
16023900,422196000,256171000,173403000,2676760000
16167200,400929000,240765000,161716000,2406760000
16214900,394081000,235839000,157999000,2322960000
16262700,387350000,231013000,154366000,2242070000
16358200,374230000,220513000,147350000,2088650000
16406000,367838000,215443000,143962000,2004050000
16453700,360777000,210490000,140653000,1922870000
16501500,353852000,205651000,137419000,1844990000
16549300,347060000,200923000,134260000,1770260000
16597000,340398000,196304000,131173000,1698550000
16644800,333864000,191791000,128158000,1629750000
16788100,315004000,180957000,120918000,1484970000
16883600,306440000,174077000,116321000,1395660000
16931300,302245000,170735000,114088000,1353050000
16979100,298108000,167458000,111898000,1311730000
17026900,294027000,164244000,109750000,1271680000
17122400,286033000,157999000,105304000,1195200000
17217900,278256000,151991000,101039000,1123320000
17313400,270690000,146212000,96946500,1055770000
17409000,263331000,140653000,93019600,992277000
17456700,259726000,137953000,91116300,961978000
17504500,256171000,135305000,89367300,932603000
17600000,249206000,130160000,85969300,876518000
17647800,245795000,127662000,84319100,849753000
17743300,239772000,122808000,81113100,798651000
17791000,236816000,120450000,79556100,774264000
17838800,233896000,117986000,78029000,750621000
17886600,231013000,115571000,76531200,727701000
17934300,228165000,113207000,75062100,705480000
17982100,225352000,110890000,73621300,683938000
18125400,217120000,104222000,69462600,623179000
18173100,214887000,102089000,68129200,604150000
18220900,212678000,100000000,66821400,585702000
18268700,210490000,98080500,65454100,567817000
