#alt[cm],O[cm^-3],N2[cm^-3],CO[cm^-3],CO2[cm^-3]
8080330,183332000000,804789000000,167281000000,34963800000000
8087040,181695000000,796759000000,165899000000,34618100000000
8106870,176946000000,773512000000,161882000000,33617400000000
8111180,175931000000,768552000000,161022000000,33403800000000
8113340,175426000000,766084000000,160594000000,33297600000000
8127210,172205000000,750376000000,157864000000,32621100000000
8129550,171667000000,747754000000,157407000000,32508200000000
8151980,166601000000,723126000000,153103000000,31447400000000
8171050,162411000000,702825000000,149537000000,30572700000000
8499970,104670000000,430062000000,99581700000,18793700000000
8828760,67468200000,263206000000,66325200000,11555100000000
9000310,53651900000,204731000000,53651900000,8965070000000
9003290,53418500000,203840000000,53418500000,8925670000000
9050740,49832400000,190156000000,49832400000,8320620000000
9174850,41550700000,158553000000,41550700000,6925030000000
9177820,41406100000,157864000000,41406100000,6894590000000
9258530,37672500000,143629000000,37672500000,6118640000000
9307950,35554800000,135555000000,35554800000,5687330000000
9329800,34656500000,132130000000,34656500000,5506380000000
9393160,32178900000,122684000000,32178900000,5013780000000
9396130,32054500000,122257000000,32054500000,4991740000000
9433070,30550300000,115820000000,30550300000,4726320000000
9438640,30329500000,114878000000,30329500000,4687500000000
9462460,29403700000,110940000000,29403700000,4525200000000
9466200,29261100000,110334000000,29261100000,4500250000000
9492050,28293200000,106236000000,28293200000,4331420000000
9567750,25638800000,95087000000,25638800000,3872510000000
9570670,25551500000,94682100000,25551500000,3855850000000
9595690,24813700000,91948300000,24813700000,3715720000000
9607600,24470100000,90675000000,24470100000,3650830000000
9613170,24310900000,90085000000,24310900000,3620840000000
9623940,24006300000,88956200000,24006300000,3563610000000
9712130,21651300000,80229800000,21651300000,3127760000000
9753430,20629100000,76442100000,20629100000,2942370000000
9768380,20271200000,75115600000,20271200000,2878000000000
9786060,19856000000,73577100000,19856000000,2803730000000
9788970,19788300000,73326500000,19788300000,2791660000000
9825910,18950900000,69465600000,18950900000,2643230000000
9831480,18827600000,68900800000,18827600000,2621520000000
9887800,17626100000,63445900000,17626100000,2411950000000
9963510,16131000000,56787600000,16131000000,2156410000000
10000400,15448300000,54384300000,15448300000,2041750000000
10004400,15377400000,54134700000,15377400000,2029920000000
10006000,15340400000,54030400000,15340400000,2024980000000
10030600,14798000000,52497600000,14798000000,1952670000000
10178900,11909000000,44129400000,11909000000,1568000000000
10181800,11868500000,43979100000,11868500000,1561260000000
10218700,11366200000,41915400000,11366200000,1478240000000
10224300,11292200000,41612400000,11292200000,1466100000000
10233400,11173100000,41124700000,11173100000,1446580000000
10239500,11093800000,40800500000,11093800000,1436320000000
10291100,10443000000,38149300000,10443000000,1352060000000
10356400,9674200000,35040800000,9674200000,1252520000000
10380400,9406730000,34071900000,9406730000,1217890000000
10393300,9265460000,33560300000,9265460000,1199600000000
10397200,9222950000,33406300000,9222950000,1194100000000
10398900,9205180000,33341900000,9205180000,1191800000000
10451700,8652990000,31341900000,8652990000,1120310000000
10567800,7553000000,27357600000,7553000000,945104000000
10573400,7503860000,27179600000,7503860000,937419000000
10574700,7492180000,27137300000,7492180000,935594000000
10601400,7261830000,26097800000,7261830000,899755000000
10615500,7142700000,25563300000,7142700000,881331000000
10626200,7063580000,25165700000,7063580000,867620000000
10679100,6685760000,23291800000,6685760000,803018000000
10747900,6223500000,21057400000,6223500000,725983000000
10749300,6214890000,21016400000,6214890000,724570000000
10786100,5981000000,20128500000,5981000000,686483000000
10800800,5890620000,19786500000,5890620000,671927000000
10833900,5691010000,19033700000,5691010000,640102000000
10960700,4906040000,16408300000,4726760000,531646000000
10966200,4874120000,16301500000,4688320000,527323000000
10967600,4866530000,16276200000,4679200000,526297000000
10975300,4822690000,16093000000,4626530000,520374000000
10993700,4719710000,15664300000,4503300000,509262000000
11008400,4639190000,15330700000,4407400000,500573000000
11052200,4407400000,14378700000,4187190000,475563000000
11135200,4064730000,12733200000,3799480000,431528000000
11140800,4042690000,12629600000,3774760000,428720000000
11142100,4037450000,12605100000,3768880000,428053000000
11193600,3839650000,11867400000,3548320000,403003000000
11211000,3775200000,11628600000,3476940000,392887000000
11226700,3717560000,11415800000,3413310000,383915000000
11314300,3413310000,10303600000,2959930000,337715000000
11315300,3410330000,10291400000,2955050000,337214000000
11353500,3300070000,9841230000,2776890000,318866000000
11360400,3280530000,9761980000,2745850000,315658000000
11368100,3258790000,9652110000,2711520000,312105000000
11381500,3221530000,9465000000,2653160000,306055000000
11427700,3096040000,8846000000,2461010000,286039000000
