#alt(cm),O(cm-3),N2(cm-3),CO(cm-3),CO2(cm-3)
13000000,759484948.5,2454422503,6167214055,29741163817
13341772.15,623020217.1,1863818951,4493805917,26233150535
13683544.3,508331524.8,1311326062,3022683940,22725137254
14025316.46,426831407,954564387.4,2052044632,19217123973
14367088.61,364794222,738364580.8,1382100266,15709110691
14708860.76,319144278.8,574857182.3,939934185.2,12201097410
15050632.91,276118880.5,458859575.7,637984044.7,8693084129
15392405.06,234504264.2,358089633.8,495869190.7,6424908180
15734177.22,193528168.4,273459714.3,391468373.5,4756350924
16075949.37,160842361.6,213980389.5,285506122.4,3395162839
16417721.52,139613424.7,175993524.7,209346511.1,2640319444
16759493.67,118026848.7,146315682.8,178689721.9,2037845622
17101265.82,102226290.9,119489552.6,148581225.8,1547100936
17443037.97,90706160.38,95057758.64,113721366.1,1051463079
17784810.13,79300837.29,75306037.98,80047110.43,750703022.9
18126582.28,72615060.81,61118086.64,55511432.62,568646092.4
18468354.43,66086391.56,53104188.88,46799397,427385334.4
18810126.58,59638171.69,46607849.81,40217686.55,319193055.5
19151898.73,53214794.25,40914666.13,35531159.42,269476111.7
19493670.89,48627869.92,36205570.37,31161930.9,225511571.1
19835443.04,44569833,32125859.18,27250845.25,193306320.2
20177215.19,41705191.38,27949630.04,23648520.72,161044242.5
20518987.34,38284800.87,24017619.51,20238682.84,122232175
20860759.49,33900232.58,20449183.05,17079775.97,97259734.76
21202531.65,29124406.76,17182633.3,14277309.18,78648597.89
21544303.8,27387617.96,14435883.69,11874544.12,57831626.61
21886075.95,25155325.09,12114722.55,9796483.673,40741868.36
22227848.1,22318545.61,10229517.17,8000072.899,29262696.06
22569620.25,20272940.39,8671892.955,6686016.698,24598658.33
22911392.41,18661168.05,7364638.567,5387616.868,18390287.99
23253164.56,17298900.68,6345858.838,4408142.111,14028200.09
23594936.71,15302473.71,5466785.302,3641919.925,10846324.6
23936708.86,13547709.22,4700001.493,2959720.341,8380264.555
24278481.01,12095731.56,4036110.4,2518281.571,6705156.483
24620253.16,10665372.7,3486696.746,2180639.741,5406954.136
24962025.32,9684488.855,3034401.137,1899008.271,4298742.957
25303797.47,8955351.205,2645941.811,1705151.752,3457436.056
25645569.62,8271259.034,2344123.638,1529573.684,3005113.443
25987341.77,7621018.257,2086999.845,1374951.976,2623734.777
26329113.92,7003956.66,1878016.587,1219161.173,2168130.993
26670886.08,6609207.6,1679966.774,1059128.914,1671675.408
27012658.23,5972631.378,1486300.746,913506.8387,1333516.438
27354430.38,5168293.876,1282810.901,788905.3829,1117142.3
27696202.53,4614429.214,1101222.806,682463.8015,922102.947
28037974.68,4262584.104,946970.6081,565083.3042,758690.1929
28379746.84,3722993.522,821446.6506,482698.6293,616380.871
28721518.99,3381029.342,712015.6555,426858.5802,495279.5031
29063291.14,3037832.99,606561.3833,396794.9609,399371.1313
29405063.29,2745710.964,510352.2085,360930.0494,331128.5373
29746835.44,2510220.023,430430.3496,313277.0442,275975.8276
30088607.59,2300958.338,367440.893,270614.9616,222905.4101
30430379.75,2087046.46,297503.2512,244693.4123,181618.3129
30772151.9,1863063.186,260960.7872,219383.1728,151003.5801
31113924.05,1680356.963,232738.1608,188883.3433,126666.2707
31455696.2,1523293.901,217540.7274,151031.5523,107818.1314
31797468.35,1390312.37,195005.223,114862.696,93528.95767
32139240.51,1250664.487,145327.2234,94229.65715,84168.25961
32481012.66,1130669.957,130808.2413,74931.32094,73036.23922
32822784.81,1034250.725,121488.9716,51373.07934,63597.71299
33164556.96,921290.4155,111157.2209,49339.99024,58105.20689
33506329.11,826503.006,100003.5911,54960.61256,54232.78702
33848101.27,766145.7539,88680.10358,82161.59834,46937.80215
34189873.42,687640.8072,86519.40653,78499.9949,43072.23552
34531645.57,618966.9372,83661.38518,71193.5133,40569.93599
34873417.72,564890.4161,74363.95084,60982.84864,38354.03792
35215189.87,506939.6573,63397.12797,50962.88064,34895.04534
35556962.03,461559.5122,53235.21579,41236.64188,32715.1913
35898734.18,421911.9817,46932.27615,34744.09791,31522.55413
36240506.33,380177.646,41294.42576,29717.55419,28852.00933
36582278.48,345368.8314,36130.69156,25020.04219,25191.593
36924050.63,312822.9499,31885.29875,23672.84973,23657.52669
37265822.78,281805.6009,28024.69706,22736.15846,22654.21175
37607594.94,254711.1644,24452.95986,22150.58528,22043.37381
37949367.09,233097.5639,21592.63702,21699.56979,20969.00191
38291139.24,211139.4329,18983.77376,19910.86398,19762.90336
38632911.39,190434.1069,16654.66848,17177.51583,17477.9363
38974683.54,172352.5244,14647.59887,15715.70188,15189.29769
39316455.7,154470.2531,12813.51042,14322.16329,13544.75069
39658227.85,139516.9879,11243.82597,12716.81581,10666.0911
40000000,125846.6516,9674.141511,11111.46832,8763.181645
