#alt(cm),e(cm-3)
8000000,1310.02011930157
8500000,4741.29219447218
9000000,7444.90686864779
9500000,21544.2726525598
10000000,42310.4532648648
10500000,57383.432739295
11000000,64037.3642197513
11500000,65262.1258458425
12000000,69270.3167143707
12500000,84225.3742103691
13000000,100138.219125903
13500000,108220.849225208
14000000,106575.317138604
14500000,97466.3669518871
15000000,84836.9783792451
15500000,71528.1441340394
16000000,59255.186182698
16500000,48845.301311927
17000000,40692.957899747
17500000,34132.85369675
18000000,27748.60082356
18500000,21457.92017604
19000000,16167.8483547
19500000,12296.662353
20000000,9575.965008
20500000,7637.144463
21000000,6226.331225
21500000,5181.239905
22000000,4395.225318
22500000,3793.913327
23000000,3325.882872
23500000,2954.790258
24000000,2654.682649
24500000,2406.43046
25000000,2197.200122
25500000,2018.927064
26000000,1862.12412
26500000,1723.531529
27000000,1599.99821
27500000,1487.018695
28000000,1381.222575
28500000,1285.11837
29000000,1196.56524
29500000,1119.290186
30000000,1058.923066
30500000,1016.279858
31000000,986.023376
31500000,961.595021
32000000,939.2807403
32500000,918.2631184
33000000,898.6306661
33500000,880.2619621
34000000,862.9049954
34500000,846.6307458
35000000,831.2262221
35500000,816.6383734
36000000,802.7719506
36500000,789.5957015
37000000,777.1205371
37500000,765.1867274
38000000,753.8059202
38500000,742.9813567
39000000,732.5867466
39500000,722.608099
40000000,712.8909928
