#alt[cm],e[cm-3]
12000000,136612.2759
12295454.55,123653.6618
12590909.09,118079.0432
12886363.64,109056.8642
13181818.18,99716.11857
13477272.73,85290.36543
13772727.27,75018.83914
14068181.82,69406.57888
14363636.36,59892.62067
14659090.91,53383.51422
14954545.45,46109.7129
15250000,42333.97479
15545454.55,38155.25659
15840909.09,34833.88965
16136363.64,32116.01324
16431818.18,28567.83145
16727272.73,24356.55595
17022727.27,20594.84895
17318181.82,16188.68393
17613636.36,13096.65169
17909090.91,11570.85228
18204545.45,10417.26455
18500000,9494.0361
18795454.55,8051.629497
19090909.09,7623.949575
19386363.64,6746.857948
19681818.18,6274.434661
19977272.73,5501.486824
20272727.27,4871.231132
20568181.82,4547.557092
20863636.36,4211.083678
21159090.91,4040.53004
21454545.45,3731.958775
21750000,3775.976877
22045454.55,3424.42267
22340909.09,3110.464458
22636363.64,2974.55031
22931818.18,2844.795085
23227272.73,2691.616572
23522727.27,2614.635845
23818181.82,2448.706133
24113636.36,2508.787095
24409090.91,2400.477758
24704545.45,2329.658295
25000000,2329.658295
