#alt(cm),e(cm-3)
7986000,3314
8271100,3946
8670500,5193
8898900,6421
9042500,8994
9243000,12441
9472300,19255
9615900,26636
9759000,32930
9987500,41740
10329900,53580
10757300,63810
11184000,65420
11866900,68770
12265300,72290
12521900,83970
12892300,97530
13433100,105120
13945100,106440
14371500,97530
15167100,79880
15877200,62240
16502000,49100
16903300,42230
17045900,39950
17155200,38250
17531100,32830
18035400,26636
18273300,24056
18489700,21544
18730300,18876
19244700,14222
19284300,13920
19644800,11492
19931100,9935
20135900,8994
20302900,8322
20617500,7277
20932000,6466
20987800,6341
21359900,5611
21759200,4963
21982000,4642
22186500,4365
22607100,3897
22642100,3865
23495600,3171.8
23686900,3036.6
24377200,2603.4
24795300,2395.5
25059400,2285.6
25989100,1961.9
26082500,1931.1
26963400,1661.1
27097700,1627
27872400,1460.6
28462300,1349.2
28667700,1310.9
29627800,1147.2
29804000,1123.7
30344000,1063.6
30594500,1038.2
31140200,987.2
31362300,975.3
32590700,940.3
32613700,939.5
33865000,882.7
34780700,860.3
35144800,850.2
36481400,798.8
36970700,789.1
37761300,779.1
38876400,751
38899000,750.5
39957200,732.6
40008200,732
