#alt[m],Tn[K],Ti[K],Te[K]
80996.9,138.965,138.965,138.965
90467.3,134.794,134.794,134.794
90467.3,134.794,134.794,134.794
100436,132.353,132.353,132.353
105421,132.353,132.353,132.353
105421,132.353,132.353,132.353
110405,132.353,132.353,132.353
115888,133.976,133.976,133.976
115888,133.976,133.976,133.976
120374,138.12,137.281,138.12
120374,138.12,137.281,138.12
123863,144.139,144.139,144.139
125358,147.336,147.336,151.34
126355,149.507,149.507,158.513
127850,154.508,154.508,169.916
128847,157.935,157.935,174.64
129844,162.325,162.325,179.495
130841,166.838,166.838,186.936
131340,169.141,169.141,190.772
132835,176.243,176.243,206.751
133832,181.143,181.143,218.14
134829,186.179,186.179,227.184
135327,188.079,188.079,231.846
136822,193.898,193.898,244.916
139813,206.08,206.08,278.349
140810,210.309,210.309,284.523
142305,215.498,215.498,294.041
143801,220.815,220.815,302.768
144798,224.432,224.432,308.73
146791,231.846,231.846,327.129
148785,237.953,237.953,346.625
151277,245.813,245.813,363.941
154268,255.588,255.588,382.122
157259,261.496,261.496,406.13
158255,263.495,263.495,412.783
160249,266.365,266.365,426.419
162741,269.997,269.997,439.611
163738,271.279,271.184,445.001
170218,279.766,279.029,487.592
171713,281.762,280.871,501.147
173209,282.909,282.726,515.079
175202,284.446,285.217,535.563
175701,284.831,286.961,540.81
176199,285.217,288.714,550.308
177695,286.167,294.041,579.814
179190,287.12,298.1,610.903
180685,288.075,302.215,649.286
181682,288.714,304.99,667.336
182679,289.067,308.73,685.888
184673,289.772,316.347,774.784
185171,289.949,318.281,786.677
186667,290.479,325.981,823.463
188162,291.011,333.868,869.885
191153,292.076,350.218,988.634
191651,292.255,353.02,1006.87
192648,292.578,359.532,1044.37
194642,293.228,372.92,1103.24
197632,294.204,389.171,1208.83
198629,294.53,397.01,1246.23
200623,295.183,413.165,1316.48
202617,295.838,429.977,1368.84
203115,295.838,434.286,1382.25
206106,295.838,455.981,1487.11
207601,295.838,467.231,1542.48
208100,295.838,471.043,1561.4
209097,295.838,478.759,1586.98
211090,295.838,500.232,1639.4
214081,295.838,534.259,1710.84
217072,295.838,560.948,1801.78
218069,295.838,570.138,1833.16
220062,296.56,588.971,1897.57
223053,297.646,625.283,1968.23
223551,297.646,631.549,1980.26
225545,297.646,657.247,2029.12
227040,297.646,676.754,2066.55
228037,297.646,690.08,2091.89
231028,297.646,724.554,2169.79
234517,297.646,782.375,2264.34
236012,297.646,808.547,2292.11
238505,297.646,854.127,2339.14
239003,297.646,861.095,2348.66
241495,297.646,896.796,2393.81
242991,297.646,925.564,2421.32
243489,297.646,935.357,2431.76
246978,297.646,1006.87,2506.09
248474,297.646,1040.55,2538.63
249470,297.646,1063.63,2560.57
251464,297.646,1098.77,2605
252461,297.646,1116.77,2622.7
255950,297.646,1216.22,2685.59
256947,297.646,1246.23,2700.18
258941,297.646,1295.79,2729.59
259439,297.646,1308.48,2736.99
260436,297.646,1329.92,2751.86
262430,297.646,1373.85,2785.6
263925,297.646,1419.81,2811.18
268910,297.646,1584.4,2898.14
269408,297.646,1601.87,2906.99
274393,297.646,1787.57,2978.71
278879,297.646,1973.03,3033.66
279377,297.646,1994.79,3040.14
282368,297.646,2130.48,3079.29
284361,297.646,2226.03,3105.68
288847,297.646,2456.99,3165.86
289346,297.646,2484.09,3172.3
292336,297.646,2653.06,3211.2
293333,297.646,2695.68,3224.27
298318,297.646,2919.28,3263.8
298816,297.646,2942.63,3269.78
299813,297.646,2973.53,3281.75
302305,297.646,3052.21,3311.89
304798,297.646,3104.31,3342.3
306791,297.646,3146.63,3366.83
308287,297.646,3160.36,3385.34
309782,297.646,3174.14,3399.12
312773,297.646,3201.89,3426.85
317259,297.646,3243.98,3464.64
317757,297.646,3248.37,3468.87
320249,297.646,3270.44,3490.07
321745,297.646,3283.75,3502.85
325234,297.646,3297.79,3532.86
326729,297.646,3303.82,3545.8
327726,297.646,3311.5,3554.46
330218,297.646,3330.77,3578.6
332212,297.646,3346.27,3598.04
337196,297.646,3385.34,3620.03
341184,297.646,3422.21,3655.5
341682,297.646,3426.85,3659.96
346168,297.646,3451.03,3700.32
347165,297.646,3456.42,3709.35
351153,297.646,3478.09,3727.48
352150,297.646,3483.53,3732.02
357134,297.646,3510.85,3754.83
361121,297.646,3532.86,3781.07
361620,297.646,3535.56,3784.37
366604,297.646,3562.59,3817.45
367601,297.646,3568.02,3824.1
371589,297.646,3589.83,3842.79
372586,297.646,3595.3,3847.48
377570,297.646,3622.79,3870.99
381059,297.646,3642.16,3886.03
382056,297.646,3644.62,3890.34
387040,297.646,3656.98,3911.95
388536,297.646,3660.7,3918.46
392025,297.646,3669.38,3935.21
393520,297.646,3673.11,3942.41
398505,297.646,3685.57,3966.5
399003,297.646,3686.82,3968.92
