#alt[m],Tn[K],Ti[K],Te[K]
80000,138.965,138.12,138.965
80498.4,138.965,138.12,138.965
93956.4,138.965,138.12,138.965
98940.8,138.965,138.12,138.965
103925,138.965,138.12,138.965
108910,138.965,138.12,138.965
113894,138.965,138.12,138.965
118380,138.965,138.12,138.965
118879,138.965,138.307,138.965
122368,140.015,139.625,140.668
124361,140.618,140.383,144.139
126355,141.224,141.145,149.507
127352,141.528,141.528,152.823
128847,142.104,142.104,157.935
130841,142.876,142.876,166.838
131838,143.264,143.264,171.476
132835,143.9,144.042,176.243
134829,145.181,145.611,186.179
135826,145.826,146.401,196.674
136324,146.149,146.798,199.389
137321,146.798,148.598,204.932
137819,148.056,149.507,207.761
139813,153.195,153.195,220.815
141308,158.32,158.32,233.263
142305,161.832,161.832,239.748
143302,165.018,165.018,246.413
144798,169.916,169.916,254.656
145794,171.999,171.999,260.304
147788,176.243,176.243,274.978
148287,177.32,177.32,278.01
150280,180.592,180.592,290.479
152274,183.923,183.923,302.031
152773,184.422,184.422,304.99
155265,186.936,186.936,322.183
156760,188.461,188.461,330.133
158255,189.613,189.613,338.278
161246,191.938,191.938,355.177
164735,193.583,193.583,370.655
166231,194.292,194.292,379.8
167726,195.083,195.083,389.171
170717,196.674,196.674,408.612
173209,196.896,197.876,431.647
175202,197.074,198.843,455.981
175701,197.118,199.086,462.275
177196,197.252,202.758,481.686
178692,197.386,206.499,511.95
179688,197.475,209.031,540.81
181184,197.608,213.537,574.789
182679,197.742,218.14,610.903
183676,197.832,221.714,645.341
184174,197.876,223.522,658.583
185171,197.876,227.184,685.888
185670,197.876,229.037,707.107
186168,197.876,231.563,728.982
187664,197.876,239.31,770.077
188162,197.876,241.949,785.879
189159,197.876,247.315,818.461
190654,198.238,255.588,864.6
190654,198.238,255.588,864.6
191651,198.48,260.621,918.923
193146,198.843,268.356,970.725
194143,199.086,274.308,1000.76
195140,199.086,280.392,1031.72
195639,199.086,283.485,1050.75
196636,199.086,290.086,1089.88
198629,199.086,303.754,1158.35
199128,199.086,307.27,1174.34
200125,199.086,314.425,1206.99
200623,199.086,318.766,1223.65
202118,199.086,332.151,1275.03
202617,199.086,335.814,1292.63
204112,199.086,347.047,1335.88
204611,199.086,350.875,1350.61
205109,199.086,354.313,1365.5
207103,199.086,368.403,1419.81
207601,199.086,372.466,1433.72
209097,199.086,384.926,1481.68
209595,199.086,389.171,1498.02
210093,199.086,393.463,1514.54
212087,199.086,411.11,1574.77
212586,199.086,416.785,1590.2
214081,199.086,434.286,1634.41
215576,199.086,448.813,1679.85
216573,199.086,458.768,1707.37
218567,199.086,477.012,1763.76
219065,199.086,481.686,1776.35
221558,199.086,508.84,1840.62
223551,199.086,537.525,1892.62
224050,199.086,543.453,1905.84
225047,199.086,555.506,1932.57
226044,199.086,567.826,1956.27
228536,199.086,596.193,2016.79
229034,199.086,602.768,2027.35
231028,199.086,629.802,2070.15
232025,199.086,647.31,2091.89
233022,199.086,665.306,2114.32
234019,199.086,680.062,2136.98
235514,199.086,702.811,2171.44
236012,199.086,712.513,2183.05
237508,199.086,742.431,2217.53
239003,199.086,767.267,2252.55
239502,199.086,775.729,2264.34
240000,199.086,784.284,2274.71
242991,199.086,823.463,2337.95
243489,199.086,834.831,2348.66
243988,199.086,846.356,2359.42
244984,199.086,869.885,2381.08
247477,199.086,918.923,2436.12
248972,199.086,957.507,2460.98
249470,199.086,970.725,2469.33
251963,199.086,1025.45,2511.48
253956,199.086,1066.23,2545.72
254455,199.086,1076.67,2554.35
256449,199.086,1124.96,2589.18
256947,199.086,1137.37,2599.06
258941,199.086,1188.38,2638.95
259439,199.086,1201.49,2649.02
260436,199.086,1234.89,2669.28
261433,199.086,1269.22,2683.78
263925,199.086,1332.62,2720.36
264922,199.086,1362.18,2735.14
266417,199.086,1407.75,2757.45
268411,199.086,1487.11,2787.48
268910,199.086,1503.51,2795.04
269408,199.086,1520.09,2802.62
270903,199.086,1570.94,2825.49
273396,199.086,1659.5,2864.01
273894,199.086,1675.76,2871.77
275888,199.086,1742.4,2899.91
278380,199.086,1840.62,2935.47
278879,199.086,1861.65,2942.63
283364,199.086,2061.98,2996.92
283863,199.086,2085.53,3005.05
287850,199.086,2283.87,3070.86
288847,199.086,2336.33,3082.11
289346,199.086,2363.01,3087.75
292835,199.086,2548.24,3127.52
293832,199.086,2603.78,3140.25
295826,199.086,2718.52,3165.86
297321,199.086,2777.12,3185.21
298816,199.086,2836.99,3196.88
302305,199.086,2960.62,3224.27
303801,199.086,2990.84,3243.98
306791,199.086,3052.21,3283.75
308785,199.086,3074.61,3299.8
311776,199.086,3108.52,3324.02
313769,199.086,3125.4,3342.07
316262,199.086,3146.63,3364.77
318754,199.086,3165.86,3385.34
321246,199.086,3185.21,3406.03
323738,199.086,3206.85,3429.17
325732,199.086,3224.27,3447.79
328723,199.086,3236.08,3460.42
330717,199.086,3243.98,3468.87
333707,199.086,3267.78,3511.4
335202,199.086,3279.75,3532.86
335701,199.086,3283.75,3535.02
338692,199.086,3297.12,3547.97
340187,199.086,3303.82,3554.46
343676,199.086,3332.13,3569.65
