#alt(cm),H+(cm-3)
16254100,0.31404
16376200,0.4034
16498900,0.4961
16691300,0.7029
16864700,1.0862
17075400,1.506
17355000,2.5674
17564100,4.012
17772800,6.476
17964500,9.687
18156400,14.335
18383700,21.918
18628900,33.514
18803800,46.46
19049600,68.02
19367300,97.46
19684700,142.72
20002400,204.5
20303200,271.55
20604400,349.01
20959000,463.5
21420700,629.3
21847200,818
22327800,1029.4
22880600,1240.5
23434000,1431.4
23952200,1581.2
24882200,1768.2
25759300,1852.1
26529800,1816.9
27354500,1725.5
28250800,1639.1
29039900,1523
29882700,1430.8
30743600,1315.4
31496600,1249
31998700,1197.8
