#alt(cm),H(cm-3)
9094800,809100000
9103300,787700000
9143600,694700000
9280600,486600000
9325000,440200000
9331500,434000000
9523300,283000000
9608100,230000000
9616300,225100000
9749300,149960000
9852400,108280000
9955500,82590000
10148200,51070000
10246800,38530000
10251100,38050000
10326000,30660000
10404400,25040000
10507500,19856000
10574800,17220000
10694200,13414000
10779700,11145000
10954900,7272000
11075500,5257000
11141400,4409000
11351800,2730000
11377900,2602000
11402100,2493000
11638900,1691100
11677100,1585100
11708100,1501300
11799200,1265500
12064000,764500
12136500,680100
12246400,579000
12404100,464900
12420500,454000
12634300,333000
12662100,322000
12717700,302700
12743900,294700
13138900,213500
13182000,207290
13191300,206000
13254000,197720
13638700,159430
13681900,156170
13714200,153830
13794200,148410
13850400,144880
14078700,132710
14086000,132370
14269800,124790
14507000,116840
14632800,113160
14633800,113130
14677000,111940
14729800,110530
15305100,98200
15342700,97600
15426000,96370
15462500,95890
15579700,94560
15936800,92170
16034800,91730
16175300,91080
16333000,90220
16358800,90060
16590300,88450
17025300,85160
17036300,85080
17129900,84400
17277600,83400
17673300,81210
17925400,80330
17976400,80200
18030300,80080
18088200,79970
18551400,79440
18769100,79300
18930600,79170
19027900,79060
19166800,78880
19190300,78840
19403100,78450
19831100,77430
19881400,77290
20096800,76660
20292400,76040
20456900,75490
20462200,75470
20781700,74350
20822000,74200
21171500,72900
21394700,72050
21571000,71370
21676600,70970
21682000,70950
21737000,70740
22269900,68860
22496900,68220
22577100,68030
22632800,67920
22792700,67670
23118700,67560
23459800,67580
23477500,67570
23599000,67510
23808800,67290
23817700,67280
24183400,66630
24377800,66220
24516600,65920
24701300,65500
24828100,65220
25083700,64680
25215400,64420
25342700,64200
25728400,63770
25853800,63720
25914300,63710
25984300,63720
26378600,63830
26555700,63850
26628900,63840
26634500,63840
26955900,63650
27071000,63520
27529500,62570
27535100,62550
27653600,62170
28058200,60500
28480000,58630
28485600,58600
28988100,57140
29160500,57050
29380300,57230
29386100,57240
30163600,57870
30280900,57630
30286700,57620
30312800,57550
30831300,55570
31187200,54110
31415100,53360
31478100,53190
31731900,52750
32137700,52570
32488000,52690
32517400,52700
32832900,52790
33438700,52520
33477000,52480
34227400,51390
34371400,51100
35423500,48620
35621700,48130
36576000,45950
37115700,45060
37628300,44840
38012200,44830
38730600,43980
39008200,43730
39832900,43730
39904800,43730
