#alt(cm),H(cm-3)
9051200,3553000000
9076800,3322000000
9102400,3107000000
9153600,2723000000
9256000,2128000000
9332800,1788000000
9415700,1474100000
9486400,1238400000
9563200,1012500000
9614400,879000000
9768000,565400000
9867200,424100000
9921600,363000000
9931700,352700000
10023900,272700000
10447700,92830000
10512200,79600000
10535900,75270000
10641300,58800000
10996700,25330000
11028300,23420000
11092800,19950000
11099100,19630000
11483100,8313000
11673300,6419000
11802300,5558000
11866800,5067000
11867100,5066000
12189400,2634000
12199800,2596000
12253900,2426000
12635000,1754000
12737400,1621100
12769900,1577200
12839800,1479900
12963400,1318800
13172600,1145800
13326200,1075400
13350400,1066300
13608500,983000
13889300,902000
13940500,886900
13991700,871600
13995500,870500
14119700,832400
14554900,705100
14640500,683900
14708500,668400
14759700,657700
14913300,631000
15297300,601300
15350100,599800
15399700,598500
15543600,595000
15809200,585000
15937200,577700
16142000,563800
16398000,545100
16640200,528100
16704700,523900
16769200,519800
17038000,505400
17089200,503300
17626800,495600
17801300,497400
17994800,500300
18164300,502400
18343500,503400
18573900,502800
19026900,496100
19137100,493500
19284900,489500
19290700,489300
19802600,472100
20123400,461900
20381500,455500
20468200,453800
20493800,453400
20639500,451400
21091000,447900
21220000,447200
21338600,446500
21748100,441500
21929600,436500
21952900,435700
21978500,434800
21994100,434200
22516100,414800
22592900,412600
22703600,410100
22746500,409200
23090600,404600
23232900,403200
23413200,401600
23821600,397200
23864700,396600
24122700,391900
24187200,390400
24256800,388500
24767800,367500
25219300,347700
25283800,345700
25408800,342700
25864300,338900
26122400,339300
26380400,340500
26702900,341800
26816700,341900
26960900,341700
27477000,338000
27799500,334900
28071000,332900
28831600,332200
29530100,332100
30121600,329600
31219700,315200
31476200,309100
32602000,284900
32830800,284300
34163500,291300
34185400,291300
35604500,278600
35776200,276500
36959100,265500
37235300,262600
37644900,257500
38208100,251300
38592100,249400
38848100,249400
39974400,249400
