#alt(cm),Tn(K),Ti(K),Te(K)
10072100,175.74,175.07,173.32
10095200,175.7,174.52,173.35
10118200,175.66,173.54,173.39
10118300,175.66,173.54,173.39
10141400,175.62,173.47,173.42
10233700,175.47,173.38,173.57
10372400,175.24,173.45,173.77
10487800,175.09,173.56,173.93
10972800,175.04,174.22,174.44
10995900,175.08,174.25,174.45
11019000,175.13,174.29,174.47
11042100,175.18,174.32,174.49
11134400,175.43,174.46,174.55
11596400,177.17,175.24,175.05
11642600,177.3,175.34,175.15
11781100,177.53,175.65,175.57
11827400,177.57,175.77,175.8
12058400,177.66,176.51,181.36
12104500,177.69,176.7,183.67
12196900,177.85,177.12,188.36
12335500,178.45,177.91,195.69
12433900,179.14,178.61,201.16
12474100,179.46,178.93,203.45
12635800,180.74,180.42,213
12820600,182.12,182.5,224.45
12889900,182.68,183.37,228.87
12959200,183.28,184.28,233.34
13075000,184.44,185.91,240.91
13282600,187.29,189.15,254.72
13490500,191.93,192.99,268.82
13490600,191.93,192.99,268.83
13513700,192.58,193.48,270.41
13768000,201.83,200.66,288.07
13774200,202.1,200.92,288.51
13883600,207.3,207.15,296.27
13975800,212.74,217.09,302.97
13976000,212.75,217.11,302.98
14045500,218.22,225.87,308.16
14068800,220.5,228.4,309.93
14207300,233.8,240.05,320.9
14300000,239.81,246.77,328.81
14322600,241.03,248.4,330.82
14369500,243.38,251.81,335.15
14473500,248.11,259.68,345.52
14553700,251.56,265.92,354.56
14554100,251.57,265.95,354.59
14739600,259.63,280.35,380.09
14854800,265.24,289.04,400.06
14877300,266.46,290.73,404.4
14940000,270.09,295.44,417.24
14993200,273.32,299.48,429.02
15229600,285.37,318.22,490.44
15290100,287.52,323.31,508.01
15403700,290.74,333.2,542.34
15409500,290.88,333.71,544.12
15431800,291.4,335.71,551.17
15640300,295.34,355.1,623.63
15756400,297.04,366.46,672.27
15870600,298.49,377.99,727.17
15932300,299.21,384.37,759.32
16172700,301.64,409.94,898.76
16224300,302.11,415.51,932.16
16263400,302.45,419.74,958.46
16516300,304.48,446.99,1134.98
16565900,304.85,452.26,1168.41
16569800,304.88,452.69,1171.09
16626100,305.29,458.6,1208.73
16866400,306.95,482.76,1381.9
17118000,308.54,505.1,1607.6
17120700,308.55,505.33,1610.1
17216600,309.11,512.92,1696.4
17443600,310.33,528.92,1866.9
17536800,310.79,534.75,1920
17799500,311.94,549.21,2031.7
18022900,312.76,559.67,2098.9
18206900,313.32,567.17,2144.8
18711600,314.43,583.1,2249.6
18724300,314.45,583.42,2252
18946100,314.77,588.31,2293.7
18964000,314.79,588.66,2297
19477800,315.18,596.96,2392.2
19985400,315.26,604.9,2485.8
20121200,315.24,607.58,2510.8
20244800,315.22,610.37,2533.6
20840200,315.06,628.36,2643.2
20932700,315.03,631.77,2659.9
21205800,314.98,642.7,2708.3
21460100,314.95,653.87,2751.6
21583700,314.93,659.6,2771.8
21995400,314.91,679.97,2834.7
22387500,314.88,701.05,2889.3
22740800,314.86,721.24,2935.5
22922500,314.84,732,2958.6
23173700,314.81,747.41,2990.2
23261200,314.8,752.96,3001.2
23842400,314.74,792.92,3073.4
23963500,314.72,802.12,3088.4
24074800,314.71,810.9,3102.1
24319500,314.68,831.25,3132.1
24883600,314.63,882.91,3200.5
25128000,314.6,906.85,3229.3
25297300,314.59,923.82,3248.8
25484400,314.57,942.95,3269.8
25658200,314.55,961.14,3288.8
25847800,314.53,981.54,3308.8
26223800,314.49,1024.05,3346.9
26234300,314.49,1025.28,3347.9
26752100,314.44,1089.28,3397.3
27032600,314.41,1126.35,3422.9
27055100,314.41,1129.39,3425
27340700,314.38,1168.73,3450.3
27656600,314.34,1213.74,3477.3
27787800,314.33,1232.9,3488
28207000,314.29,1295.5,3520.4
28447000,314.26,1332.2,3537.3
28451900,314.26,1333,3537.6
28604100,314.25,1356.5,3547.7
29366600,314.17,1478.5,3593.1
29366900,314.17,1478.5,3593.1
29661900,314.14,1528,3609.9
29906900,314.11,1568.3,3624.1
30004800,314.1,1583.8,3629.9
30059900,314.1,1592.4,3633.2
30252100,314.08,1621.3,3645
31116800,313.99,1740.3,3700.5
31303700,313.97,1765.4,3712.7
31474600,313.95,1788.4,3723.8
32571600,313.84,1934.2,3795
32700500,313.83,1950,3803.6
32755400,313.82,1956.5,3807.2
34026500,313.69,2092.9,3889.2
34152400,313.68,2105.6,3896.3
34155500,313.68,2105.9,3896.5
35481400,313.55,2228.3,3956.3
35491200,313.54,2229.1,3956.7
35552300,313.54,2233.8,3959.2
36888100,313.41,2321.4,4017.1
36936200,313.4,2324.3,4019.4
37007200,313.37,2328.7,4022.8
38284900,313.18,2397.8,4083.2
38391100,313.25,2401.9,4087.1
38404000,313.26,2402.4,4087.5
39739900,315.45,2436.3,4117.4
39846000,315.68,2438.4,4119.1
39858900,315.71,2438.6,4119.3
