#alt(cm),Tn(K),Ti(K),Te(K)
10072100,175.1,176.24,173.32
10095200,175.09,176.23,173.35
10118200,175.09,176.22,173.39
10118300,175.09,176.22,173.39
10141400,175.09,176.22,173.42
10233700,175.08,176.21,173.57
10372400,175.07,176.22,173.77
10487800,175.07,176.25,173.93
10972800,175.04,176.65,174.44
10995900,175.04,176.69,174.45
11019000,175.04,176.72,174.47
11042100,175.04,176.76,174.49
11134400,175.05,176.92,174.55
11596400,175.58,177.93,175.05
11642600,175.69,178.04,175.15
11781100,176.1,178.35,175.57
11827400,176.25,178.45,175.8
12058400,177.11,178.87,181.36
12104500,177.31,178.95,183.67
12196900,177.72,179.1,188.36
12335500,178.42,179.32,195.69
12433900,178.98,179.5,201.16
12474100,179.22,179.58,203.45
12635800,180.31,180.07,213
12820600,181.8,181.62,224.45
12889900,182.43,182.5,228.87
12959200,183.09,183.49,233.34
13075000,184.29,185.33,240.91
13282600,186.88,189.09,254.72
13490500,190.35,193.48,268.82
13490600,190.36,193.48,268.83
13513700,190.81,194.01,270.41
13768000,196.83,200.78,288.07
13774200,197,200.97,288.51
13883600,200.17,204.65,296.27
13975800,203.13,208.49,302.97
13976000,203.14,208.5,302.98
14045500,205.56,212.28,308.16
14068800,206.41,213.81,309.93
14207300,211.85,223.97,320.9
14300000,215.8,229.37,328.81
14322600,216.78,230.54,330.82
14369500,218.83,232.84,335.15
14473500,223.17,237.43,345.52
14553700,226.14,240.56,354.56
14554100,226.15,240.58,354.59
14739600,231.99,247.05,380.09
14854800,235.27,251.3,400.06
14877300,235.9,252.21,404.4
14940000,237.62,254.95,417.24
14993200,239.04,257.57,429.02
15229600,244.64,272.84,490.44
15290100,245.88,277.59,508.01
15403700,247.99,287.19,542.34
15409500,248.09,287.69,544.12
15431800,248.47,289.67,551.17
15640300,251.64,309.04,623.63
15756400,253.16,320.3,672.27
15870600,254.52,331.56,727.17
15932300,255.21,337.74,759.32
16172700,257.56,362.44,898.76
16224300,257.99,367.84,932.16
16263400,258.3,371.92,958.46
16516300,259.9,396.47,1134.98
16565900,260.13,400.9,1168.41
16569800,260.15,401.25,1171.09
16626100,260.38,406.17,1208.73
16866400,261.11,427.09,1381.9
17118000,261.62,450.41,1607.6
17120700,261.62,450.68,1610.1
17216600,261.79,460.63,1696.4
17443600,262.16,483.23,1866.9
17536800,262.29,490.44,1920
17799500,262.62,506.39,2031.7
18022900,262.83,517.37,2098.9
18206900,262.97,525.05,2144.8
18711600,263.19,537.98,2249.6
18724300,263.19,538.16,2252
18946100,263.22,540.53,2293.7
18964000,263.22,540.68,2297
19477800,263.2,544.04,2392.2
19985400,263.12,549.22,2485.8
20121200,263.1,551.77,2510.8
20244800,263.07,554.76,2533.6
20840200,262.98,576.56,2643.2
20932700,262.98,580.36,2659.9
21205800,262.97,591.7,2708.3
21460100,263.01,602.59,2751.6
21583700,263.04,608.05,2771.8
21995400,263.18,627.27,2834.7
22387500,263.36,647.48,2889.3
22740800,263.51,667.3,2935.5
22922500,263.58,678.08,2958.6
23173700,263.64,693.64,2990.2
23261200,263.66,699.25,3001.2
23842400,263.69,739.46,3073.4
23963500,263.68,748.57,3088.4
24074800,263.68,757.18,3102.1
24319500,263.65,776.83,3132.1
24883600,263.58,826.56,3200.5
25128000,263.54,850.7,3229.3
25297300,263.51,868.24,3248.8
25484400,263.48,887.78,3269.8
25658200,263.46,905.73,3288.8
25847800,263.43,925.42,3308.8
26223800,263.4,966,3346.9
26234300,263.4,967.17,3347.9
26752100,263.39,1028.51,3397.3
27032600,263.38,1064.86,3422.9
27055100,263.38,1067.9,3425
27340700,263.35,1108.36,3450.3
27656600,263.3,1154.96,3477.3
27787800,263.27,1174.34,3488
28207000,263.13,1237.2,3520.4
28447000,263.03,1273.9,3537.3
28451900,263.03,1274.7,3537.6
28604100,262.96,1298.2,3547.7
29366600,262.57,1417.2,3593.1
29366900,262.57,1417.2,3593.1
29661900,262.41,1463.5,3609.9
29906900,262.28,1502.4,3624.1
30004800,262.28,1502.4,3629.9
30059900,262.28,1502.4,3633.2
30252100,262.28,1502.4,3645
31116800,262.28,1502.4,3700.5
31303700,262.28,1502.4,3712.7
31474600,262.28,1502.4,3723.8
32571600,262.28,1502.4,3795
32700500,262.28,1502.4,3803.6
32755400,262.28,1502.4,3807.2
34026500,262.28,1502.4,3889.2
34152400,262.28,1502.4,3896.3
34155500,262.28,1502.4,3896.5
35481400,262.28,1502.4,3956.3
35491200,262.28,1502.4,3956.7
35552300,262.28,1502.4,3959.2
36888100,262.28,1502.4,4017.1
36936200,262.28,1502.4,4019.4
37007200,262.28,1502.4,4022.8
38284900,262.28,1502.4,4083.2
38391100,262.28,1502.4,4087.1
38404000,262.28,1502.4,4087.5
39739900,262.28,1502.4,4117.4
39846000,262.28,1502.4,4119.1
39858900,262.28,1502.4,4119.3
