#alt(cm),O(cm-3),N2(cm_3),CO(cm-3),CO2(cm-3),H(cm-3)
9051200,201500000000,581300000000000,258000000000,1.344E+016,3553000000
9076800,196700000000,548600000000000,251800000000,1.2524E+016,3322000000
9102400,192000000000,517700000000000,245800000000,1.1667E+016,3107000000
9153600,183000000000,460500000000000,234100000000,1.0119E+016,2723000000
9256000,166100000000,361300000000000,212300000000,7593000000000000,2128000000
9332800,154220000000,298000000000000,197400000000,6113000000000000,1788000000
9415700,142170000000,239000000000000,182600000000,4834000000000000,1474100000
9486400,132430000000,195900000000000,170900000000,3957000000000000,1238400000
9563200,122390000000,155510000000000,159210000000,3185000000000000,1012500000
9614400,116060000000,131650000000000,151930000000,2758000000000000,879000000
9768000,98970000000,77040000000000,132370000000,1798000000000000,565400000
9867200,89480000000,57790000000000,121340000000,1370700000000000,424100000
9921600,84780000000,50080000000000,115780000000,1183500000000000,363000000
9931700,83940000000,48790000000000,114780000000,1151600000000000,352700000
10023900,76820000000,38680000000000,106130000000,900900000000000,272700000
10447700,53620000000,13766000000000,75170000000,302900000000000,92830000
10512200,51100000000,11722000000000,71450000000,257700000000000,79600000
10535900,50220000000,11045000000000,70140000000,242900000000000,75270000
10641300,46590000000,8463000000000,64630000000,187000000000000,58800000
10996700,36940000000,3527000000000,49330000000,77870000000000,25330000
11028300,36230000000,3279000000000,48180000000,72030000000000,23420000
11092800,34860000000,2833000000000,45930000000,61390000000000,19950000
11099100,34730000000,2793000000000,45720000000,60440000000000,19630000
11483100,28080000000,1206400000000,34700000000,22830000000000,8313000
11673300,25430000000,780900000000,30490000000,13739000000000,6419000
11802300,23790000000,568000000000,28050000000,9584000000000,5558000
11866800,23010000000,481700000000,26950000000,7981000000000,5067000
11867100,23010000000,481500000000,26950000000,7976000000000,5066000
12189400,19480000000,215300000000,22530000000,3273000000000,2634000
12199800,19370000000,210100000000,22410000000,3185000000000,2596000
12253900,18840000000,186000000000,21800000000,2773000000000,2426000
12635000,15442000000,85850000000,17330000000,1090500000000,1754000
12737400,14634000000,70230000000,15896000000,846200000000,1621100
12769900,14387000000,65860000000,15431000000,779600000000,1577200
12839800,13866000000,57250000000,14431000000,651500000000,1479900
12963400,12988000000,44300000000,12710000000,471100000000,1318800
13172600,11596000000,27770000000,10081000000,272100000000,1145800
13326200,10629000000,19460000000,8448000000,185000000000,1075400
13350400,10479000000,18410000000,8215000000,174500000000,1066300
13608500,8924000000,10550000000,6138000000,96690000000,983000
13889300,7276000000,6615000000,4558000000,52450000000,902000
13940500,6979000000,6136000000,4328000000,46900000000,886900
13991700,6683000000,5692000000,4111000000,41900000000,871600
13995500,6662000000,5661000000,4095000000,41550000000,870500
14119700,5961000000,4660000000,3618000000,31460000000,832400
14554900,3856000000,1911000000,2306000000,11873000000,705100
14640500,3528000000,1623100000,2094000000,9896000000,683900
14708500,3293000000,1434300000,1934000000,8595000000,668400
14759700,3130000000,1310800000,1818000000,7744000000,657700
14913300,2718000000,1014900000,1492400000,5710000000,631000
15297300,2009000000,582200000,877200000,2764000000,601300
15350100,1932000000,544200000,816600000,2508000000,599800
15399700,1862000000,511700000,764400000,2290000000,598500
15543600,1673000000,431000000,636300000,1761000000,595000
15809200,1374500000,319100000,467700000,1089000000,585000
15937200,1251000000,276200000,406900000,864000000,577700
16142000,1077000000,216100000,327500000,599000000,563800
16398000,894800000,149410000,250700000,401000000,545100
16640200,752900000,103290000,194300000,289000000,528100
16704700,719400000,94290000,181400000,265100000,523900
16769200,687600000,86390000,169300000,243000000,519800
17038000,571000000,61690000,126660000,164410000,505400
17089200,551300000,58050000,119770000,151280000,503300
17626800,383900000,31750000,65990000,55310000,495600
17801300,341600000,26390000,54180000,40210000,497400
17994800,300000000,21620000,43430000,28610000,500300
18164300,267500000,18190000,35700000,21330000,502400
