#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
80477.6,2.47708E+017,1.69417E+018,2.12129E+017,1.48881E+020
80955.2,2.32635E+017,1.58612E+018,1.99372E+017,1.37064E+020
85731.3,1.24174E+017,8.20619E+017,1.07227E+017,5.99484E+019
86686.6,1.09522E+017,7.19287E+017,9.47177E+016,5.08099E+019
87641.8,9.65988E+016,6.30468E+017,8.36679E+016,4.30645E+019
88119.4,9.07209E+016,5.90261E+017,7.86363E+016,3.96464E+019
89552.2,7.51473E+016,4.99248E+017,6.52852E+016,3.09357E+019
90029.9,7.05747E+016,4.72144E+017,6.17408E+016,2.84804E+019
90507.5,6.62803E+016,4.4651E+017,5.83889E+016,2.62199E+019
90985.1,6.22472E+016,4.16417E+017,5.52189E+016,2.41388E+019
91940.3,5.49024E+016,3.62178E+017,4.93859E+016,2.04591E+019
92417.9,5.15616E+016,3.37769E+017,4.60574E+016,1.88353E+019
93850.7,4.27103E+016,2.73975E+017,3.73586E+016,1.4697E+019
94328.4,4.01115E+016,2.5551E+017,3.48408E+016,1.35305E+019
95761.2,3.32258E+016,2.16113E+017,2.82604E+016,1.05577E+019
96238.8,3.1204E+016,2.0438E+017,2.67261E+016,9.71973E+018
96716.4,2.93053E+016,1.93284E+017,2.52751E+016,8.94828E+018
98149.3,2.42746E+016,1.56778E+017,2.1378E+016,6.98225E+018
98626.9,2.27975E+016,1.46212E+017,1.97832E+016,6.42807E+018
99104.5,2.14103E+016,1.35305E+017,1.83074E+016,5.91788E+018
100060,1.8884E+016,1.15871E+017,1.56778E+016,5.01576E+018
100537,1.82444E+016,1.07227E+017,1.53174E+016,4.61766E+018
101970,1.64527E+016,8.69749E+016,1.3016E+016,3.60311E+018
102448,1.58954E+016,8.11131E+016,1.23285E+016,3.31714E+018
102925,1.5357E+016,7.67094E+016,1.16772E+016,3.05386E+018
103403,1.48369E+016,7.25448E+016,1.10604E+016,2.81147E+018
103881,1.43344E+016,6.86062E+016,1.04762E+016,2.58833E+018
104358,1.38489E+016,6.48815E+016,1.00667E+016,2.38289E+018
104836,1.3426E+016,6.13591E+016,9.6732E+015,2.22229E+018
105313,1.3016E+016,5.72237E+016,9.2951E+015,2.07252E+018
106269,1.22333E+016,4.97702E+016,8582660000000001,1.80257E+018
106746,1.18597E+016,4.64159E+016,8247190000000000,1.68108E+018
107224,1.14976E+016,4.32876E+016,7924830000000000,1.56778E+018
107701,1.11465E+016,4.03702E+016,7603830000000000,1.46212E+018
108179,1.07504E+016,3.76494E+016,7295840000000000,1.36358E+018
108657,1.03684E+016,3.51119E+016,7000320000000000,1.27168E+018
109134,1E+016,3.27455E+016,6716770000000000,1.18597E+018
109612,9.64467E+015,3.05386E+016,6444710000000000,1.10604E+018
110090,9.30196E+015,2.84804E+016,6183660000000000,1.0315E+018
110567,8971440000000000,2.65609E+016,5933190000000000,9.75496E+017
111522,8431910000000000,2.37551E+016,5462280000000000,8.7245E+017
112000,8174440000000001,2.24655E+016,5241030000000000,8.25084E+017
112478,7924830000000000,2.12458E+016,5028740000000000,7.8029E+017
112955,7682840000000000,2.00923E+016,4825050000000000,7.27701E+017
113910,7220810000000000,1.74753E+016,4442090000000000,6.32917E+017
114388,7009370000000000,1.62975E+016,4.26216E+015,5.90261E+017
114866,6804120000000000,1.51991E+016,4.08952E+015,5.58215E+017
115343,6604890000000000,1.41747E+016,3923870000000000,5.27909E+017
115821,6411480000000000,1.32194E+016,3764940000000000,4.99248E+017
116776,6041500000000000,1.14976E+016,3466110000000000,4.4651E+017
117254,5864590000000000,1.08734E+016,3325720000000000,4.13201E+017
118687,5364350000000000,9.19679E+015,2.93774E+015,3.27455E+017
119164,5207280000000000,8697490000000000,2848040000000000,3.05386E+017
120119,4906780000000000,7564630000000000,2676760000000000,2.65609E+017
120597,4763100000000000,7054800000000000,2595020000000000,2.47708E+017
121075,4623630000000000,6579330000000000,2515780000000000,2.31013E+017
121552,4488240000000000,6135910000000000,2438960000000000,2.15443E+017
122030,4356820000000000,5722370000000000,2364490000000000,2.00923E+017
122507,4229240000000000,5336700000000000,2287220000000000,1.87382E+017
122985,4.1054E+015,4977020000000000,2212470000000000,1.74753E+017
123463,3985190000000000,4668050000000000,2140170000000000,1.62975E+017
123940,3868500000000000,4378260000000000,2070220000000000,1.51991E+017
124418,3755220000000000,4106460000000000,2002570000000000,1.41747E+017
125373,3538520000000000,3.61244E+015,1873820000000000,1.23285E+017
125851,3406010000000000,3388180000000000,1812580000000000,1.14976E+017
126328,3278460000000000,3177840000000000,1.75334E+015,1.07227E+017
127284,3037510000000000,2.79553E+015,1.64062E+015,9.32603E+016
127761,2923760000000000,2.62199E+015,1587000000000000,8.69749E+016
128239,2814270000000000,2459220000000000,1.53514E+015,8.11131E+016
128716,2708880000000000,2306550000000000,1.48497E+015,7.67094E+016
129194,2607430000000000,2163360000000000,1431770000000000,7.25448E+016
129672,2509790000000000,2.02906E+015,1380470000000000,6.86062E+016
130149,2415800000000000,1903100000000000,1331020000000000,6.48815E+016
130627,2325330000000000,1803840000000000,1283330000000000,6.13591E+016
131582,2154430000000000,1620590000000000,1193020000000000,5.3367E+016
132537,2024870000000000,1455950000000000,1109070000000000,4.64159E+016
133015,1963040000000000,1380010000000000,1069340000000000,4.38959E+016
133493,1903100000000000,1308040000000000,1.03103E+015,4.15128E+016
133970,1.84499E+015,1239820000000000,994089000000000,3.9259E+016
134925,1.73403E+015,1113860000000000,924136000000000,3.51119E+016
135403,1672420000000000,1.05577E+015,891027000000000,3.27455E+016
135881,1612990000000000,1014500000000000,859105000000000,3.05386E+016
136358,1.55568E+015,974848000000000,828327000000000,2.84804E+016
136836,1500400000000000,936744000000000,798651000000000,2.65609E+016
137791,1395660000000000,864946000000000,742450000000000,2.37551E+016
138269,1347070000000000,831138000000000,715851000000000,2.24655E+016
138746,1300160000000000,798651000000000,690205000000000,2.12458E+016
139224,1254890000000000,774264000000000,665477000000000,2.00923E+016
139701,1211190000000000,750621000000000,641636000000000,1.90015E+016
140179,1169020000000000,727701000000000,618648000000000,1.79699E+016
141134,1089020000000000,683938000000000,575115000000000,1.60717E+016
141612,1.05577E+015,663054000000000,554510000000000,1.51991E+016
142090,1023530000000000,642807000000000,534644000000000,1.42851E+016
142567,992277000000000,626703000000000,515490000000000,1.3426E+016
143045,961978000000000,611001000000000,497022000000000,1.26186E+016
143522,932603000000000,595694000000000,479215000000000,1.18597E+016
144478,876518000000000,566219000000000,445493000000000,1.08061E+016
144955,853526000000000,552033000000000,429533000000000,1.0315E+016
145910,809336000000000,524719000000000,403702000000000,9.39862E+015
146388,788106000000000,511573000000000,391375000000000,8971440000000000
147343,747303000000000,486260000000000,367838000000000,8123900000000001
147821,727701000000000,473505000000000,356606000000000,7730640000000000
148299,708220000000000,461085000000000,345717000000000,7356420000000000
148776,689261000000000,448990000000000,335160000000000,7000320000000000
149254,670810000000000,437213000000000,324926000000000,6716770000000000
149731,652852000000000,425744000000000,315004000000000,6444710000000000
150687,618366000000000,403702000000000,296061000000000,5933190000000000
151164,601813000000000,392895000000000,287020000000000,5692870000000000
151642,585702000000000,382377000000000,278256000000000,5462280000000000
152119,572237000000000,372141000000000,269759000000000,5241030000000000
152597,559081000000000,362178000000000,261522000000000,5028740000000000
154507,509414000000000,324926000000000,231013000000000,4.26216E+015
154985,497702000000000,318689000000000,223959000000000,4.08952E+015
155463,486260000000000,312572000000000,218810000000000,3923870000000000
156418,473039000000000,300687000000000,208865000000000,3.61244E+015
