#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
80803.3,1.83332E+017,8.04789E+017,1.67281E+017,3.49638E+019
80870.4,1.81695E+017,7.96759E+017,1.65899E+017,3.46181E+019
81068.7,1.76946E+017,7.73512E+017,1.61882E+017,3.36174E+019
81111.8,1.75931E+017,7.68552E+017,1.61022E+017,3.34038E+019
81133.4,1.75426E+017,7.66084E+017,1.60594E+017,3.32976E+019
81272.1,1.72205E+017,7.50376E+017,1.57864E+017,3.26211E+019
81295.5,1.71667E+017,7.47754E+017,1.57407E+017,3.25082E+019
81519.8,1.66601E+017,7.23126E+017,1.53103E+017,3.14474E+019
81710.5,1.62411E+017,7.02825E+017,1.49537E+017,3.05727E+019
84999.7,1.0467E+017,4.30062E+017,9.95817E+016,1.87937E+019
88287.6,6.74682E+016,2.63206E+017,6.63252E+016,1.15551E+019
90003.1,5.36519E+016,2.04731E+017,5.36519E+016,8.96507E+018
90032.9,5.34185E+016,2.0384E+017,5.34185E+016,8.92567E+018
90507.4,4.98324E+016,1.90156E+017,4.98324E+016,8.32062E+018
91748.5,4.15507E+016,1.58553E+017,4.15507E+016,6.92503E+018
91778.2,4.14061E+016,1.57864E+017,4.14061E+016,6.89459E+018
92585.3,3.76725E+016,1.43629E+017,3.76725E+016,6.11864E+018
93079.5,3.55548E+016,1.35555E+017,3.55548E+016,5.68733E+018
93298,3.46565E+016,1.3213E+017,3.46565E+016,5.50638E+018
93931.6,3.21789E+016,1.22684E+017,3.21789E+016,5.01378E+018
93961.3,3.20545E+016,1.22257E+017,3.20545E+016,4.99174E+018
94330.7,3.05503E+016,1.1582E+017,3.05503E+016,4.72632E+018
94386.4,3.03295E+016,1.14878E+017,3.03295E+016,4.6875E+018
94624.6,2.94037E+016,1.1094E+017,2.94037E+016,4.5252E+018
94662,2.92611E+016,1.10334E+017,2.92611E+016,4.50025E+018
94920.5,2.82932E+016,1.06236E+017,2.82932E+016,4.33142E+018
95677.5,2.56388E+016,9.5087E+016,2.56388E+016,3.87251E+018
95706.7,2.55515E+016,9.46821E+016,2.55515E+016,3.85585E+018
95956.9,2.48137E+016,9.19483E+016,2.48137E+016,3.71572E+018
96076,2.44701E+016,9.0675E+016,2.44701E+016,3.65083E+018
96131.7,2.43109E+016,9.0085E+016,2.43109E+016,3.62084E+018
96239.4,2.40063E+016,8.89562E+016,2.40063E+016,3.56361E+018
97121.3,2.16513E+016,8.02298E+016,2.16513E+016,3.12776E+018
97534.3,2.06291E+016,7.64421E+016,2.06291E+016,2.94237E+018
97683.8,2.02712E+016,7.51156E+016,2.02712E+016,2.878E+018
97860.6,1.9856E+016,7.35771E+016,1.9856E+016,2.80373E+018
97889.7,1.97883E+016,7.33265E+016,1.97883E+016,2.79166E+018
98259.1,1.89509E+016,6.94656E+016,1.89509E+016,2.64323E+018
98314.8,1.88276E+016,6.89008E+016,1.88276E+016,2.62152E+018
98878,1.76261E+016,6.34459E+016,1.76261E+016,2.41195E+018
99635.1,1.6131E+016,5.67876E+016,1.6131E+016,2.15641E+018
100004,1.54483E+016,5.43843E+016,1.54483E+016,2.04175E+018
100044,1.53774E+016,5.41347E+016,1.53774E+016,2.02992E+018
100060,1.53404E+016,5.40304E+016,1.53404E+016,2.02498E+018
100306,1.4798E+016,5.24976E+016,1.4798E+016,1.95267E+018
101789,1.1909E+016,4.41294E+016,1.1909E+016,1.568E+018
101818,1.18685E+016,4.39791E+016,1.18685E+016,1.56126E+018
102187,1.13662E+016,4.19154E+016,1.13662E+016,1.47824E+018
102243,1.12922E+016,4.16124E+016,1.12922E+016,1.4661E+018
102334,1.11731E+016,4.11247E+016,1.11731E+016,1.44658E+018
102395,1.10938E+016,4.08005E+016,1.10938E+016,1.43632E+018
102911,1.0443E+016,3.81493E+016,1.0443E+016,1.35206E+018
103564,9.6742E+015,3.50408E+016,9.6742E+015,1.25252E+018
103804,9.40673E+015,3.40719E+016,9.40673E+015,1.21789E+018
103933,9.26546E+015,3.35603E+016,9.26546E+015,1.1996E+018
103972,9.22295E+015,3.34063E+016,9.22295E+015,1.1941E+018
103989,9.20518E+015,3.33419E+016,9.20518E+015,1.1918E+018
104517,8652990000000000,3.13419E+016,8652990000000000,1.12031E+018
105678,7553000000000000,2.73576E+016,7553000000000000,9.45104E+017
105734,7503860000000000,2.71796E+016,7503860000000000,9.37419E+017
105747,7492180000000000,2.71373E+016,7492180000000000,9.35594E+017
106014,7261830000000000,2.60978E+016,7261830000000000,8.99755E+017
106155,7142700000000000,2.55633E+016,7142700000000000,8.81331E+017
106262,7063580000000000,2.51657E+016,7063580000000000,8.6762E+017
106791,6685760000000000,2.32918E+016,6685760000000000,8.03018E+017
107479,6223500000000000,2.10574E+016,6223500000000000,7.25983E+017
107493,6214890000000000,2.10164E+016,6214890000000000,7.2457E+017
107861,5981000000000000,2.01285E+016,5981000000000000,6.86483E+017
108008,5890620000000000,1.97865E+016,5890620000000000,6.71927E+017
108339,5691010000000000,1.90337E+016,5691010000000000,6.40102E+017
109607,4906040000000000,1.64083E+016,4726760000000001,5.31646E+017
109662,4874120000000000,1.63015E+016,4688320000000000,5.27323E+017
109676,4866530000000000,1.62762E+016,4679200000000000,5.26297E+017
109753,4822690000000000,1.6093E+016,4626530000000000,5.20374E+017
109937,4719710000000000,1.56643E+016,4503300000000000,5.09262E+017
110084,4639190000000000,1.53307E+016,4407400000000000,5.00573E+017
110522,4407400000000000,1.43787E+016,4187190000000000,4.75563E+017
111352,4064730000000000,1.27332E+016,3799480000000000,4.31528E+017
111408,4.04269E+015,1.26296E+016,3774760000000000,4.2872E+017
111421,4.03745E+015,1.26051E+016,3768880000000000,4.28053E+017
111936,3839650000000000,1.18674E+016,3548320000000000,4.03003E+017
112110,3775200000000000,1.16286E+016,3476940000000000,3.92887E+017
112267,3717560000000000,1.14158E+016,3413310000000000,3.83915E+017
113143,3413310000000000,1.03036E+016,2959930000000000,3.37715E+017
113153,3410330000000000,1.02914E+016,2955050000000000,3.37214E+017
113535,3300070000000000,9.84123E+015,2776890000000000,3.18866E+017
113604,3280530000000000,9.76198E+015,2745850000000000,3.15658E+017
113681,3258790000000000,9.65211E+015,2711520000000000,3.12105E+017
113815,3221530000000000,9.465E+015,2653160000000000,3.06055E+017
114277,3096040000000000,8846000000000000,2461010000000000,2.86039E+017
114884,2938370000000000,8092930000000001,2229270000000000,2.61689E+017
114898,2934850000000000,8076430000000000,2225640000000000,2.61155E+017
115280,2839970000000000,7637000000000000,2.12829E+015,2.46946E+017
115349,2823150000000000,7560160000000000,2.11115E+015,2.44461E+017
115427,2804440000000000,7492050000000000,2092130000000000,2.4171E+017
115608,2760910000000000,7334250000000000,2048070000000000,2.36618E+017
116447,2.5687E+015,6648220000000000,1856490000000000,2.14486E+017
117067,2435230000000000,6182560000000000,1726460000000000,1.99463E+017
117081,2432310000000000,6172480000000000,1.72365E+015,1.99137E+017
117463,2353680000000000,5902490000000000,1648250000000000,1.90427E+017
117532,2339740000000000,5854960000000000,1634980000000000,1.88893E+017
117610,2324230000000000,5789060000000000,1620250000000000,1.87192E+017
118827,2093190000000000,4844010000000000,1405080000000000,1.56633E+017
119078,2048390000000000,4668840000000000,1364300000000000,1.50969E+017
119119,2.04126E+015,4641200000000000,1357840000000000,1.50075E+017
119209,2.02552E+015,4580460000000000,1343620000000000,1.48111E+017
119250,2018250000000000,4552490000000000,1.33706E+015,1.47207E+017
119278,2.01352E+015,4534370000000000,1333270000000000,1.46621E+017
119355,2.00018E+015,4498050000000000,1322590000000000,1.44971E+017
119546,1.96763E+015,4409690000000000,1296610000000000,1.4177E+017
120427,1.82398E+015,4023370000000000,1183020000000000,1.27872E+017
121275,1695700000000000,3683730000000000,1083150000000000,1.15791E+017
121434,1672570000000000,3623050000000000,1065310000000000,1.13646E+017
121461,1668650000000000,3612800000000000,1061920000000000,1.13284E+017
121538,1657680000000000,3585890000000000,1052430000000000,1.12272E+017
