#0.1eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
0.000441,3.64E-18
0.00232,1.92E-17
0.00571,4.71E-17
0.0106,8.74E-17
0.017,1.40E-16
0.0249,2.05E-16
0.0343,2.83E-16
0.0452,3.73E-16
0.0579,4.75E-16
0.0716,5.90E-16
0.0871,7.17E-16
0.104,8.57E-16
0.122,1.01E-15
0.142,1.17E-15
0.163,1.35E-15
0.187,1.54E-15
0.211,1.74E-15
0.237,1.95E-15
0.264,2.18E-15
0.293,2.42E-15
0.324,2.67E-15
0.356,2.93E-15
0.389,3.20E-15
0.424,3.49E-15
0.46,3.78E-15
0.498,4.09E-15
0.537,4.41E-15
0.579,4.74E-15
0.619,5.09E-15
0.665,5.44E-15
0.71,5.80E-15
0.756,6.18E-15
0.808,6.56E-15
0.854,6.96E-15
0.905,7.36E-15
0.957,7.78E-15
1.01,8.20E-15
1.07,8.63E-15
1.13,9.07E-15
1.19,9.52E-15
1.24,9.98E-15
1.31,1.04E-14
1.37,1.09E-14
1.44,1.14E-14
1.5,1.19E-14
1.57,1.23E-14
1.64,1.28E-14
1.71,1.33E-14
1.78,1.38E-14
1.86,1.43E-14
1.93,1.48E-14
2.01,1.53E-14
2.09,1.58E-14
2.17,1.63E-14
2.25,1.68E-14
2.33,1.73E-14
2.41,1.78E-14
2.5,1.82E-14
2.58,1.87E-14
2.67,1.92E-14
2.76,1.96E-14
2.85,2.01E-14
2.95,2.05E-14
3.04,2.10E-14
3.13,2.14E-14
3.23,2.18E-14
3.33,2.22E-14
3.43,2.25E-14
3.53,2.29E-14
3.63,2.32E-14
3.74,2.35E-14
3.84,2.38E-14
3.95,2.41E-14
4.06,2.44E-14
4.17,2.46E-14
4.28,2.48E-14
4.39,2.50E-14
4.51,2.51E-14
4.62,2.52E-14
4.74,2.53E-14
4.86,2.54E-14
4.98,2.54E-14
5.1,2.54E-14
5.23,2.54E-14
5.35,2.53E-14
5.47,2.52E-14
5.6,2.51E-14
5.73,2.50E-14
5.84,2.48E-14
6.02,2.45E-14
6.13,2.43E-14
6.25,2.40E-14
6.42,2.37E-14
6.53,2.33E-14
6.65,2.30E-14
6.82,2.26E-14
6.93,2.21E-14
7.1,2.17E-14
7.22,2.12E-14
7.39,2.07E-14
7.51,2.01E-14
7.68,1.96E-14
7.85,1.90E-14
7.96,1.84E-14
8.14,1.78E-14
8.31,1.71E-14
8.42,1.65E-14
8.59,1.59E-14
8.77,1.52E-14
8.88,1.46E-14
9.05,1.39E-14
9.22,1.32E-14
9.4,1.26E-14
9.57,1.19E-14
9.74,1.13E-14
9.91,1.07E-14
10.1,1.00E-14
10.2,9.45E-15
10.4,8.86E-15
10.5,8.30E-15
10.8,7.76E-15
10.9,7.24E-15
11.1,6.75E-15
11.3,6.28E-15
11.5,5.85E-15
11.6,5.44E-15
11.8,5.07E-15
12,4.73E-15
12.2,4.42E-15
12.4,4.14E-15
12.5,3.90E-15
12.7,3.69E-15
12.9,3.52E-15
13.1,3.38E-15
13.3,3.26E-15
13.5,3.18E-15
13.7,3.13E-15
13.9,3.11E-15
14.1,3.11E-15
14.3,3.14E-15
14.5,3.18E-15
14.7,3.25E-15
14.9,3.34E-15
15.1,3.44E-15
15.3,3.55E-15
15.5,3.67E-15
15.7,3.80E-15
15.9,3.94E-15
16.2,4.08E-15
16.3,4.22E-15
16.6,4.35E-15
16.8,4.49E-15
17,4.62E-15
17.2,4.74E-15
17.4,4.86E-15
17.6,4.96E-15
17.9,5.06E-15
18,5.14E-15
18.3,5.21E-15
18.5,5.28E-15
18.7,5.32E-15
19,5.36E-15
19.2,5.39E-15
19.4,5.40E-15
19.7,5.41E-15
19.9,5.40E-15
20.1,5.39E-15
20.3,5.37E-15
20.6,5.34E-15
20.8,5.31E-15
21,5.27E-15
21.3,5.24E-15
21.5,5.20E-15
21.8,5.17E-15
22,5.14E-15
22.2,5.11E-15
22.5,5.08E-15
22.7,5.07E-15
23,5.05E-15
23.2,5.05E-15
23.5,5.05E-15
23.7,5.06E-15
23.9,5.07E-15
24.2,5.09E-15
24.5,5.12E-15
24.8,5.15E-15
25,5.18E-15
25.2,5.21E-15
25.5,5.25E-15
25.7,5.28E-15
26,5.31E-15
26.2,5.33E-15
26.5,5.34E-15
26.8,5.35E-15
27,5.35E-15
27.3,5.33E-15
27.6,5.30E-15
27.8,5.26E-15
