#0.1eV differential cross sections for O-H elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
0.000440648,7.32E-11
0.00232174,1.39E-11
0.005705932,5.65E-12
0.010593932,3.05E-12
0.016985735,1.90E-12
0.024881265,1.30E-12
0.034280351,9.41E-13
0.045182936,7.14E-13
0.057588561,5.60E-13
0.071497684,4.52E-13
0.086909103,3.72E-13
0.10382339,3.11E-13
0.122239973,2.64E-13
0.14215885,2.28E-13
0.163578878,1.98E-13
0.186500627,1.74E-13
0.210922953,1.54E-13
0.236845856,1.37E-13
0.264268762,1.23E-13
0.293191098,1.11E-13
0.323612865,1.01E-13
0.355532917,9.22E-14
0.388951253,8.45E-14
0.423867301,7.79E-14
0.460279915,7.20E-14
0.498189095,6.68E-14
0.537594267,6.22E-14
0.578492567,5.82E-14
0.620885715,5.45E-14
0.664774282,5.13E-14
0.710158269,4.84E-14
0.757031946,4.58E-14
0.805395313,4.35E-14
0.855248371,4.14E-14
0.906591119,3.95E-14
0.959429287,3.78E-14
1.013751416,3.62E-14
1.069557505,3.48E-14
1.126853284,3.36E-14
1.185633025,3.25E-14
1.245896726,3.15E-14
1.307644387,3.06E-14
1.37087028,2.98E-14
1.435585863,2.92E-14
1.501773947,2.86E-14
1.569445992,2.81E-14
1.638590539,2.77E-14
1.709213317,2.73E-14
1.781314326,2.71E-14
1.854887836,2.69E-14
1.929933848,2.69E-14
2.006452362,2.69E-14
2.084443377,2.70E-14
2.163901164,2.71E-14
2.244825723,2.74E-14
2.327217054,2.78E-14
2.411075157,2.83E-14
2.496400032,2.89E-14
2.583180219,2.96E-14
2.671427179,3.04E-14
2.761129451,3.15E-14
2.852292766,3.26E-14
2.944911394,3.40E-14
3.038979605,3.56E-14
3.134508858,3.74E-14
3.231487694,3.96E-14
3.329916114,4.20E-14
3.429788387,4.48E-14
3.531115973,4.80E-14
3.633881683,5.18E-14
3.738091247,5.61E-14
3.843744664,6.11E-14
3.950836206,6.68E-14
4.059365871,7.34E-14
4.169333661,8.10E-14
4.280733845,8.98E-14
4.393572153,9.97E-14
4.507831397,1.11E-13
4.623528764,1.24E-13
4.740647067,1.38E-13
4.859192035,1.52E-13
4.979157938,1.68E-13
5.100544777,1.84E-13
5.223352551,1.98E-13
5.34757553,2.11E-13
5.473213715,2.22E-13
5.600267107,2.30E-13
5.728724244,2.34E-13
5.858608047,2.36E-13
5.989872678,2.34E-13
6.122569703,2.31E-13
6.256641827,2.26E-13
6.39208905,2.21E-13
6.528968667,2.15E-13
6.667280679,2.10E-13
6.806910493,2.05E-13
6.947972703,2.01E-13
7.090410011,1.98E-13
7.234279713,1.96E-13
