#1.5eV differential cross sections for H-H elastic collisions from Krstic and Shultz 1998,
#angle(deg),sigma(cm^2)
0.000440648,4.30E-17
0.00232174,2.27E-16
0.005705932,5.57E-16
0.010593932,1.03E-15
0.016985735,1.66E-15
0.024881265,2.43E-15
0.034280351,3.34E-15
0.045182936,4.41E-15
0.057588561,5.61E-15
0.071497684,6.97E-15
0.086909103,8.46E-15
0.10382339,1.01E-14
0.122239973,1.19E-14
0.14215885,1.38E-14
0.163578878,1.59E-14
0.186500627,1.80E-14
0.210922953,2.04E-14
0.236845856,2.28E-14
0.264268762,2.54E-14
0.293191098,2.80E-14
0.323612865,3.08E-14
0.355532917,3.37E-14
0.388951253,3.66E-14
0.423867301,3.96E-14
0.460279915,4.27E-14
0.498189095,4.58E-14
0.537594267,4.90E-14
0.578492567,5.22E-14
0.620885715,5.53E-14
0.664774282,5.84E-14
0.710158269,6.15E-14
0.757031946,6.45E-14
0.805395313,6.74E-14
0.855248371,7.02E-14
0.906591119,7.28E-14
0.959429287,7.52E-14
1.013751416,7.75E-14
1.069557505,7.95E-14
1.126853284,8.12E-14
1.185633025,8.27E-14
1.245896726,8.38E-14
1.307644387,8.47E-14
1.37087028,8.51E-14
1.435585863,8.53E-14
1.501773947,8.50E-14
1.569445992,8.43E-14
1.638590539,8.33E-14
1.709213317,8.18E-14
1.781314326,8.00E-14
1.854887836,7.78E-14
1.929933848,7.52E-14
2.006452362,7.23E-14
2.084443377,6.90E-14
2.163901164,6.55E-14
2.244825723,6.18E-14
2.327217054,5.78E-14
2.411075157,5.37E-14
2.496400032,4.96E-14
2.583180219,4.53E-14
2.671427179,4.11E-14
2.761129451,3.70E-14
2.852292766,3.30E-14
2.944911394,2.91E-14
3.038979605,2.55E-14
3.134508858,2.22E-14
3.231487694,1.91E-14
3.329916114,1.64E-14
3.429788387,1.41E-14
3.531115973,1.21E-14
3.633881683,1.04E-14
3.738091247,9.19E-15
3.843744664,8.28E-15
3.950836206,7.70E-15
4.059365871,7.41E-15
4.169333661,7.39E-15
4.280733845,7.59E-15
4.393572153,7.97E-15
4.507831397,8.49E-15
4.623528764,9.10E-15
4.740647067,9.75E-15
4.859192035,1.04E-14
4.979157938,1.10E-14
5.100544777,1.16E-14
5.223352551,1.20E-14
5.34757553,1.24E-14
5.473213715,1.26E-14
5.600267107,1.26E-14
5.728724244,1.25E-14
5.858608047,1.23E-14
5.989872678,1.20E-14
6.122569703,1.16E-14
6.256641827,1.11E-14
6.39208905,1.05E-14
6.528968667,9.89E-15
6.667280679,9.28E-15
6.806910493,8.68E-15
6.947972703,8.11E-15
7.090410011,7.59E-15
7.234279713,7.13E-15
7.379467218,6.74E-15
7.526087118,6.44E-15
7.674024821,6.22E-15
7.823394918,6.10E-15
7.974082818,6.06E-15
8.126203113,6.11E-15
8.27964121,6.23E-15
8.434454406,6.42E-15
8.590642701,6.66E-15
8.748206095,6.94E-15
8.907144587,7.23E-15
9.067400883,7.52E-15
9.228974981,7.79E-15
9.391981474,8.02E-15
9.556248473,8.21E-15
9.721947868,8.33E-15
9.888907769,8.38E-15
10.05724277,8.35E-15
10.22695287,8.23E-15
10.39792347,8.04E-15
10.57026918,7.76E-15
10.74393269,7.42E-15
10.918914,7.02E-15
11.09521311,6.58E-15
11.27283003,6.11E-15
11.45176475,5.65E-15
11.63207457,5.21E-15
11.81358759,4.81E-15
11.99647572,4.46E-15
12.18068165,4.17E-15
12.36614809,3.95E-15
12.55293233,3.80E-15
12.74097708,3.72E-15
12.93033963,3.68E-15
13.12096269,3.69E-15
13.31290355,3.73E-15
13.50610492,3.78E-15
13.70062409,3.84E-15
13.89640377,3.88E-15
14.09338666,3.89E-15
14.29174465,3.88E-15
14.49130585,3.84E-15
14.69212756,3.78E-15
14.89420977,3.70E-15
15.09755249,3.62E-15
15.30215572,3.56E-15
15.50801946,3.52E-15
15.7150864,3.52E-15
15.92341386,3.56E-15
16.13300182,3.64E-15
16.34379299,3.77E-15
16.55584467,3.92E-15
16.76909956,4.08E-15
16.98361496,4.25E-15
17.19927628,4.40E-15
17.4161981,4.51E-15
17.63438043,4.58E-15
17.85370867,4.58E-15
18.07424013,4.52E-15
18.29603209,4.40E-15
18.51896997,4.24E-15
18.74311106,4.04E-15
18.96845536,3.85E-15
19.19500287,3.67E-15
19.4226963,3.53E-15
19.65159294,3.44E-15
19.88163549,3.42E-15
20.11288126,3.45E-15
20.34527294,3.55E-15
20.57881054,3.67E-15
20.81355134,3.82E-15
21.04943807,3.95E-15
21.28647071,4.04E-15
21.52464926,4.07E-15
21.76397374,4.03E-15
22.00444412,3.89E-15
22.24606042,3.68E-15
22.48882264,3.39E-15
22.73267348,3.07E-15
22.97767023,2.73E-15
23.22375561,2.42E-15
23.47098689,2.15E-15
23.7193068,1.96E-15
23.96877263,1.85E-15
24.21932707,1.84E-15
24.47097013,1.92E-15
24.72370182,2.06E-15
24.97752212,2.25E-15
25.23248834,2.46E-15
25.48848588,2.65E-15
25.74551475,2.80E-15
26.00368953,2.90E-15
26.26289564,2.93E-15
26.52319036,2.91E-15
26.78457371,2.84E-15
27.04698838,2.74E-15
27.31043438,2.63E-15
27.57491169,2.53E-15
27.84047763,2.46E-15
28.10707489,2.41E-15
28.37470348,2.40E-15
28.64336339,2.42E-15
28.91299733,2.45E-15
29.18371989,2.48E-15
29.45541647,2.49E-15
29.72814438,2.48E-15
30.00190362,2.43E-15
30.27663688,2.36E-15
30.55234417,2.26E-15
30.82908279,2.17E-15
31.10679543,2.09E-15
31.3854821,2.04E-15
31.6652001,2.03E-15
31.94583483,2.06E-15
32.22744358,2.14E-15
32.51002637,2.26E-15
32.79358318,2.39E-15
33.07811402,2.51E-15
33.36356159,2.61E-15
33.6499832,2.66E-15
33.93732153,2.67E-15
34.2255766,2.62E-15
34.51480569,2.54E-15
34.80495152,2.42E-15
35.09601408,2.30E-15
35.38799337,2.19E-15
35.6808894,2.11E-15
35.97470215,2.06E-15
36.26937435,2.04E-15
36.56502057,2.06E-15
36.86152623,2.09E-15
37.15889132,2.12E-15
37.45717315,2.13E-15
37.75631442,2.12E-15
38.05631512,2.06E-15
38.35723255,1.98E-15
38.65895213,1.86E-15
38.96158844,1.73E-15
39.26502688,1.59E-15
39.56932477,1.46E-15
39.87448209,1.35E-15
40.18049885,1.27E-15
40.48731775,1.23E-15
40.79493879,1.20E-15
41.10341926,1.20E-15
41.41270188,1.21E-15
41.72278664,1.23E-15
42.03373084,1.26E-15
42.34541988,1.30E-15
42.65791106,1.34E-15
42.97120438,1.40E-15
43.28529984,1.47E-15
43.60014015,1.56E-15
43.9157826,1.67E-15
44.23222719,1.78E-15
44.54935933,1.89E-15
44.86729361,1.99E-15
45.18603003,2.06E-15
45.505454,2.10E-15
