#3.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
0.000440648,8.95E-17
0.00232174,4.72E-16
0.005705932,1.16E-15
0.010593932,2.15E-15
0.016985735,3.45E-15
0.024881265,5.05E-15
0.034280351,6.96E-15
0.045182936,9.17E-15
0.057588561,1.17E-14
0.071497684,1.45E-14
0.086909103,1.76E-14
0.10382339,2.10E-14
0.122239973,2.46E-14
0.14215885,2.86E-14
0.163578878,3.27E-14
0.186500627,3.72E-14
0.210922953,4.18E-14
0.236845856,4.67E-14
0.264268762,5.17E-14
0.293191098,5.68E-14
0.323612865,6.21E-14
0.355532917,6.74E-14
0.388951253,7.27E-14
0.423867301,7.80E-14
0.460279915,8.32E-14
0.498189095,8.83E-14
0.537594267,9.32E-14
0.578492567,9.78E-14
0.620885715,1.02E-13
0.664774282,1.06E-13
0.710158269,1.09E-13
0.757031946,1.12E-13
0.805395313,1.14E-13
0.855248371,1.16E-13
0.906591119,1.16E-13
0.959429287,1.17E-13
1.013751416,1.16E-13
1.069557505,1.14E-13
1.126853284,1.12E-13
1.185633025,1.09E-13
1.245896726,1.05E-13
1.307644387,9.99E-14
1.37087028,9.46E-14
1.435585863,8.87E-14
1.501773947,8.23E-14
1.569445992,7.56E-14
1.638590539,6.87E-14
1.709213317,6.17E-14
1.781314326,5.48E-14
1.854887836,4.81E-14
1.929933848,4.17E-14
2.006452362,3.58E-14
2.084443377,3.04E-14
2.163901164,2.57E-14
2.244825723,2.17E-14
2.327217054,1.85E-14
2.411075157,1.60E-14
2.496400032,1.42E-14
2.583180219,1.31E-14
2.671427179,1.25E-14
2.761129451,1.25E-14
2.852292766,1.29E-14
2.944911394,1.36E-14
3.038979605,1.44E-14
3.134508858,1.53E-14
3.231487694,1.62E-14
3.329916114,1.70E-14
3.429788387,1.75E-14
3.531115973,1.79E-14
3.633881683,1.80E-14
3.738091247,1.78E-14
3.843744664,1.74E-14
3.950836206,1.68E-14
4.059365871,1.60E-14
4.169333661,1.51E-14
4.280733845,1.42E-14
4.393572153,1.33E-14
4.507831397,1.24E-14
4.623528764,1.16E-14
4.740647067,1.09E-14
4.859192035,1.03E-14
4.979157938,9.87E-15
5.100544777,9.55E-15
5.223352551,9.32E-15
5.34757553,9.18E-15
5.473213715,9.11E-15
5.600267107,9.08E-15
5.728724244,9.08E-15
5.858608047,9.08E-15
5.989872678,9.07E-15
6.122569703,9.04E-15
6.256641827,8.98E-15
6.39208905,8.87E-15
6.528968667,8.72E-15
6.667280679,8.54E-15
6.806910493,8.31E-15
6.947972703,8.06E-15
7.090410011,7.78E-15
7.234279713,7.48E-15
7.379467218,7.15E-15
7.526087118,6.81E-15
7.674024821,6.46E-15
7.823394918,6.11E-15
7.974082818,5.78E-15
8.126203113,5.47E-15
8.27964121,5.19E-15
8.434454406,4.97E-15
8.590642701,4.79E-15
8.748206095,4.67E-15
8.907144587,4.61E-15
9.067400883,4.61E-15
9.228974981,4.66E-15
9.391981474,4.77E-15
9.556248473,4.92E-15
9.721947868,5.09E-15
9.888907769,5.28E-15
10.05724277,5.46E-15
10.22695287,5.62E-15
10.39792347,5.74E-15
10.57026918,5.83E-15
10.74393269,5.87E-15
10.918914,5.85E-15
11.09521311,5.79E-15
11.27283003,5.67E-15
11.45176475,5.50E-15
11.63207457,5.30E-15
11.81358759,5.08E-15
11.99647572,4.86E-15
12.18068165,4.64E-15
12.36614809,4.45E-15
12.55293233,4.27E-15
12.74097708,4.12E-15
12.93033963,3.99E-15
13.12096269,3.89E-15
13.31290355,3.82E-15
13.50610492,3.76E-15
13.70062409,3.72E-15
13.89640377,3.66E-15
14.09338666,3.59E-15
14.29174465,3.51E-15
14.49130585,3.40E-15
14.69212756,3.27E-15
14.89420977,3.13E-15
15.09755249,2.98E-15
15.30215572,2.82E-15
15.50801946,2.67E-15
15.7150864,2.53E-15
15.92341386,2.44E-15
16.13300182,2.39E-15
16.34379299,2.39E-15
16.55584467,2.44E-15
16.76909956,2.54E-15
16.98361496,2.68E-15
17.19927628,2.86E-15
17.4161981,3.05E-15
17.63438043,3.24E-15
17.85370867,3.41E-15
18.07424013,3.54E-15
18.29603209,3.61E-15
18.51896997,3.63E-15
18.74311106,3.59E-15
18.96845536,3.50E-15
19.19500287,3.36E-15
19.4226963,3.18E-15
19.65159294,3.00E-15
19.88163549,2.82E-15
20.11288126,2.65E-15
20.34527294,2.52E-15
20.57881054,2.42E-15
20.81355134,2.36E-15
21.04943807,2.33E-15
21.28647071,2.34E-15
21.52464926,2.36E-15
21.76397374,2.39E-15
22.00444412,2.41E-15
22.24606042,2.41E-15
22.48882264,2.38E-15
22.73267348,2.33E-15
22.97767023,2.24E-15
23.22375561,2.14E-15
23.47098689,2.02E-15
23.7193068,1.90E-15
23.96877263,1.81E-15
24.21932707,1.74E-15
24.47097013,1.70E-15
24.72370182,1.71E-15
24.97752212,1.75E-15
25.23248834,1.83E-15
25.48848588,1.93E-15
25.74551475,2.04E-15
26.00368953,2.14E-15
26.26289564,2.21E-15
26.52319036,2.25E-15
26.78457371,2.25E-15
27.04698838,2.20E-15
27.31043438,2.12E-15
27.57491169,2.01E-15
27.84047763,1.89E-15
28.10707489,1.77E-15
28.37470348,1.68E-15
28.64336339,1.62E-15
28.91299733,1.61E-15
29.18371989,1.64E-15
29.45541647,1.71E-15
29.72814438,1.81E-15
30.00190362,1.93E-15
30.27663688,2.05E-15
30.55234417,2.15E-15
30.82908279,2.22E-15
31.10679543,2.25E-15
31.3854821,2.23E-15
31.6652001,2.17E-15
31.94583483,2.07E-15
