#H-H total collision cross sections from Krstic and Shultz. 1998,
#Energy(eV),sigma(cm^2)
1.00E-01,1.71E-14
1.26E-01,1.80E-14
1.58E-01,1.83E-14
2.00E-01,1.63E-14
2.51E-01,1.79E-14
3.16E-01,1.81E-14
3.98E-01,1.56E-14
5.01E-01,1.63E-14
6.31E-01,1.63E-14
7.94E-01,1.54E-14
1.00E+00,1.49E-14
1.26E+00,1.47E-14
1.58E+00,1.41E-14
2.00E+00,1.41E-14
2.51E+00,1.35E-14
3.16E+00,1.34E-14
3.98E+00,1.27E-14
5.01E+00,1.26E-14
6.31E+00,1.19E-14
7.94E+00,1.18E-14
1.00E+01,1.13E-14
1.26E+01,1.08E-14
1.58E+01,1.07E-14
2.00E+01,1.00E-14
2.51E+01,9.79E-15
3.16E+01,9.62E-15
3.98E+01,9.02E-15
5.01E+01,8.53E-15
6.31E+01,8.36E-15
7.94E+01,8.18E-15
1.00E+02,7.78E-15
