#1.2eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
0.000440648,1.33E-17
0.00232174,7.03E-17
0.005705932,1.73E-16
0.010593932,3.21E-16
0.016985735,5.14E-16
0.024881265,7.53E-16
0.034280351,1.04E-15
0.045182936,1.37E-15
0.057588561,1.74E-15
0.071497684,2.16E-15
0.086909103,2.63E-15
0.10382339,3.14E-15
0.122239973,3.70E-15
0.14215885,4.30E-15
0.163578878,4.95E-15
0.186500627,5.64E-15
0.210922953,6.37E-15
0.236845856,7.16E-15
0.264268762,7.98E-15
0.293191098,8.85E-15
0.323612865,9.76E-15
0.355532917,1.07E-14
0.388951253,1.17E-14
0.423867301,1.28E-14
0.460279915,1.38E-14
0.498189095,1.50E-14
0.537594267,1.61E-14
0.578492567,1.73E-14
0.620885715,1.86E-14
0.664774282,1.98E-14
0.710158269,2.12E-14
0.757031946,2.25E-14
0.805395313,2.39E-14
0.855248371,2.53E-14
0.906591119,2.67E-14
0.959429287,2.82E-14
1.013751416,2.97E-14
1.069557505,3.12E-14
1.126853284,3.28E-14
1.185633025,3.44E-14
1.245896726,3.59E-14
1.307644387,3.75E-14
1.37087028,3.91E-14
1.435585863,4.08E-14
1.501773947,4.24E-14
1.569445992,4.40E-14
1.638590539,4.56E-14
1.709213317,4.73E-14
1.781314326,4.89E-14
1.854887836,5.05E-14
1.929933848,5.21E-14
2.006452362,5.36E-14
2.084443377,5.52E-14
2.163901164,5.67E-14
2.244825723,5.81E-14
2.327217054,5.96E-14
2.411075157,6.10E-14
2.496400032,6.23E-14
2.583180219,6.36E-14
2.671427179,6.49E-14
2.761129451,6.60E-14
2.852292766,6.71E-14
2.944911394,6.82E-14
3.038979605,6.91E-14
3.134508858,7.00E-14
3.231487694,7.08E-14
3.329916114,7.15E-14
3.429788387,7.22E-14
3.531115973,7.27E-14
3.633881683,7.31E-14
3.738091247,7.34E-14
3.843744664,7.37E-14
3.950836206,7.38E-14
4.059365871,7.38E-14
4.169333661,7.36E-14
4.280733845,7.34E-14
4.393572153,7.31E-14
4.507831397,7.26E-14
4.623528764,7.20E-14
4.740647067,7.13E-14
4.859192035,7.05E-14
4.979157938,6.96E-14
5.100544777,6.85E-14
5.223352551,6.74E-14
5.34757553,6.61E-14
5.473213715,6.47E-14
5.600267107,6.32E-14
5.728724244,6.16E-14
5.858608047,6.00E-14
5.989872678,5.82E-14
6.122569703,5.63E-14
6.256641827,5.44E-14
6.39208905,5.24E-14
6.528968667,5.03E-14
6.667280679,4.82E-14
6.806910493,4.60E-14
6.947972703,4.38E-14
7.090410011,4.15E-14
7.234279713,3.92E-14
7.379467218,3.70E-14
7.526087118,3.47E-14
7.674024821,3.24E-14
7.823394918,3.01E-14
7.974082818,2.79E-14
8.126203113,2.58E-14
8.27964121,2.36E-14
8.434454406,2.16E-14
8.590642701,1.96E-14
8.748206095,1.77E-14
8.907144587,1.59E-14
9.067400883,1.42E-14
9.228974981,1.27E-14
9.391981474,1.12E-14
9.556248473,9.88E-15
9.721947868,8.69E-15
9.888907769,7.64E-15
10.05724277,6.73E-15
10.22695287,5.96E-15
10.39792347,5.34E-15
10.57026918,4.86E-15
10.74393269,4.51E-15
10.918914,4.30E-15
11.09521311,4.21E-15
11.27283003,4.25E-15
11.45176475,4.39E-15
11.63207457,4.64E-15
11.81358759,4.97E-15
11.99647572,5.38E-15
12.18068165,5.85E-15
12.36614809,6.36E-15
12.55293233,6.92E-15
12.74097708,7.49E-15
12.93033963,8.07E-15
13.12096269,8.64E-15
13.31290355,9.19E-15
13.50610492,9.70E-15
13.70062409,1.02E-14
13.89640377,1.06E-14
14.09338666,1.10E-14
14.29174465,1.12E-14
14.49130585,1.15E-14
14.69212756,1.16E-14
14.89420977,1.17E-14
15.09755249,1.17E-14
15.30215572,1.16E-14
15.50801946,1.15E-14
15.7150864,1.12E-14
15.92341386,1.10E-14
16.13300182,1.07E-14
16.34379299,1.03E-14
16.55584467,9.97E-15
16.76909956,9.59E-15
16.98361496,9.19E-15
17.19927628,8.79E-15
17.4161981,8.40E-15
17.63438043,8.03E-15
17.85370867,7.68E-15
18.07424013,7.36E-15
18.29603209,7.08E-15
18.51896997,6.84E-15
18.74311106,6.63E-15
18.96845536,6.47E-15
19.19500287,6.35E-15
19.4226963,6.27E-15
19.65159294,6.23E-15
19.88163549,6.22E-15
20.11288126,6.25E-15
20.34527294,6.29E-15
20.57881054,6.36E-15
20.81355134,6.45E-15
21.04943807,6.54E-15
21.28647071,6.64E-15
21.52464926,6.74E-15
21.76397374,6.83E-15
22.00444412,6.92E-15
22.24606042,6.99E-15
22.48882264,7.05E-15
22.73267348,7.09E-15
22.97767023,7.11E-15
23.22375561,7.12E-15
23.47098689,7.11E-15
23.7193068,7.08E-15
23.96877263,7.03E-15
24.21932707,6.97E-15
24.47097013,6.90E-15
24.72370182,6.82E-15
24.97752212,6.74E-15
25.23248834,6.65E-15
25.48848588,6.57E-15
25.74551475,6.48E-15
26.00368953,6.41E-15
26.26289564,6.34E-15
26.52319036,6.27E-15
26.78457371,6.22E-15
27.04698838,6.18E-15
27.31043438,6.15E-15
27.57491169,6.13E-15
27.84047763,6.13E-15
28.10707489,6.13E-15
28.37470348,6.13E-15
28.64336339,6.14E-15
28.91299733,6.16E-15
29.18371989,6.17E-15
29.45541647,6.19E-15
29.72814438,6.20E-15
30.00190362,6.20E-15
30.27663688,6.21E-15
30.55234417,6.20E-15
30.82908279,6.19E-15
31.10679543,6.17E-15
31.3854821,6.14E-15
31.6652001,6.11E-15
31.94583483,6.07E-15
32.22744358,6.03E-15
32.51002637,5.98E-15
32.79358318,5.94E-15
33.07811402,5.89E-15
33.36356159,5.85E-15
33.6499832,5.81E-15
33.93732153,5.77E-15
34.2255766,5.74E-15
34.51480569,5.72E-15
34.80495152,5.71E-15
35.09601408,5.70E-15
35.38799337,5.69E-15
35.6808894,5.69E-15
35.97470215,5.70E-15
36.26937435,5.70E-15
36.56502057,5.71E-15
36.86152623,5.72E-15
37.15889132,5.73E-15
37.45717315,5.73E-15
37.75631442,5.73E-15
38.05631512,5.73E-15
38.35723255,5.72E-15
38.65895213,5.71E-15
38.96158844,5.69E-15
39.26502688,5.67E-15
39.56932477,5.65E-15
39.87448209,5.62E-15
40.18049885,5.59E-15
40.48731775,5.56E-15
40.79493879,5.53E-15
41.10341926,5.51E-15
41.41270188,5.48E-15
41.72278664,5.45E-15
42.03373084,5.43E-15
42.34541988,5.41E-15
42.65791106,5.39E-15
42.97120438,5.38E-15
43.28529984,5.36E-15
43.60014015,5.35E-15
43.9157826,5.35E-15
44.23222719,5.34E-15
44.54935933,5.33E-15
44.86729361,5.33E-15
45.18603003,5.33E-15
45.505454,5.32E-15
45.82562282,5.32E-15
46.14653648,5.31E-15
46.46819499,5.30E-15
46.79054104,5.29E-15
47.11368924,5.28E-15
47.43746769,5.27E-15
47.76199099,5.26E-15
48.08725913,5.25E-15
48.41315752,5.23E-15
48.73980076,5.21E-15
49.06713155,5.20E-15
49.39514988,5.18E-15
49.72379848,5.16E-15
50.05313462,5.14E-15
50.38315831,5.13E-15
50.71386955,5.11E-15
51.04521104,5.09E-15
51.37718279,5.08E-15
51.70984208,5.06E-15
52.04313163,5.05E-15
52.37705143,5.04E-15
52.71154419,5.03E-15
53.0467245,5.02E-15
53.38253507,5.00E-15
53.71891859,5.00E-15
54.05587507,4.99E-15
54.3935191,4.98E-15
54.73167879,4.97E-15
55.07046873,4.96E-15
55.40983163,4.94E-15
55.74976749,4.93E-15
56.09033361,4.92E-15
56.43141538,4.91E-15
56.77301282,4.89E-15
57.11524051,4.88E-15
57.45792657,4.86E-15
57.80112829,4.85E-15
58.14490297,4.83E-15
58.4892506,4.81E-15
58.83417119,4.80E-15
59.17966474,4.78E-15
59.52573125,4.76E-15
59.87237072,4.75E-15
60.21901018,4.73E-15
60.56679557,4.72E-15
60.91458095,4.71E-15
61.26293929,4.69E-15
61.61187058,4.68E-15
61.96137484,4.67E-15
62.31087909,4.66E-15
62.66152926,4.64E-15
63.01217944,4.63E-15
63.36340256,4.62E-15
63.71462569,4.61E-15
64.06699474,4.59E-15
64.41936378,4.58E-15
64.77230578,4.56E-15
65.12582074,4.55E-15
65.47990866,4.53E-15
65.83399658,4.52E-15
66.18865745,4.50E-15
66.54331833,4.48E-15
66.89912512,4.47E-15
67.25435895,4.45E-15
67.6107387,4.44E-15
67.96711845,4.43E-15
68.32407115,4.41E-15
68.68159682,4.40E-15
69.03912248,4.38E-15
69.3972211,4.37E-15
69.75531973,4.36E-15
70.11399131,4.34E-15
70.47323584,4.33E-15
70.83248038,4.32E-15
71.19172492,4.30E-15
71.55211537,4.29E-15
71.91193287,4.27E-15
72.27289628,4.26E-15
72.63385969,4.24E-15
72.9948231,4.23E-15
73.35635947,4.21E-15
73.71789584,4.20E-15
74.08000516,4.18E-15
74.44211449,4.16E-15
74.80479677,4.15E-15
75.16747906,4.13E-15
75.53016134,4.12E-15
75.89341659,4.10E-15
76.25724479,4.09E-15
76.62107299,4.07E-15
76.98490118,4.06E-15
77.34872938,4.04E-15
77.71313054,4.03E-15
78.07810466,4.02E-15
78.44250582,4.00E-15
78.80747993,3.98E-15
79.173027,3.97E-15
79.53800112,3.95E-15
79.90354819,3.94E-15
80.26909527,3.92E-15
80.6352153,3.91E-15
81.00133533,3.89E-15
81.36745536,3.87E-15
81.73357539,3.86E-15
82.10026838,3.84E-15
82.46638841,3.83E-15
82.8330814,3.81E-15
83.19977439,3.79E-15
83.56704034,3.78E-15
83.93373332,3.76E-15
84.30099927,3.75E-15
84.66826522,3.73E-15
85.03553116,3.72E-15
85.40279711,3.70E-15
85.77063602,3.69E-15
86.13790196,3.67E-15
86.50574087,3.66E-15
86.87357977,3.64E-15
87.24084572,3.63E-15
87.60868462,3.61E-15
87.97652353,3.60E-15
88.34436243,3.58E-15
88.71220134,3.56E-15
89.08004024,3.55E-15
89.44787914,3.53E-15
89.81629101,3.52E-15
90.18412991,3.50E-15
90.55196882,3.48E-15
90.91980772,3.47E-15
91.28764662,3.45E-15
91.65548553,3.44E-15
92.02332443,3.42E-15
92.39116334,3.41E-15
92.75900224,3.39E-15
93.12684115,3.38E-15
93.49410709,3.36E-15
93.861946,3.35E-15
94.22921195,3.33E-15
94.59705085,3.32E-15
94.9643168,3.30E-15
95.33158274,3.28E-15
95.69884869,3.27E-15
96.06611464,3.25E-15
96.43280763,3.24E-15
96.80007357,3.22E-15
97.16676656,3.21E-15
97.53345955,3.19E-15
97.90015254,3.18E-15
98.26627257,3.16E-15
98.63296556,3.14E-15
98.99908559,3.13E-15
99.36463266,3.11E-15
99.73075269,3.10E-15
100.0962998,3.08E-15
100.4618468,3.07E-15
100.8273939,3.05E-15
101.192368,3.03E-15
101.5573421,3.02E-15
101.9223163,3.00E-15
102.2867174,2.99E-15
102.6511186,2.97E-15
103.0149468,2.96E-15
103.3793479,2.94E-15
103.7426032,2.93E-15
104.1064314,2.91E-15
104.4696866,2.90E-15
104.8323689,2.88E-15
105.1956241,2.87E-15
105.5577335,2.85E-15
105.9198428,2.84E-15
106.2819521,2.82E-15
106.6440614,2.81E-15
107.0050249,2.79E-15
107.3665612,2.77E-15
107.7275246,2.76E-15
108.0879151,2.74E-15
