#0.19eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
0.000440648,8.99E-11
0.00232174,1.71E-11
0.005705932,6.94E-12
0.010593932,3.74E-12
0.016985735,2.33E-12
0.024881265,1.59E-12
0.034280351,1.16E-12
0.045182936,8.76E-13
0.057588561,6.88E-13
0.071497684,5.54E-13
0.086909103,4.56E-13
0.10382339,3.82E-13
0.122239973,3.24E-13
0.14215885,2.79E-13
0.163578878,2.42E-13
0.186500627,2.13E-13
0.210922953,1.88E-13
0.236845856,1.68E-13
0.264268762,1.50E-13
0.293191098,1.36E-13
0.323612865,1.23E-13
0.355532917,1.12E-13
0.388951253,1.03E-13
0.423867301,9.42E-14
0.460279915,8.69E-14
0.498189095,8.04E-14
0.537594267,7.47E-14
0.578492567,6.95E-14
0.620885715,6.49E-14
0.664774282,6.08E-14
0.710158269,5.71E-14
0.757031946,5.37E-14
0.805395313,5.07E-14
0.855248371,4.79E-14
0.906591119,4.54E-14
0.959429287,4.31E-14
1.013751416,4.10E-14
1.069557505,3.91E-14
1.126853284,3.73E-14
1.185633025,3.57E-14
1.245896726,3.42E-14
1.307644387,3.28E-14
1.37087028,3.15E-14
1.435585863,3.04E-14
1.501773947,2.93E-14
1.569445992,2.83E-14
1.638590539,2.74E-14
1.709213317,2.66E-14
1.781314326,2.58E-14
1.854887836,2.51E-14
1.929933848,2.44E-14
2.006452362,2.38E-14
2.084443377,2.33E-14
2.163901164,2.28E-14
2.244825723,2.24E-14
2.327217054,2.19E-14
2.411075157,2.16E-14
2.496400032,2.13E-14
2.583180219,2.10E-14
2.671427179,2.08E-14
2.761129451,2.05E-14
2.852292766,2.04E-14
2.944911394,2.03E-14
3.038979605,2.02E-14
3.134508858,2.01E-14
3.231487694,2.01E-14
3.329916114,2.01E-14
3.429788387,2.02E-14
3.531115973,2.03E-14
3.633881683,2.05E-14
3.738091247,2.07E-14
3.843744664,2.09E-14
3.950836206,2.12E-14
4.059365871,2.16E-14
4.169333661,2.20E-14
4.280733845,2.25E-14
4.393572153,2.30E-14
4.507831397,2.37E-14
4.623528764,2.44E-14
4.740647067,2.52E-14
4.859192035,2.61E-14
4.979157938,2.72E-14
5.100544777,2.83E-14
5.223352551,2.97E-14
5.34757553,3.12E-14
5.473213715,3.29E-14
5.600267107,3.49E-14
5.728724244,3.71E-14
5.858608047,3.96E-14
5.989872678,4.26E-14
6.122569703,4.59E-14
6.256641827,4.98E-14
6.39208905,5.44E-14
6.528968667,5.97E-14
6.667280679,6.59E-14
6.806910493,7.32E-14
6.947972703,8.18E-14
7.090410011,9.20E-14
7.234279713,1.04E-13
7.379467218,1.19E-13
7.526087118,1.36E-13
7.674024821,1.56E-13
7.823394918,1.79E-13
7.974082818,2.06E-13
8.126203113,2.35E-13
8.27964121,2.65E-13
8.434454406,2.94E-13
8.590642701,3.18E-13
8.748206095,3.33E-13
8.907144587,3.39E-13
9.067400883,3.33E-13
9.228974981,3.19E-13
9.391981474,3.00E-13
9.556248473,2.77E-13
9.721947868,2.55E-13
9.888907769,2.34E-13
10.05724277,2.14E-13
10.22695287,1.98E-13
10.39792347,1.84E-13
10.57026918,1.72E-13
10.74393269,1.62E-13
10.918914,1.53E-13
11.09521311,1.47E-13
11.27283003,1.42E-13
11.45176475,1.38E-13
11.63207457,1.36E-13
11.81358759,1.35E-13
11.99647572,1.35E-13
12.18068165,1.35E-13
12.36614809,1.37E-13
12.55293233,1.40E-13
12.74097708,1.44E-13
12.93033963,1.48E-13
13.12096269,1.54E-13
13.31290355,1.61E-13
13.50610492,1.68E-13
13.70062409,1.77E-13
13.89640377,1.86E-13
14.09338666,1.95E-13
14.29174465,2.05E-13
14.49130585,2.15E-13
14.69212756,2.24E-13
14.89420977,2.32E-13
15.09755249,2.39E-13
15.30215572,2.45E-13
15.50801946,2.49E-13
15.7150864,2.51E-13
15.92341386,2.52E-13
16.13300182,2.51E-13
16.34379299,2.49E-13
16.55584467,2.46E-13
16.76909956,2.43E-13
16.98361496,2.39E-13
17.19927628,2.36E-13
17.4161981,2.32E-13
17.63438043,2.30E-13
17.85370867,2.28E-13
18.07424013,2.26E-13
18.29603209,2.26E-13
18.51896997,2.26E-13
18.74311106,2.26E-13
18.96845536,2.28E-13
19.19500287,2.30E-13
19.4226963,2.33E-13
19.65159294,2.36E-13
19.88163549,2.39E-13
20.11288126,2.43E-13
20.34527294,2.47E-13
20.57881054,2.51E-13
20.81355134,2.55E-13
21.04943807,2.58E-13
21.28647071,2.61E-13
21.52464926,2.63E-13
21.76397374,2.65E-13
22.00444412,2.66E-13
22.24606042,2.66E-13
22.48882264,2.66E-13
22.73267348,2.66E-13
22.97767023,2.65E-13
23.22375561,2.64E-13
23.47098689,2.63E-13
23.7193068,2.63E-13
23.96877263,2.62E-13
24.21932707,2.62E-13
24.47097013,2.63E-13
24.72370182,2.64E-13
24.97752212,2.65E-13
25.23248834,2.67E-13
25.48848588,2.69E-13
25.74551475,2.72E-13
26.00368953,2.74E-13
26.26289564,2.77E-13
26.52319036,2.80E-13
26.78457371,2.83E-13
27.04698838,2.86E-13
27.31043438,2.88E-13
27.57491169,2.89E-13
27.84047763,2.91E-13
28.10707489,2.91E-13
28.37470348,2.92E-13
28.64336339,2.92E-13
28.91299733,2.92E-13
29.18371989,2.91E-13
29.45541647,2.91E-13
29.72814438,2.90E-13
30.00190362,2.90E-13
30.27663688,2.90E-13
30.55234417,2.90E-13
30.82908279,2.91E-13
31.10679543,2.92E-13
31.3854821,2.93E-13
31.6652001,2.94E-13
31.94583483,2.96E-13
32.22744358,2.98E-13
32.51002637,3.00E-13
32.79358318,3.02E-13
33.07811402,3.04E-13
33.36356159,3.05E-13
33.6499832,3.07E-13
33.93732153,3.09E-13
34.2255766,3.10E-13
34.51480569,3.11E-13
34.80495152,3.12E-13
35.09601408,3.13E-13
35.38799337,3.14E-13
35.6808894,3.14E-13
35.97470215,3.14E-13
36.26937435,3.15E-13
36.56502057,3.15E-13
36.86152623,3.16E-13
37.15889132,3.16E-13
37.45717315,3.17E-13
37.75631442,3.17E-13
38.05631512,3.18E-13
38.35723255,3.19E-13
38.65895213,3.20E-13
38.96158844,3.22E-13
39.26502688,3.23E-13
39.56932477,3.24E-13
39.87448209,3.26E-13
40.18049885,3.27E-13
40.48731775,3.29E-13
40.79493879,3.30E-13
41.10341926,3.31E-13
41.41270188,3.32E-13
41.72278664,3.33E-13
42.03373084,3.34E-13
42.34541988,3.35E-13
42.65791106,3.36E-13
42.97120438,3.36E-13
43.28529984,3.37E-13
43.60014015,3.38E-13
43.9157826,3.39E-13
44.23222719,3.40E-13
44.54935933,3.41E-13
44.86729361,3.42E-13
45.18603003,3.43E-13
45.505454,3.44E-13
45.82562282,3.46E-13
46.14653648,3.47E-13
46.46819499,3.49E-13
46.79054104,3.50E-13
47.11368924,3.51E-13
47.43746769,3.52E-13
47.76199099,3.54E-13
48.08725913,3.55E-13
48.41315752,3.56E-13
48.73980076,3.57E-13
49.06713155,3.58E-13
49.39514988,3.59E-13
49.72379848,3.60E-13
50.05313462,3.61E-13
50.38315831,3.62E-13
50.71386955,3.64E-13
51.04521104,3.65E-13
51.37718279,3.66E-13
51.70984208,3.67E-13
52.04313163,3.69E-13
52.37705143,3.70E-13
52.71154419,3.72E-13
53.0467245,3.73E-13
53.38253507,3.74E-13
53.71891859,3.76E-13
54.05587507,3.77E-13
54.3935191,3.78E-13
54.73167879,3.80E-13
55.07046873,3.81E-13
55.40983163,3.82E-13
55.74976749,3.84E-13
56.09033361,3.85E-13
56.43141538,3.86E-13
56.77301282,3.88E-13
57.11524051,3.89E-13
57.45792657,3.91E-13
57.80112829,3.92E-13
58.14490297,3.94E-13
58.4892506,3.95E-13
58.83417119,3.97E-13
59.17966474,3.98E-13
59.52573125,4.00E-13
59.87237072,4.01E-13
60.21901018,4.03E-13
60.56679557,4.04E-13
60.91458095,4.06E-13
