#0.1eV differential cross sections for O-H elastic collisions from Zhang et al. 2009,
#angle(deg),sigma(cm^2)
0.000440648,4.70E-17
0.00232174,2.48E-16
0.005705932,6.09E-16
0.010593932,1.13E-15
0.016985735,1.81E-15
0.024881265,2.65E-15
0.034280351,3.66E-15
0.045182936,4.82E-15
0.057588561,6.14E-15
0.071497684,7.62E-15
0.086909103,9.27E-15
0.10382339,1.11E-14
0.122239973,1.30E-14
0.14215885,1.51E-14
0.163578878,1.74E-14
0.186500627,1.98E-14
0.210922953,2.24E-14
0.236845856,2.51E-14
0.264268762,2.80E-14
0.293191098,3.10E-14
0.323612865,3.41E-14
0.355532917,3.74E-14
0.388951253,4.08E-14
0.423867301,4.43E-14
0.460279915,4.80E-14
0.498189095,5.17E-14
0.537594267,5.56E-14
0.578492567,5.95E-14
0.620885715,6.35E-14
0.664774282,6.76E-14
0.710158269,7.17E-14
0.757031946,7.58E-14
0.805395313,8.00E-14
0.855248371,8.42E-14
0.906591119,8.83E-14
0.959429287,9.25E-14
1.013751416,9.66E-14
1.069557505,1.01E-13
1.126853284,1.04E-13
1.185633025,1.08E-13
1.245896726,1.12E-13
1.307644387,1.15E-13
1.37087028,1.19E-13
1.435585863,1.22E-13
1.501773947,1.25E-13
1.569445992,1.27E-13
1.638590539,1.29E-13
1.709213317,1.31E-13
1.781314326,1.33E-13
1.854887836,1.34E-13
1.929933848,1.35E-13
2.006452362,1.36E-13
2.084443377,1.36E-13
2.163901164,1.36E-13
2.244825723,1.35E-13
2.327217054,1.34E-13
2.411075157,1.32E-13
2.496400032,1.30E-13
2.583180219,1.27E-13
2.671427179,1.24E-13
2.761129451,1.21E-13
2.852292766,1.17E-13
2.944911394,1.13E-13
3.038979605,1.08E-13
3.134508858,1.03E-13
3.231487694,9.82E-14
3.329916114,9.27E-14
3.429788387,8.71E-14
3.531115973,8.13E-14
3.633881683,7.54E-14
3.738091247,6.95E-14
3.843744664,6.35E-14
3.950836206,5.77E-14
4.059365871,5.19E-14
4.169333661,4.64E-14
4.280733845,4.11E-14
4.393572153,3.60E-14
4.507831397,3.13E-14
4.623528764,2.70E-14
4.740647067,2.32E-14
4.859192035,1.97E-14
4.979157938,1.68E-14
5.100544777,1.43E-14
5.223352551,1.23E-14
5.34757553,1.08E-14
5.473213715,9.82E-15
5.600267107,9.24E-15
5.728724244,9.05E-15
5.858608047,9.23E-15
5.989872678,9.72E-15
6.122569703,1.05E-14
6.256641827,1.14E-14
6.39208905,1.24E-14
6.528968667,1.36E-14
6.667280679,1.47E-14
6.806910493,1.58E-14
6.947972703,1.68E-14
7.090410011,1.76E-14
7.234279713,1.83E-14
7.379467218,1.88E-14
7.526087118,1.90E-14
7.674024821,1.91E-14
7.823394918,1.89E-14
7.974082818,1.86E-14
8.126203113,1.81E-14
8.27964121,1.74E-14
8.434454406,1.67E-14
8.590642701,1.59E-14
8.748206095,1.51E-14
8.907144587,1.43E-14
9.067400883,1.36E-14
9.228974981,1.29E-14
9.391981474,1.23E-14
9.556248473,1.18E-14
9.721947868,1.15E-14
9.888907769,1.12E-14
10.05724277,1.11E-14
10.22695287,1.10E-14
10.39792347,1.11E-14
10.57026918,1.11E-14
10.74393269,1.13E-14
10.918914,1.14E-14
11.09521311,1.16E-14
11.27283003,1.17E-14
11.45176475,1.17E-14
11.63207457,1.18E-14
11.81358759,1.17E-14
11.99647572,1.17E-14
12.18068165,1.15E-14
12.36614809,1.14E-14
12.55293233,1.12E-14
12.74097708,1.10E-14
12.93033963,1.07E-14
13.12096269,1.05E-14
13.31290355,1.03E-14
13.50610492,1.02E-14
13.70062409,1.01E-14
13.89640377,9.98E-15
14.09338666,9.93E-15
14.29174465,9.91E-15
14.49130585,9.92E-15
14.69212756,9.93E-15
14.89420977,9.95E-15
15.09755249,9.96E-15
15.30215572,9.94E-15
15.50801946,9.90E-15
15.7150864,9.82E-15
15.92341386,9.71E-15
16.13300182,9.56E-15
16.34379299,9.39E-15
16.55584467,9.19E-15
16.76909956,8.99E-15
16.98361496,8.78E-15
17.19927628,8.58E-15
17.4161981,8.40E-15
17.63438043,8.24E-15
17.85370867,8.11E-15
18.07424013,8.02E-15
18.29603209,7.95E-15
18.51896997,7.91E-15
18.74311106,7.89E-15
18.96845536,7.89E-15
19.19500287,7.90E-15
19.4226963,7.92E-15
19.65159294,7.93E-15
19.88163549,7.95E-15
20.11288126,7.95E-15
20.34527294,7.95E-15
20.57881054,7.95E-15
20.81355134,7.94E-15
21.04943807,7.93E-15
21.28647071,7.91E-15
21.52464926,7.90E-15
21.76397374,7.90E-15
22.00444412,7.89E-15
22.24606042,7.89E-15
22.48882264,7.90E-15
22.73267348,7.91E-15
22.97767023,7.92E-15
23.22375561,7.94E-15
23.47098689,7.94E-15
23.7193068,7.95E-15
23.96877263,7.95E-15
24.21932707,7.94E-15
24.47097013,7.92E-15
24.72370182,7.90E-15
24.97752212,7.88E-15
25.23248834,7.86E-15
25.48848588,7.84E-15
25.74551475,7.82E-15
26.00368953,7.81E-15
26.26289564,7.81E-15
26.52319036,7.82E-15
26.78457371,7.83E-15
27.04698838,7.85E-15
27.31043438,7.86E-15
27.57491169,7.87E-15
27.84047763,7.87E-15
28.10707489,7.86E-15
28.37470348,7.83E-15
28.64336339,7.79E-15
28.91299733,7.74E-15
29.18371989,7.67E-15
29.45541647,7.59E-15
29.72814438,7.51E-15
30.00190362,7.41E-15
30.27663688,7.31E-15
30.55234417,7.20E-15
30.82908279,7.09E-15
31.10679543,6.97E-15
31.3854821,6.86E-15
31.6652001,6.75E-15
31.94583483,6.64E-15
32.22744358,6.54E-15
32.51002637,6.45E-15
32.79358318,6.37E-15
33.07811402,6.30E-15
33.36356159,6.24E-15
33.6499832,6.19E-15
33.93732153,6.15E-15
34.2255766,6.12E-15
34.51480569,6.10E-15
34.80495152,6.09E-15
35.09601408,6.08E-15
35.38799337,6.08E-15
35.6808894,6.08E-15
35.97470215,6.09E-15
36.26937435,6.09E-15
36.56502057,6.10E-15
36.86152623,6.10E-15
37.15889132,6.10E-15
37.45717315,6.10E-15
37.75631442,6.10E-15
38.05631512,6.09E-15
38.35723255,6.08E-15
38.65895213,6.08E-15
38.96158844,6.08E-15
39.26502688,6.08E-15
39.56932477,6.08E-15
39.87448209,6.10E-15
40.18049885,6.11E-15
40.48731775,6.13E-15
40.79493879,6.15E-15
41.10341926,6.18E-15
41.41270188,6.21E-15
41.72278664,6.24E-15
42.03373084,6.26E-15
42.34541988,6.29E-15
42.65791106,6.31E-15
42.97120438,6.32E-15
43.28529984,6.33E-15
43.60014015,6.32E-15
43.9157826,6.31E-15
44.23222719,6.29E-15
44.54935933,6.25E-15
44.86729361,6.21E-15
45.18603003,6.15E-15
45.505454,6.09E-15
45.82562282,6.02E-15
46.14653648,5.94E-15
46.46819499,5.86E-15
46.79054104,5.78E-15
47.11368924,5.70E-15
47.43746769,5.62E-15
47.76199099,5.54E-15
48.08725913,5.47E-15
48.41315752,5.41E-15
48.73980076,5.35E-15
49.06713155,5.30E-15
49.39514988,5.26E-15
49.72379848,5.23E-15
50.05313462,5.21E-15
50.38315831,5.18E-15
50.71386955,5.17E-15
51.04521104,5.15E-15
51.37718279,5.14E-15
51.70984208,5.13E-15
52.04313163,5.11E-15
52.37705143,5.09E-15
52.71154419,5.07E-15
53.0467245,5.05E-15
53.38253507,5.02E-15
53.71891859,4.98E-15
54.05587507,4.94E-15
54.3935191,4.90E-15
54.73167879,4.85E-15
55.07046873,4.80E-15
55.40983163,4.75E-15
55.74976749,4.70E-15
56.09033361,4.65E-15
56.43141538,4.61E-15
56.77301282,4.56E-15
57.11524051,4.52E-15
57.45792657,4.49E-15
57.80112829,4.45E-15
58.14490297,4.42E-15
58.4892506,4.39E-15
58.83417119,4.37E-15
59.17966474,4.34E-15
59.52573125,4.32E-15
59.87237072,4.29E-15
60.21901018,4.25E-15
60.56679557,4.22E-15
60.91458095,4.18E-15
61.26293929,4.13E-15
61.61187058,4.08E-15
61.96137484,4.02E-15
62.31087909,3.96E-15
62.66152926,3.89E-15
63.01217944,3.82E-15
63.36340256,3.75E-15
63.71462569,3.67E-15
64.06699474,3.60E-15
64.41936378,3.52E-15
64.77230578,3.45E-15
65.12582074,3.39E-15
65.47990866,3.32E-15
65.83399658,3.26E-15
66.18865745,3.21E-15
66.54331833,3.16E-15
66.89912512,3.12E-15
67.25435895,3.08E-15
67.6107387,3.04E-15
67.96711845,3.01E-15
68.32407115,2.98E-15
68.68159682,2.95E-15
69.03912248,2.92E-15
69.3972211,2.89E-15
69.75531973,2.86E-15
70.11399131,2.83E-15
70.47323584,2.79E-15
70.83248038,2.75E-15
71.19172492,2.71E-15
71.55211537,2.66E-15
71.91193287,2.61E-15
72.27289628,2.55E-15
72.63385969,2.49E-15
72.9948231,2.43E-15
73.35635947,2.37E-15
73.71789584,2.31E-15
74.08000516,2.25E-15
74.44211449,2.19E-15
74.80479677,2.14E-15
75.16747906,2.09E-15
75.53016134,2.04E-15
75.89341659,2.01E-15
76.25724479,1.97E-15
76.62107299,1.94E-15
76.98490118,1.92E-15
77.34872938,1.90E-15
77.71313054,1.88E-15
78.07810466,1.87E-15
78.44250582,1.87E-15
78.80747993,1.86E-15
79.173027,1.86E-15
79.53800112,1.85E-15
79.90354819,1.85E-15
80.26909527,1.84E-15
80.6352153,1.84E-15
81.00133533,1.83E-15
81.36745536,1.82E-15
81.73357539,1.81E-15
82.10026838,1.80E-15
82.46638841,1.78E-15
82.8330814,1.77E-15
83.19977439,1.75E-15
83.56704034,1.73E-15
83.93373332,1.71E-15
84.30099927,1.69E-15
84.66826522,1.67E-15
85.03553116,1.65E-15
85.40279711,1.63E-15
85.77063602,1.61E-15
86.13790196,1.60E-15
86.50574087,1.59E-15
86.87357977,1.58E-15
87.24084572,1.58E-15
87.60868462,1.58E-15
87.97652353,1.58E-15
88.34436243,1.58E-15
88.71220134,1.58E-15
89.08004024,1.58E-15
89.44787914,1.59E-15
89.81629101,1.59E-15
90.18412991,1.60E-15
90.55196882,1.60E-15
90.91980772,1.61E-15
91.28764662,1.61E-15
91.65548553,1.61E-15
92.02332443,1.61E-15
92.39116334,1.60E-15
92.75900224,1.60E-15
93.12684115,1.59E-15
93.49410709,1.58E-15
93.861946,1.56E-15
94.22921195,1.55E-15
94.59705085,1.53E-15
94.9643168,1.52E-15
95.33158274,1.50E-15
95.69884869,1.48E-15
96.06611464,1.46E-15
96.43280763,1.44E-15
96.80007357,1.43E-15
97.16676656,1.41E-15
97.53345955,1.39E-15
97.90015254,1.38E-15
98.26627257,1.37E-15
98.63296556,1.36E-15
98.99908559,1.35E-15
99.36463266,1.34E-15
99.73075269,1.33E-15
100.0962998,1.33E-15
100.4618468,1.33E-15
100.8273939,1.32E-15
101.192368,1.32E-15
101.5573421,1.32E-15
101.9223163,1.32E-15
102.2867174,1.32E-15
102.6511186,1.32E-15
103.0149468,1.32E-15
103.3793479,1.31E-15
103.7426032,1.31E-15
104.1064314,1.31E-15
104.4696866,1.30E-15
104.8323689,1.30E-15
105.1956241,1.29E-15
105.5577335,1.28E-15
105.9198428,1.27E-15
106.2819521,1.26E-15
106.6440614,1.24E-15
107.0050249,1.23E-15
107.3665612,1.21E-15
107.7275246,1.19E-15
108.0879151,1.18E-15
108.4483055,1.16E-15
108.808123,1.14E-15
109.1673676,1.12E-15
109.5271851,1.10E-15
109.8858567,1.08E-15
110.2445282,1.06E-15
110.6026269,1.04E-15
110.9607255,1.02E-15
111.3182511,1.00E-15
111.6757768,9.83E-16
112.0327295,9.65E-16
112.3891093,9.48E-16
112.745489,9.32E-16
113.1012958,9.16E-16
113.4565296,9.01E-16
113.8117635,8.87E-16
114.1664243,8.74E-16
114.5205123,8.61E-16
114.8740272,8.49E-16
115.2275422,8.37E-16
115.5804842,8.27E-16
115.9328532,8.16E-16
116.2852223,8.06E-16
116.6370184,7.97E-16
116.9882415,7.88E-16
117.3388917,7.78E-16
117.6889689,7.69E-16
118.0390461,7.61E-16
118.3879774,7.52E-16
118.7369087,7.44E-16
119.085267,7.35E-16
119.4336254,7.27E-16
119.7808378,7.19E-16
120.1280502,7.12E-16
120.4741167,7.04E-16
120.8201832,6.96E-16
121.1656768,6.88E-16
121.5105974,6.80E-16
121.854945,6.72E-16
122.1987197,6.64E-16
122.5419214,6.56E-16
122.8845502,6.48E-16
123.2271789,6.41E-16
123.5686618,6.33E-16
123.9095716,6.26E-16
124.2504815,6.19E-16
124.5902455,6.12E-16
124.9294365,6.05E-16
125.2680546,5.98E-16
125.6066726,5.91E-16
125.9441448,5.85E-16
126.281044,5.78E-16
126.6173702,5.72E-16
126.9531235,5.66E-16
127.2883038,5.60E-16
127.6229111,5.54E-16
127.9569455,5.48E-16
128.2904069,5.42E-16
128.6227225,5.36E-16
128.955038,5.31E-16
129.2862076,5.26E-16
129.6168042,5.20E-16
129.9468279,5.15E-16
130.2762787,5.10E-16
130.6051564,5.05E-16
130.9328883,5.00E-16
131.2600472,4.95E-16
131.5866331,4.90E-16
131.9126461,4.86E-16
132.2380862,4.81E-16
132.5623803,4.76E-16
132.8861014,4.71E-16
133.2092496,4.66E-16
133.5318249,4.62E-16
133.8532542,4.57E-16
134.1741105,4.53E-16
134.494394,4.48E-16
134.8141044,4.44E-16
