#1.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
4.41E-04,1.62E-16
2.32E-03,8.52E-16
5.71E-03,2.09E-15
1.06E-02,3.89E-15
1.70E-02,6.23E-15
2.49E-02,9.13E-15
3.43E-02,1.26E-14
4.52E-02,1.66E-14
5.76E-02,2.11E-14
7.15E-02,2.62E-14
8.69E-02,3.18E-14
1.04E-01,3.79E-14
1.22E-01,4.46E-14
1.42E-01,5.17E-14
1.64E-01,5.94E-14
1.87E-01,6.75E-14
2.11E-01,7.60E-14
2.37E-01,8.50E-14
2.64E-01,9.43E-14
2.93E-01,1.04E-13
3.24E-01,1.14E-13
3.56E-01,1.24E-13
3.89E-01,1.34E-13
4.24E-01,1.45E-13
4.60E-01,1.55E-13
4.98E-01,1.65E-13
5.38E-01,1.75E-13
5.78E-01,1.85E-13
6.21E-01,1.94E-13
6.65E-01,2.03E-13
7.10E-01,2.12E-13
7.57E-01,2.19E-13
8.05E-01,2.26E-13
8.55E-01,2.32E-13
9.07E-01,2.36E-13
9.59E-01,2.40E-13
1.01E+00,2.42E-13
1.07E+00,2.42E-13
1.13E+00,2.42E-13
1.19E+00,2.39E-13
1.25E+00,2.36E-13
1.31E+00,2.30E-13
1.37E+00,2.24E-13
1.44E+00,2.15E-13
1.50E+00,2.06E-13
1.57E+00,1.95E-13
1.64E+00,1.83E-13
1.71E+00,1.70E-13
1.78E+00,1.57E-13
1.85E+00,1.43E-13
1.93E+00,1.29E-13
2.01E+00,1.15E-13
2.08E+00,1.01E-13
2.16E+00,8.76E-14
2.24E+00,7.53E-14
2.33E+00,6.40E-14
2.41E+00,5.41E-14
2.50E+00,4.55E-14
2.58E+00,3.84E-14
2.67E+00,3.29E-14
2.76E+00,2.89E-14
2.85E+00,2.64E-14
2.94E+00,2.52E-14
3.04E+00,2.51E-14
3.13E+00,2.60E-14
3.23E+00,2.75E-14
3.33E+00,2.94E-14
3.43E+00,3.15E-14
3.53E+00,3.35E-14
3.63E+00,3.52E-14
3.74E+00,3.65E-14
3.84E+00,3.72E-14
3.95E+00,3.74E-14
4.06E+00,3.70E-14
4.17E+00,3.62E-14
4.28E+00,3.50E-14
4.39E+00,3.36E-14
4.51E+00,3.21E-14
4.62E+00,3.07E-14
4.74E+00,2.95E-14
4.86E+00,2.85E-14
4.98E+00,2.78E-14
5.10E+00,2.74E-14
5.22E+00,2.73E-14
5.35E+00,2.73E-14
5.47E+00,2.73E-14
5.60E+00,2.73E-14
5.73E+00,2.73E-14
5.86E+00,2.70E-14
5.99E+00,2.65E-14
6.12E+00,2.59E-14
6.26E+00,2.50E-14
6.39E+00,2.41E-14
6.53E+00,2.31E-14
6.67E+00,2.21E-14
6.81E+00,2.13E-14
6.95E+00,2.07E-14
7.09E+00,2.02E-14
7.23E+00,2.00E-14
7.38E+00,2.00E-14
7.53E+00,2.01E-14
7.67E+00,2.04E-14
7.82E+00,2.08E-14
7.97E+00,2.11E-14
8.13E+00,2.14E-14
8.28E+00,2.16E-14
8.43E+00,2.17E-14
8.59E+00,2.16E-14
8.75E+00,2.16E-14
8.91E+00,2.14E-14
9.07E+00,2.13E-14
9.23E+00,2.12E-14
9.39E+00,2.12E-14
9.56E+00,2.13E-14
9.72E+00,2.14E-14
9.89E+00,2.15E-14
1.01E+01,2.17E-14
1.02E+01,2.19E-14
1.04E+01,2.21E-14
1.06E+01,2.23E-14
1.07E+01,2.25E-14
1.09E+01,2.27E-14
1.11E+01,2.29E-14
1.13E+01,2.31E-14
1.15E+01,2.32E-14
1.16E+01,2.33E-14
1.18E+01,2.34E-14
1.20E+01,2.34E-14
1.22E+01,2.33E-14
1.24E+01,2.32E-14
1.26E+01,2.30E-14
1.27E+01,2.27E-14
1.29E+01,2.25E-14
1.31E+01,2.21E-14
1.33E+01,2.18E-14
1.35E+01,2.14E-14
1.37E+01,2.09E-14
1.39E+01,2.04E-14
1.41E+01,1.99E-14
1.43E+01,1.93E-14
1.45E+01,1.86E-14
1.47E+01,1.79E-14
1.49E+01,1.71E-14
1.51E+01,1.64E-14
1.53E+01,1.55E-14
1.55E+01,1.47E-14
1.57E+01,1.39E-14
1.59E+01,1.32E-14
1.61E+01,1.25E-14
1.63E+01,1.18E-14
1.66E+01,1.12E-14
1.68E+01,1.07E-14
1.70E+01,1.02E-14
1.72E+01,9.76E-15
1.74E+01,9.30E-15
1.76E+01,8.85E-15
1.79E+01,8.40E-15
1.81E+01,7.97E-15
1.83E+01,7.54E-15
1.85E+01,7.13E-15
1.87E+01,6.75E-15
1.90E+01,6.41E-15
1.92E+01,6.13E-15
1.94E+01,5.90E-15
1.97E+01,5.75E-15
1.99E+01,5.65E-15
2.01E+01,5.62E-15
2.03E+01,5.62E-15
2.06E+01,5.64E-15
2.08E+01,5.68E-15
2.10E+01,5.70E-15
2.13E+01,5.72E-15
2.15E+01,5.71E-15
2.18E+01,5.69E-15
2.20E+01,5.65E-15
2.22E+01,5.58E-15
2.25E+01,5.51E-15
2.27E+01,5.43E-15
2.30E+01,5.36E-15
2.32E+01,5.30E-15
2.35E+01,5.25E-15
