#2.5eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
4.41E-04,2.10E-16
2.32E-03,1.10E-15
5.71E-03,2.71E-15
1.06E-02,5.04E-15
1.70E-02,8.08E-15
2.49E-02,1.18E-14
3.43E-02,1.63E-14
4.52E-02,2.15E-14
5.76E-02,2.73E-14
7.15E-02,3.39E-14
8.69E-02,4.12E-14
1.04E-01,4.91E-14
1.22E-01,5.77E-14
1.42E-01,6.69E-14
1.64E-01,7.68E-14
1.87E-01,8.72E-14
2.11E-01,9.81E-14
2.37E-01,1.09E-13
2.64E-01,1.21E-13
2.93E-01,1.33E-13
3.24E-01,1.46E-13
3.56E-01,1.59E-13
3.89E-01,1.71E-13
4.24E-01,1.84E-13
4.60E-01,1.97E-13
4.98E-01,2.09E-13
5.38E-01,2.21E-13
5.78E-01,2.32E-13
6.21E-01,2.42E-13
6.65E-01,2.52E-13
7.10E-01,2.60E-13
7.57E-01,2.68E-13
8.05E-01,2.74E-13
8.55E-01,2.78E-13
9.07E-01,2.81E-13
9.59E-01,2.82E-13
1.01E+00,2.81E-13
1.07E+00,2.78E-13
1.13E+00,2.73E-13
1.19E+00,2.66E-13
1.25E+00,2.57E-13
1.31E+00,2.47E-13
1.37E+00,2.34E-13
1.44E+00,2.20E-13
1.50E+00,2.05E-13
1.57E+00,1.89E-13
1.64E+00,1.72E-13
1.71E+00,1.54E-13
1.78E+00,1.37E-13
1.85E+00,1.20E-13
1.93E+00,1.03E-13
2.01E+00,8.81E-14
2.08E+00,7.40E-14
2.16E+00,6.16E-14
2.24E+00,5.10E-14
2.33E+00,4.24E-14
2.41E+00,3.58E-14
2.50E+00,3.12E-14
2.58E+00,2.84E-14
2.67E+00,2.74E-14
2.76E+00,2.78E-14
2.85E+00,2.92E-14
2.94E+00,3.15E-14
3.04E+00,3.41E-14
3.13E+00,3.68E-14
3.23E+00,3.93E-14
3.33E+00,4.13E-14
3.43E+00,4.26E-14
3.53E+00,4.32E-14
3.63E+00,4.30E-14
3.74E+00,4.21E-14
3.84E+00,4.07E-14
3.95E+00,3.89E-14
4.06E+00,3.69E-14
4.17E+00,3.50E-14
4.28E+00,3.32E-14
4.39E+00,3.16E-14
4.51E+00,3.04E-14
4.62E+00,2.96E-14
4.74E+00,2.90E-14
4.86E+00,2.87E-14
4.98E+00,2.85E-14
5.10E+00,2.83E-14
5.22E+00,2.81E-14
5.35E+00,2.77E-14
5.47E+00,2.73E-14
5.60E+00,2.68E-14
5.73E+00,2.62E-14
5.86E+00,2.56E-14
5.99E+00,2.51E-14
6.12E+00,2.48E-14
6.26E+00,2.46E-14
6.39E+00,2.46E-14
