#3.9eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
4.41E-04,6.20E-12
2.32E-03,1.18E-12
5.71E-03,4.79E-13
1.06E-02,2.58E-13
1.70E-02,1.61E-13
2.49E-02,1.10E-13
3.43E-02,7.98E-14
4.52E-02,6.06E-14
5.76E-02,4.76E-14
7.15E-02,3.84E-14
8.69E-02,3.16E-14
1.04E-01,2.65E-14
1.22E-01,2.26E-14
1.42E-01,1.95E-14
1.64E-01,1.71E-14
1.87E-01,1.51E-14
2.11E-01,1.34E-14
2.37E-01,1.21E-14
2.64E-01,1.09E-14
2.93E-01,9.98E-15
3.24E-01,9.18E-15
3.56E-01,8.50E-15
3.89E-01,7.93E-15
4.24E-01,7.44E-15
4.60E-01,7.03E-15
4.98E-01,6.69E-15
5.38E-01,6.41E-15
5.78E-01,6.18E-15
6.21E-01,6.01E-15
6.65E-01,5.88E-15
7.10E-01,5.79E-15
7.57E-01,5.76E-15
8.05E-01,5.77E-15
8.55E-01,5.83E-15
9.07E-01,5.95E-15
9.59E-01,6.12E-15
1.01E+00,6.37E-15
1.07E+00,6.69E-15
1.13E+00,7.12E-15
1.19E+00,7.66E-15
1.25E+00,8.36E-15
1.31E+00,9.24E-15
1.37E+00,1.04E-14
1.44E+00,1.18E-14
1.50E+00,1.37E-14
1.57E+00,1.60E-14
1.64E+00,1.91E-14
1.71E+00,2.30E-14
1.78E+00,2.79E-14
1.85E+00,3.36E-14
1.93E+00,3.98E-14
2.01E+00,4.55E-14
2.08E+00,4.94E-14
2.16E+00,5.07E-14
2.24E+00,4.96E-14
2.33E+00,4.69E-14
2.41E+00,4.37E-14
2.50E+00,4.07E-14
2.58E+00,3.83E-14
2.67E+00,3.66E-14
2.76E+00,3.56E-14
2.85E+00,3.53E-14
2.94E+00,3.56E-14
3.04E+00,3.65E-14
3.13E+00,3.78E-14
3.23E+00,3.94E-14
3.33E+00,4.10E-14
3.43E+00,4.24E-14
3.53E+00,4.33E-14
3.63E+00,4.36E-14
3.74E+00,4.33E-14
3.84E+00,4.26E-14
3.95E+00,4.17E-14
4.06E+00,4.07E-14
4.17E+00,4.00E-14
4.28E+00,3.95E-14
4.39E+00,3.94E-14
4.51E+00,3.95E-14
4.62E+00,3.99E-14
4.74E+00,4.04E-14
4.86E+00,4.10E-14
4.98E+00,4.15E-14
5.10E+00,4.17E-14
5.22E+00,4.18E-14
5.35E+00,4.17E-14
5.47E+00,4.14E-14
5.60E+00,4.11E-14
5.73E+00,4.08E-14
5.86E+00,4.06E-14
5.99E+00,4.06E-14
6.12E+00,4.08E-14
6.26E+00,4.12E-14
6.39E+00,4.19E-14
6.53E+00,4.27E-14
6.67E+00,4.37E-14
6.81E+00,4.50E-14
6.95E+00,4.64E-14
7.09E+00,4.81E-14
7.23E+00,5.02E-14
7.38E+00,5.26E-14
7.53E+00,5.55E-14
7.67E+00,5.89E-14
7.82E+00,6.27E-14
7.97E+00,6.68E-14
8.13E+00,7.12E-14
8.28E+00,7.57E-14
8.43E+00,8.03E-14
8.59E+00,8.49E-14
8.75E+00,9.00E-14
8.91E+00,9.57E-14
9.07E+00,1.02E-13
9.23E+00,1.10E-13
9.39E+00,1.20E-13
9.56E+00,1.31E-13
9.72E+00,1.42E-13
9.89E+00,1.55E-13
1.01E+01,1.67E-13
1.02E+01,1.80E-13
1.04E+01,1.91E-13
1.06E+01,2.02E-13
1.07E+01,2.10E-13
1.09E+01,2.17E-13
1.11E+01,2.22E-13
1.13E+01,2.26E-13
1.15E+01,2.28E-13
1.16E+01,2.30E-13
1.18E+01,2.32E-13
1.20E+01,2.34E-13
1.22E+01,2.36E-13
1.24E+01,2.37E-13
1.26E+01,2.38E-13
1.27E+01,2.39E-13
1.29E+01,2.40E-13
1.31E+01,2.42E-13
1.33E+01,2.45E-13
1.35E+01,2.49E-13
1.37E+01,2.54E-13
1.39E+01,2.60E-13
1.41E+01,2.67E-13
1.43E+01,2.75E-13
1.45E+01,2.83E-13
1.47E+01,2.92E-13
1.49E+01,3.02E-13
1.51E+01,3.13E-13
1.53E+01,3.26E-13
1.55E+01,3.40E-13
1.57E+01,3.56E-13
1.59E+01,3.73E-13
1.61E+01,3.91E-13
1.63E+01,4.10E-13
1.66E+01,4.30E-13
1.68E+01,4.49E-13
1.70E+01,4.68E-13
1.72E+01,4.85E-13
1.74E+01,4.99E-13
1.76E+01,5.11E-13
1.79E+01,5.20E-13
1.81E+01,5.30E-13
1.83E+01,5.41E-13
1.85E+01,5.52E-13
1.87E+01,5.64E-13
1.90E+01,5.74E-13
1.92E+01,5.82E-13
1.94E+01,5.89E-13
1.97E+01,5.97E-13
1.99E+01,6.07E-13
2.01E+01,6.19E-13
2.03E+01,6.32E-13
2.06E+01,6.44E-13
2.08E+01,6.56E-13
2.10E+01,6.68E-13
2.13E+01,6.82E-13
2.15E+01,7.00E-13
2.18E+01,7.19E-13
2.20E+01,7.40E-13
2.22E+01,7.61E-13
2.25E+01,7.79E-13
2.27E+01,7.97E-13
2.30E+01,8.15E-13
2.32E+01,8.35E-13
2.35E+01,8.57E-13
2.37E+01,8.80E-13
2.40E+01,9.03E-13
2.42E+01,9.25E-13
2.45E+01,9.46E-13
2.47E+01,9.70E-13
2.50E+01,9.96E-13
2.52E+01,1.02E-12
2.55E+01,1.05E-12
2.57E+01,1.07E-12
2.60E+01,1.09E-12
2.63E+01,1.11E-12
2.65E+01,1.13E-12
2.68E+01,1.16E-12
2.70E+01,1.19E-12
2.73E+01,1.22E-12
2.76E+01,1.24E-12
2.78E+01,1.27E-12
2.81E+01,1.29E-12
2.84E+01,1.31E-12
2.86E+01,1.34E-12
2.89E+01,1.37E-12
2.92E+01,1.40E-12
2.95E+01,1.42E-12
2.97E+01,1.44E-12
3.00E+01,1.47E-12
3.03E+01,1.51E-12
3.06E+01,1.54E-12
3.08E+01,1.57E-12
3.11E+01,1.59E-12
3.14E+01,1.61E-12
3.17E+01,1.64E-12
3.19E+01,1.68E-12
3.22E+01,1.72E-12
3.25E+01,1.76E-12
3.28E+01,1.80E-12
3.31E+01,1.83E-12
3.34E+01,1.87E-12
3.36E+01,1.91E-12
3.39E+01,1.95E-12
3.42E+01,1.99E-12
3.45E+01,2.02E-12
3.48E+01,2.05E-12
3.51E+01,2.09E-12
3.54E+01,2.15E-12
3.57E+01,2.20E-12
3.60E+01,2.26E-12
3.63E+01,2.30E-12
3.66E+01,2.34E-12
3.69E+01,2.39E-12
3.72E+01,2.45E-12
3.75E+01,2.53E-12
3.78E+01,2.60E-12
3.81E+01,2.67E-12
3.84E+01,2.73E-12
3.87E+01,2.81E-12
3.90E+01,2.90E-12
3.93E+01,2.99E-12
3.96E+01,3.08E-12
3.99E+01,3.16E-12
4.02E+01,3.25E-12
4.05E+01,3.36E-12
4.08E+01,3.49E-12
4.11E+01,3.60E-12
4.14E+01,3.71E-12
4.17E+01,3.79E-12
4.20E+01,3.89E-12
4.23E+01,4.01E-12
4.27E+01,4.16E-12
4.30E+01,4.31E-12
4.33E+01,4.44E-12
4.36E+01,4.55E-12
4.39E+01,4.66E-12
4.42E+01,4.79E-12
4.45E+01,4.93E-12
4.49E+01,5.08E-12
4.52E+01,5.22E-12
4.55E+01,5.37E-12
4.58E+01,5.53E-12
4.61E+01,5.70E-12
4.65E+01,5.85E-12
4.68E+01,5.97E-12
4.71E+01,6.06E-12
4.74E+01,6.17E-12
4.78E+01,6.32E-12
4.81E+01,6.47E-12
4.84E+01,6.60E-12
4.87E+01,6.68E-12
4.91E+01,6.73E-12
4.94E+01,6.80E-12
4.97E+01,6.90E-12
5.01E+01,7.00E-12
5.04E+01,7.06E-12
5.07E+01,7.08E-12
5.10E+01,7.09E-12
5.14E+01,7.12E-12
5.17E+01,7.16E-12
5.20E+01,7.18E-12
5.24E+01,7.17E-12
5.27E+01,7.18E-12
5.30E+01,7.22E-12
5.34E+01,7.27E-12
5.37E+01,7.28E-12
5.41E+01,7.22E-12
5.44E+01,7.15E-12
5.47E+01,7.12E-12
5.51E+01,7.15E-12
5.54E+01,7.21E-12
5.57E+01,7.22E-12
5.61E+01,7.18E-12
5.64E+01,7.15E-12
5.68E+01,7.16E-12
5.71E+01,7.21E-12
5.75E+01,7.25E-12
5.78E+01,7.25E-12
5.81E+01,7.23E-12
5.85E+01,7.25E-12
5.88E+01,7.31E-12
5.92E+01,7.36E-12
5.95E+01,7.38E-12
5.99E+01,7.38E-12
6.02E+01,7.41E-12
6.06E+01,7.47E-12
6.09E+01,7.53E-12
6.13E+01,7.54E-12
6.16E+01,7.51E-12
6.20E+01,7.53E-12
6.23E+01,7.63E-12
6.27E+01,7.77E-12
6.30E+01,7.88E-12
6.34E+01,7.93E-12
6.37E+01,7.97E-12
