#H-H2 total collision cross sections from Krstic and Shultz. 1998,
#Energy(eV),sigma(cm^2)
1.00E-01,1.80E-14
1.26E-01,1.79E-14
1.58E-01,1.77E-14
2.00E-01,1.75E-14
2.51E-01,1.74E-14
3.16E-01,1.72E-14
3.98E-01,1.70E-14
5.01E-01,1.67E-14
6.31E-01,1.66E-14
7.94E-01,1.62E-14
1.00E+00,1.59E-14
1.26E+00,1.59E-14
1.58E+00,1.47E-14
2.00E+00,1.46E-14
2.51E+00,1.45E-14
3.16E+00,1.41E-14
3.98E+00,1.33E-14
5.01E+00,1.27E-14
6.31E+00,1.25E-14
7.94E+00,1.26E-14
1.00E+01,1.27E-14
2.00E+01,1.16E-14
5.01E+01,8.66E-15
1.00E+02,6.62E-15
