#O-H total collision cross sections from Zhang et al. 2009
#Energy(eV),sigma(cm^2)
0.0265957,7.80989E-15
0.0398936,6.29658E-15
0.0598404,6.9962E-15
0.0797872,6.48669E-15
0.0864362,6.14449E-15
0.106383,5.44487E-15
0.132979,5.60456E-15
0.159574,6.03042E-15
0.172872,5.90114E-15
0.179521,5.8251E-15
0.18617,5.74905E-15
0.192819,5.59696E-15
0.199468,5.52091E-15
0.206117,5.44487E-15
0.212766,5.36882E-15
0.219415,5.29278E-15
0.226064,5.21673E-15
0.25266,5.07224E-15
0.259309,5.18631E-15
0.272606,5.26236E-15
0.285904,5.3384E-15
0.299202,5.40684E-15
0.3125,5.4981E-15
0.332447,5.46008E-15
0.345745,5.39163E-15
0.359043,5.31559E-15
0.365691,5.23954E-15
0.37234,5.1635E-15
0.385638,5.08745E-15
0.398936,5.01141E-15
0.412234,4.94297E-15
0.432181,4.86692E-15
0.445479,4.79848E-15
0.452128,4.88973E-15
0.478723,4.95817E-15
0.49867,5.03422E-15
0.511968,5.10266E-15
0.551862,5.13308E-15
0.571809,5.11027E-15
0.578457,5.03422E-15
0.598404,5.0038E-15
0.618351,4.95057E-15
0.631649,4.88213E-15
0.644947,4.80608E-15
0.678191,4.74525E-15
0.704787,4.53992E-15
0.731383,4.69202E-15
0.757979,4.67681E-15
0.777926,4.73004E-15
0.797872,4.79848E-15
0.837766,4.81369E-15
0.857713,4.88213E-15
0.890957,4.86692E-15
0.910904,4.79087E-15
0.930851,4.81369E-15
0.950798,4.77567E-15
0.970745,4.69962E-15
0.990691,4.63118E-15
1.03059,4.61597E-15
1.05053,4.53992E-15
1.07713,4.4943E-15
1.11037,4.53232E-15
1.15691,4.48669E-15
1.17686,4.55513E-15
1.21011,4.57795E-15
1.25,4.60076E-15
1.26995,4.6692E-15
1.28324,4.76806E-15
1.28989,4.69962E-15
1.31649,4.63118E-15
1.36303,4.64639E-15
1.38298,4.6692E-15
1.39628,4.63878E-15
1.41622,4.56274E-15
1.46277,4.54753E-15
1.49601,4.4943E-15
1.51596,4.41825E-15
1.56915,4.41065E-15
1.60904,4.34221E-15
1.64229,4.327E-15
1.68883,4.36502E-15
1.72872,4.31939E-15
1.76197,4.38023E-15
1.81516,4.38023E-15
1.85505,4.41825E-15
1.9016,4.44106E-15
1.96144,4.44867E-15
2.02128,4.43346E-15
2.08112,4.40304E-15
2.13431,4.35741E-15
2.1875,4.31179E-15
2.24069,4.26616E-15
2.29388,4.22814E-15
2.36037,4.19772E-15
2.42021,4.18251E-15
2.4867,4.1749E-15
2.55319,4.19011E-15
2.61303,4.20532E-15
2.67287,4.22814E-15
2.73936,4.25095E-15
2.80585,4.25856E-15
2.87234,4.26616E-15
2.93218,4.25856E-15
2.99867,4.23574E-15
3.05851,4.21293E-15
3.11835,4.18251E-15
3.17819,4.15209E-15
3.23803,4.12167E-15
3.30452,4.09125E-15
3.36436,4.06084E-15
3.43085,4.04563E-15
3.49069,4.03042E-15
3.55718,4.01521E-15
3.62367,4.01521E-15
3.69016,4.02281E-15
3.75665,4.03042E-15
3.81649,4.03802E-15
3.88298,4.05323E-15
3.94947,4.06084E-15
4.00931,4.07605E-15
4.0758,4.07605E-15
4.14229,4.08365E-15
4.20878,4.08365E-15
4.27527,4.07605E-15
4.33511,4.06844E-15
4.4016,4.05323E-15
4.46144,4.03802E-15
4.52793,4.02281E-15
4.59441,4E-15
4.65426,3.97719E-15
4.72074,3.96198E-15
4.78059,3.93916E-15
4.84707,3.92395E-15
4.90691,3.90114E-15
4.9734,3.89354E-15
5.03989,3.87833E-15
5.09973,3.87072E-15
5.16622,3.86312E-15
5.23271,3.85551E-15
5.2992,3.85551E-15
5.36569,3.85551E-15
5.43218,3.85551E-15
5.49867,3.86312E-15
5.56516,3.86312E-15
5.625,3.87072E-15
5.69149,3.87833E-15
5.75798,3.88593E-15
5.82447,3.88593E-15
5.89096,3.89354E-15
5.9508,3.90114E-15
6.01729,3.90114E-15
6.08378,3.90114E-15
6.15027,3.90114E-15
6.21676,3.90114E-15
6.28324,3.89354E-15
6.34973,3.89354E-15
6.41622,3.88593E-15
6.48271,3.87833E-15
6.54255,3.87072E-15
6.60904,3.85551E-15
6.67553,3.84791E-15
6.73537,3.8327E-15
6.80186,3.8251E-15
6.86835,3.80989E-15
6.92819,3.80228E-15
6.99468,3.78707E-15
7.06117,3.77186E-15
7.12101,3.76426E-15
7.1875,3.74905E-15
7.25399,3.74144E-15
7.31383,3.73384E-15
7.38032,3.71863E-15
7.44681,3.71103E-15
7.50665,3.70342E-15
7.57314,3.69582E-15
7.63963,3.69582E-15
7.70612,3.68821E-15
7.77261,3.68821E-15
7.8391,3.68061E-15
7.90559,3.68061E-15
7.97207,3.68061E-15
8.03856,3.68061E-15
8.10505,3.68061E-15
8.17154,3.68061E-15
8.23803,3.68061E-15
8.29787,3.68821E-15
8.36436,3.68821E-15
8.43085,3.68821E-15
8.49734,3.69582E-15
8.56383,3.69582E-15
8.63032,3.69582E-15
8.69681,3.70342E-15
8.7633,3.70342E-15
8.82979,3.70342E-15
8.89628,3.71103E-15
8.96277,3.71103E-15
9.02926,3.71103E-15
9.09574,3.71103E-15
9.16223,3.71103E-15
9.22872,3.71103E-15
9.29521,3.71103E-15
9.3617,3.71103E-15
9.42819,3.71103E-15
9.49468,3.71103E-15
9.55452,3.70342E-15
9.62101,3.70342E-15
9.6875,3.69582E-15
9.75399,3.69582E-15
9.82048,3.68821E-15
9.88697,3.68061E-15
9.95346,3.68061E-15
